item,item_name,use_qty,routing_weldST,in_lg_bom,last_prod_date,triage,checkpoint
ADM73210515,판형 Assembly(동일),0.0171,4.0,1,2026-03-17,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR30012012,"Tube Assembly,Reverse",0.0132,0.0,1,2026-07-29,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR30028405,Tube Assembly,0.00066,0.0,1,2026-01-30,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR30028409,Tube Assembly,0.00066,0.0,1,2026-02-02,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR30133603-SUB,고주파 SUB,0.158,0.0,1,2026-07-30,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR37161107,"Tube Assembly,Suction(Outdoor)",0.0011,3.0,1,2024-11-08,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR72928103,"Tube Assembly,Expansion",0.00658,12.0,1,2026-05-19,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR72928401,"Tube Assembly,Expansion",0.0285,32.0,1,2026-07-29,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73327003-은납,은납 SUB,0.0018,1.0,1,2026-06-25,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73327007-은납,은납 SUB,0.0018,1.0,1,2026-07-27,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73767413,"Tube Assembly,Expansion",0.0042,5.0,1,2026-03-31,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73822504,Tube Assembly,0.0012,4.0,1,2026-07-07,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73822515,Tube Assembly,0.00496,4.0,1,2024-12-05,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73822516,Tube Assembly,0.00496,4.0,1,2025-03-26,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73964602,"Tube Assembly,Discharge(Outdoor)",0.01015,0.0,1,2026-06-08,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73964607,"Tube Assembly,Discharge(Outdoor)",0.01015,0.0,1,2026-06-11,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR73988107,"Tube Assembly,Reverse",0.0082,0.0,1,2026-07-10,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR74182305,"Tube Assembly,Expansion",0.00615,3.0,1,2026-03-09,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR74524701,Tube Assembly,0.00439,4.0,1,2026-07-30,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR74524704,Tube Assembly,0.005,6.0,1,2026-07-30,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR74963003,"Tube Assembly,Manifold(Indoor)",0.0072,0.0,1,2026-07-29,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR74985204,"Tube Assembly, Expansion",0.0069,0.0,1,2025-06-10,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR75463001-SUB1,사내 SUB,0.0127,0.0,1,2026-07-02,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR75463001-SUB2,사내 SUB,0.0127,0.0,1,2026-07-02,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR75463001-SUB3,사내 SUB,0.0127,0.0,1,2026-07-02,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR75522802,"Tube Assembly,Suction",0.00476,6.0,1,2024-10-09,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR75563401,"Tube Assembly,Manifold(Indoor)",0.0048,0.0,1,2026-05-09,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
