item,item_name,weld_item,use_qty,routing_weldST,child_diams,n_solutions,possible_combos,kind,reason
AJR73822515,Tube Assembly,RAC30599301-1,0.00496,4.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",2,4.76φ×3+15.88φ×1 | 5.0φ×3+15.88φ×1,다관경복수해,2개 조합 성립(routingST=4.0)
AJR73822516,Tube Assembly,RAC30599301-1,0.00496,4.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",2,4.76φ×3+15.88φ×1 | 5.0φ×3+15.88φ×1,다관경복수해,2개 조합 성립(routingST=4.0)
AJR73964602,"Tube Assembly,Discharge(Outdoor)",RAC30599301-1,0.01015,0.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",3,4.76φ×3+28.0φ×1 | 5.0φ×3+28.0φ×1 | 12.7φ×3+25.4φ×1,다관경복수해,3개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
AJR73964607,"Tube Assembly,Discharge(Outdoor)",RAC30599301-1,0.01015,0.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",3,4.76φ×3+28.0φ×1 | 5.0φ×3+28.0φ×1 | 12.7φ×3+25.4φ×1,다관경복수해,3개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
AJR73988107,"Tube Assembly,Reverse",RAC30599301-1,0.0082,0.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",3,6.35φ×1+28.0φ×1 | 7.94φ×1+28.0φ×1 | 9.52φ×1+28.0φ×1,다관경복수해,3개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
AJR74985204,"Tube Assembly, Expansion",RAC30599301,0.0069,0.0,"[6.35, 7.94, 9.52, 12.7, 19.05, 38.1]",6,6.35φ×2+12.7φ×3 | 6.35φ×3+19.05φ×1 | 7.94φ×2+12.7φ×3 | 7.94φ×3+19.05φ×1 | 9.52φ×2+12.7φ×3,다관경복수해,6개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
AJR75563401,"Tube Assembly,Manifold(Indoor)",RAC30599301-1,0.0048,0.0,"[6.35, 9.52, 15.88]",7,6.35φ×4 | 9.52φ×4 | 6.35φ×1+9.52φ×3 | 6.35φ×2+9.52φ×2 | 6.35φ×3+9.52φ×1,다관경복수해,7개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
AJR77224504-S1-2,사내 SUB,RAC30599301-1,0.0132,10.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",8,4.76φ×4+12.7φ×6 | 5.0φ×4+12.7φ×6 | 6.35φ×6+12.7φ×4 | 6.35φ×8+15.88φ×2 | 7.94φ×6+12.7φ×4,다관경복수해,8개 조합 성립(routingST=10.0)
AJR77224505-S1-2,사내 SUB,RAC30599301-1,0.0114,9.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",6,6.35φ×7+12.7φ×2 | 6.35φ×8+15.88φ×1 | 7.94φ×7+12.7φ×2 | 7.94φ×8+15.88φ×1 | 9.52φ×7+12.7φ×2,다관경복수해,6개 조합 성립(routingST=9.0)
AJR77224506-S1-2,사내 SUB,RAC30599301-1,0.0054,4.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",6,6.35φ×2+12.7φ×2 | 6.35φ×3+15.88φ×1 | 7.94φ×2+12.7φ×2 | 7.94φ×3+15.88φ×1 | 9.52φ×2+12.7φ×2,다관경복수해,6개 조합 성립(routingST=4.0)
AJR77224510-S1-2,사내 SUB,RAC30599301-1,0.0114,0.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",38,25.4φ×2 | 38.1φ×1 | 4.76φ×4+6.35φ×6 | 4.76φ×4+7.94φ×6 | 4.76φ×4+9.52φ×6,다관경복수해,38개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
AJR77224518-S1-2,사내 SUB,RAC30599301-1,0.006,0.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",22,6.35φ×5 | 7.94φ×5 | 9.52φ×5 | 12.7φ×4 | 4.76φ×4+15.88φ×1,다관경복수해,22개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
AJR77225610-SUB1,AJR77225610-SUB 용,RAC30599301-1,0.015,0.0,"[9.52, 19.05, 22.0]",4,9.52φ×7+19.05φ×2 | 9.52φ×2+22.0φ×3 | 9.52φ×9+22.0φ×1 | 19.05φ×2+22.0φ×2,다관경복수해,4개 조합 성립(routingST=0.0·횟수제약없어 확정불가)
