item,item_name,weld_item,use_qty,routing_weldST,derived,recon_use,recon_st,match,note
ADM73210515,판형 Assembly(동일),RAC30599328,0.0171,4.0,12.7φ×2 + 28.0φ×2,0.0171,4,OK,단일해(소요량+횟수 일치)
AJR30012012,"Tube Assembly,Reverse",RAC30599301-1,0.0132,0.0,19.05φ×4,0.0132,4,OK,"단일해(routingST없음, 소요량기준)"
AJR73327003-은납,은납 SUB,RAC30599327,0.0018,1.0,15.88φ×1,0.0018,1,OK,단일해(소요량+횟수 일치)
AJR73327007-은납,은납 SUB,RAC30599327,0.0018,1.0,15.88φ×1,0.0018,1,OK,단일해(소요량+횟수 일치)
AJR74963003,"Tube Assembly,Manifold(Indoor)",RAC30599301-1,0.0072,0.0,9.52φ×6,0.0072,6,OK,"단일해(routingST없음, 소요량기준)"
AJR77224504-S1-3,사내 SUB,RAC30599301-1,0.0072,4.0,15.88φ×4,0.0072,4,OK,단일해(소요량+횟수 일치)
AJR77224505-S1-3,사내 SUB,RAC30599301-1,0.0072,4.0,15.88φ×4,0.0072,4,OK,단일해(소요량+횟수 일치)
AJR77224507-S1-2,사내 SUB,RAC30599301-1,0.006,4.0,12.7φ×4,0.006,4,OK,단일해(소요량+횟수 일치)
AJR77224510-S1-3,사내 SUB,RAC30599301-1,0.0072,0.0,15.88φ×4,0.0072,4,OK,"단일해(routingST없음, 소요량기준)"
AJR77224516-S1-2,사내 SUB,RAC30599301-1,0.003,0.0,12.7φ×2,0.003,2,OK,"단일해(routingST없음, 소요량기준)"
AJR30028405,Tube Assembly,RAC36134101,0.00066,0.0,,,,애매,"재현실패(후보관경 [4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1], ST=0.0)"
AJR30028409,Tube Assembly,RAC36134101,0.00066,0.0,,,,애매,"재현실패(후보관경 [22.0], ST=0.0)"
AJR30133603-SUB,고주파 SUB,RAC30599301-1,0.158,0.0,,,,애매,"재현실패(후보관경 [28.0], ST=0.0)"
