item,item_name,last_prod_date,bom_child_cnt,has_routing,has_cs_weld,verdict,note
3A00280E,3A00280E,없음,9,0,0,비양산품목(가정),
4849A20069M,Accumulator Assembly,2024-04-03,10,1,0,비양산품목(가정),
4849A20069M-7-1,4849A20069M-7-1,없음,5,0,0,비양산품목(가정),
5001A30010X,Accessory Assembly,없음,7,0,0,비양산품목(가정),
5211A00011E,"Tube Assembly,Reverse",없음,11,1,0,비양산품목(가정),
5211A10305E-S6-1,사내 SUB,없음,6,0,0,비양산품목(가정),
5211A10305F-S6-1,사내 SUB,없음,6,0,0,비양산품목(가정),
5211A10305J-S6-1,사내 SUB,없음,6,0,0,비양산품목(가정),
5211A10305T-S6-1,사내 SUB,없음,5,0,0,비양산품목(가정),
5211A10424B,5211A10424B,없음,11,0,0,비양산품목(가정),
5211A10487A,"Tube Assembly,Suction(Outdoor)",없음,9,1,0,비양산품목(가정),
5211A10487B,"Tube Assembly,Suction(Outdoor)",없음,8,1,0,비양산품목(가정),
5211A10487C,"Tube Assembly,Suction(Outdoor)",없음,7,1,0,비양산품목(가정),
5211A10487D,"Tube Assembly,Suction(Outdoor)",없음,4,1,0,비양산품목(가정),
5211A10487E,"Tube Assembly,Suction(Outdoor)",없음,7,1,0,비양산품목(가정),
5211A10530B,"Tube Assembly,Manifold(Outdoor)",없음,8,1,0,비양산품목(가정),
5211A10570G,"Tube Assembly,Capillary",없음,24,1,0,비양산품목(가정),
5211A10570H,"Tube Assembly,Capillary",없음,23,1,0,비양산품목(가정),
5211A10688A,"Tube Assembly,Manifold(Outdoor)",없음,5,1,0,비양산품목(가정),
5211A12001A,"Tube Assembly,Condenser(Out)",없음,19,1,0,비양산품목(가정),
5211A19008J,"Tube Assembly,Evaporator(In)",없음,15,1,0,비양산품목(가정),
5211A19008K,"Tube Assembly,Evaporator(In)",없음,15,1,0,비양산품목(가정),
5211A20133B,"Tube Assembly,Capillary",없음,7,1,0,비양산품목(가정),
5211A20297H,"Tube Assembly,Capillary",없음,4,1,0,비양산품목(가정),
5211A20297S,"Tube Assembly,Capillary",없음,6,1,0,비양산품목(가정),
5211A20356U,"Tube Assembly,Capillary",없음,5,0,0,비양산품목(가정),
5211A20459E,"Tube Assembly,Discharge(Indoor)",없음,11,1,0,비양산품목(가정),
5211A20459K-0-1,사내 SUB,없음,4,0,0,비양산품목(가정),
5211A20459K-0-2,사내 SUB,없음,3,0,0,비양산품목(가정),
5211A20459K-0-3,사내 SUB,없음,5,0,0,비양산품목(가정),
5211A20459K-S3-1,사내 SUB,없음,6,0,0,비양산품목(가정),
5211A20459K-S3-2,사내 SUB,없음,2,0,0,비양산품목(가정),
5211A20459K-S3-3,사내 SUB,없음,4,0,0,비양산품목(가정),
5211A20459L-S3-2,사내 SUB,없음,2,0,0,비양산품목(가정),
5211A20466N-S6-1,사내 SUB,2024-07-30,6,1,0,비양산품목(가정),
5211A21788A-3,5211A21788A-3,없음,3,0,0,비양산품목(가정),
5211A21788C,5211A21788C,없음,6,0,0,비양산품목(가정),
5211A21789C,"Tube Assembly,Tubing",없음,4,1,0,비양산품목(가정),
5211A21812B-1-1,5211A21812B-1-1,없음,7,0,0,비양산품목(가정),
5211A21904A,"Tube Assembly,Connector",없음,4,0,0,비양산품목(가정),등록2022-03(2022~23)
5211A21907C,5211A21907C,없음,8,0,0,비양산품목(가정),
5211A21907C-1-1,5211A21907C-1-1,없음,11,0,0,비양산품목(가정),
5211A25726E,"Tube Assembly,Suction(Outdoor)",없음,5,0,0,비양산품목(가정),
5211A29904A,5211A29904A,없음,4,0,0,비양산품목(가정),
5211A29904C,5211A29904C,없음,6,0,0,비양산품목(가정),
5425AP7108K,"Tube Assembly,Capillary",2024-01-19,4,1,0,비양산품목(가정),
5425AP7108R,"Tube Assembly,Capillary",없음,6,1,0,비양산품목(가정),
AAA36923608,Accessory Assembly,없음,6,0,0,비양산품목(가정),
AAA36923611,Accessory Assembly,없음,6,0,0,비양산품목(가정),
AAA68954002,Accessory Assembly,없음,6,0,0,비양산품목(가정),
AAA68954002-1,Accessory Assembly,없음,6,0,0,비양산품목(가정),
AAB34431202,Accumulator Assembly,없음,8,0,0,비양산품목(가정),
AAB73230902-3,MTS SUB,없음,4,0,0,비양산품목(가정),
AAB73710401,Accumulator Assembly,없음,9,0,0,비양산품목(가정),
AAB73710402,Accumulator Assembly,없음,10,0,0,비양산품목(가정),
ADM73210508,판형 Assembly(스웹),없음,25,1,0,비양산품목(가정),등록2022-03(2022~23)
ADM73210511,판형 Assembly(알파라발),없음,23,1,0,비양산품목(가정),등록2022-10(2022~23)
ADM74930511,판형 Assembly(동일),없음,24,1,0,비양산품목(가정),등록2022-11(2022~23)
AEG74589804,히터탱크,없음,3,1,0,비양산품목(가정),등록2023-09(2022~23)
AEG74589804(신창),히터탱크,없음,8,0,0,비양산품목(가정),등록2023-05(2022~23)
AEG74589806,히터탱크,없음,10,1,0,비양산품목(가정),등록2023-09(2022~23)
AFY73689501,AFY73689501,없음,9,0,0,비양산품목(가정),
AFY74209501,Muffler Assembly,없음,7,0,0,비양산품목(가정),
AJJ32486325-9-1,AJJ32486325-9-1,없음,6,0,0,비양산품목(가정),
AJJ32486326,Supporter Assembly,없음,9,1,0,비양산품목(가정),
AJJ73679204,SUB ASSY,없음,18,0,0,비양산품목(가정),
