parent_item,weld_item,item_name,use_qty,routing_st,form,note
4849A20069M,RAC30599301-1,Accumulator Assembly,0.00274,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=['가공'])"
4849A20069M-7-1,RAC30599301-1,4849A20069M-7-1,0.00274,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=['가공'])"
5211A00011E,RAC30599301-1,"Tube Assembly,Reverse",0.01,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=['가공'])"
5211A10305J-S6-1,RAC30599327,사내 SUB,0.0012,1.0,a,"용접봉=3% 용접봉 (3% 원봉)(은납/BCUP), item_weld 관경행 부재 (routing=['가공', '용접', '체결'])"
5211A10305J-SUB,RAC30599327,은납-SUB,0.0012,0.0,a,"용접봉=3% 용접봉 (3% 원봉)(은납/BCUP), item_weld 관경행 부재 (routing=없음)"
5211A10424B,RAC30599327,5211A10424B,0.0016,2.0,a,"용접봉=3% 용접봉 (3% 원봉)(은납/BCUP), item_weld 관경행 부재 (routing=['가공', '용접', '체결'])"
5211A10487A,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.06135,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=없음)"
5211A10487B,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0687,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=없음)"
5211A10487C,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.03775,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=없음)"
5211A10487D,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0151,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=없음)"
5211A10487E,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.06115,0.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=없음)"
5211A10530B,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0104,12.0,a,"용접봉=1% 용접봉 (각봉)(은납/BCUP), item_weld 관경행 부재 (routing=['가공', '용접', '체결', '포장'])"
