parent_item,weld_item,item_name,use_qty,routing_st,reason,best_candidate
5211A10305J-2-1,RAC30599301-1,5211A10305J-2-1,0.0141,13.0,c_수기override(exact쌍 값불일치),"5211A10305J-2-1/RAC30599301-1 unit=0.000729 diam=4.76 (rule=exact(self), exp=0.01421)"
5211A10305J-S6-4,RAC30599301-1,사내 SUB,0.0141,13.0,c_수기override(exact쌍 값불일치),"5211A10305J-S6-4/RAC30599301-1 unit=0.000729 diam=4.76 (rule=exact(self), exp=0.01421)"
AAB73230902-0,RAC30599301-1,SUB ASSY,0.0029,2.0,c_수기override(exact쌍 값불일치),"AAB73230902-0/RAC30599301-1 unit=0.0015 diam=6.35 (rule=exact(self), exp=0.0045)"
AAB73230902-1,RAC30599301-1,SUB ASSY,0.0029,2.0,c_수기override(exact쌍 값불일치),"AAB73230902-1/RAC30599301-1 unit=0.0015 diam=6.35 (rule=exact(self), exp=0.0045)"
AJJ75698803,RAC30599301-1,Supporter Assembly,0.0018,2.0,c_수기override(exact쌍 값불일치),"AJJ75698803/RAC30599301-1 unit=0.00345 diam=15.88 (rule=exact(self), exp=0.01035)"
AJJ76559010,RAC30599301-1,Supporter Assembly,0.0087,4.0,c_수기override(exact쌍 값불일치),"AJJ76559010/RAC30599301-1 unit=0.00165 diam=6.35 (rule=exact(self), exp=0.0099)"
AJJ76559011,RAC30599301-1,Supporter Assembly,0.0117,4.0,c_수기override(exact쌍 값불일치),"AJJ76559011/RAC30599301-1 unit=0.0017 diam=6.35 (rule=exact(self), exp=0.0102)"
AJR30007604-SUB,RAC30599327,은납-SUB,0.0012,2.0,c_수기override(exact쌍 값불일치),"AJR30007604-SUB/RAC30599327 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0024)"
AJR30009003-SUB,RAC30599327,은납-SUB,0.0018,2.0,c_수기override(exact쌍 값불일치),"AJR30009003-SUB/RAC30599327 unit=0.0012 diam=15.88 (rule=exact(self), exp=0.0036)"
AJR30027714,RAC30599301-1,"Tube Assembly,Reverse",0.1488,10.0,c_수기override(exact쌍 값불일치),"AJR30027714/RAC30599301-1 unit=0.003307 diam=22.0 (rule=exact(self), exp=0.0496)"
AJR30029802,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0198,14.0,c_수기override(exact쌍 값불일치),"AJR30029802/RAC30599301-1 unit=0.0008 diam=7.94 (rule=exact(self), exp=0.0168)"
AJR30030101,RAC30599301-1,"Tube Assembly,Manifold(Indoor)",0.0186,13.0,c_수기override(exact쌍 값불일치),"AJR30030101/RAC30599301-1 unit=0.0008 diam=9.52 (rule=exact(self), exp=0.0156)"
AJR30037109,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0144,8.0,c_수기override(exact쌍 값불일치),"AJR30037109/RAC30599301-1 unit=0.0013 diam=6.35 (rule=exact(self), exp=0.0156)"
AJR30037110,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0144,8.0,c_수기override(exact쌍 값불일치),"AJR30037110/RAC30599301-1 unit=0.0013 diam=6.35 (rule=exact(self), exp=0.0156)"
AJR30037111,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0144,8.0,c_수기override(exact쌍 값불일치),"AJR30037111/RAC30599301-1 unit=0.0013 diam=6.35 (rule=exact(self), exp=0.0156)"
AJR30038301-S6-1,RAC30599301-1,사내 SUB,0.0093,2.0,c_수기override(exact쌍 값불일치),"AJR30038301-S6-1/RAC30599301-1 unit=0.001 diam=12.7 (rule=exact(self), exp=0.003)"
AJR30079101,RAC30599301-1,"Tube Assembly, Expansion",0.0078,13.0,c_수기override(exact쌍 값불일치),"AJR30079101/RAC30599301-1 unit=0.000785 diam=4.76 (rule=exact(self), exp=0.0153)"
AJR30086101,RAC30599301-1,"Tube Assembly, Expansion",0.0171,12.0,c_수기override(exact쌍 값불일치),"AJR30086101/RAC30599301-1 unit=0.00115 diam=12.7 (rule=exact(self), exp=0.0207)"
AJR30086102,RAC30599301-1,"Tube Assembly, Expansion",0.0171,12.0,c_수기override(exact쌍 값불일치),"AJR30086102/RAC30599301-1 unit=0.00115 diam=12.7 (rule=exact(self), exp=0.0207)"
AJR30087301,RAC30599301-1,"Tube Assembly,Reverse",0.0285,23.0,c_수기override(exact쌍 값불일치),"AJR30087301/RAC30599301-1 unit=0.000864 diam=6.35 (rule=exact(self), exp=0.0298)"
AJR30105801,RAC30599301-1,Tube Assembly,0.0276,15.0,c_수기override(exact쌍 값불일치),"AJR30105801/RAC30599301-1 unit=0.00104 diam=15.88 (rule=exact(self), exp=0.0234)"
AJR30106101,RAC30599301-1,"Tube Assembly, Expansion",0.0078,13.0,c_수기override(exact쌍 값불일치),"AJR30106101/RAC30599301-1 unit=0.000785 diam=4.76 (rule=exact(self), exp=0.0153)"
AJR33796512,RAC30599301-1,"Tube Assembly,Capillary",0.003,2.0,c_수기override(exact쌍 값불일치),"AJR33796512/RAC30599301-1 unit=0.0008 diam=9.52 (rule=exact(self), exp=0.0024)"
