node,name,cs_soyo,bom_soyo,ratio,direction,weld_item,last_prod,active,top_parent,cs_detail,cs_upd,bom_upd,newer
5211A11604A,"Tube Assembly, Connector",0.0072,0.0105,0.686,CS<BOM,RAC30599301-1,2026-05-28,1,,6.35φ×5·9.52φ×1,2022-03-16,2023-08-17,BOM최신
5211A20459J-SUB,은납-SUB,0.0015,0.0,,CS>BOM,RAC30599327,2026-07-02,1,5211A20459J,12.7φ×1,2026-07-01,2026-07-01,CS최신
5211A21806A,"Tube Assembly, Evaporator (Out)",0.0058,0.007,0.829,CS<BOM,RAC30599301-1,2026-01-12,1,,5.0φ×1·6.35φ×3·9.52φ×1,2022-12-01,2024-07-08,BOM최신
5211A21813B,"Tube Assembly, Manifold",0.0075,0.009,0.833,CS<BOM,RAC30599301-1,2026-04-09,1,,5.0φ×6·9.52φ×1,2022-03-15,2023-08-17,BOM최신
5211A23366A,"Tube Assembly, Manifold",0.0051,0.0,,CS>BOM,RAC30599327,2025-05-21,1,,9.52φ×1·9.52φ×2·12.7φ×1,2026-07-28,2025-05-28,CS최신
ADM73210516,Exchanger Assembly,0.0241,0.0172,1.401,CS>BOM,RAC30599330,2026-07-31,1,,9.52φ×1·15.88φ×1·28.0φ×1·28.0φ×1·28.0φ×1,2025-10-02,2025-10-02,BOM최신
AJJ72912201,Supporter Assembly,0.0012,0.0059,0.203,CS<BOM,RAC30599301-1,2025-03-14,1,,7.94φ×1,2026-07-01,2020-12-28,CS최신
AJJ75358444,Supporter Assembly,0.0051,0.0,,CS>BOM,RAC30599301-1,2026-06-11,1,,6.35φ×2·9.52φ×1·12.7φ×1,2024-03-22,2025-06-18,BOM최신
AJJ75698803,Supporter Assembly,0.0103,0.0018,5.722,CS>BOM,RAC30599301-1,2025-11-04,1,,15.88φ×1·31.75φ×1,2026-07-02,2024-07-17,CS최신
AJJ75838626,Supporter Assembly,0.0063,0.0051,1.235,CS>BOM,RAC30599328,2026-08-02,1,,6.35φ×2·9.52φ×1·9.52φ×1·12.7φ×1,2026-05-15,2026-06-30,BOM최신
AJJ76559010,Supporter Assembly,0.0099,0.0087,1.138,CS>BOM,RAC30599301-1,2025-11-06,1,,6.35φ×1·9.52φ×1·19.05φ×1·22.0φ×1,2024-01-04,2025-02-01,BOM최신
