구분,도번,일자,수량,브랜치,제번,작업처,매입처,품명
과거,AEG74792502,260902,1025,②,"WO1079895GR,WO1086163GR",,,
미래,AJR74482401,260908,320,④,WO1093446KS,,2096,"Tube Assembly, Connector"
미래,AGR30801603,260908,302,④,"WO1092301LT,WO1092352LT,WO1094239AR",,2306,Pipe Assembly
미래,MAZ64571803,260908,210,④,WO1089997KS,,2049,Bracket
미래,MKW30000006,260908,200,④,"WO1091721SVC,WO1094713SVC",,2045,"Plug,Fusible"
미래,AJR30004702,260916,135,②,WO1095140SS,P1,,"Tube Assembly, Manifold(Indoor)"
미래,MAZ64571804,260908,130,④,WO1090007KS,,2049,Bracket
미래,3A00375E,260908,128,④,"WO1092044KS,WO1093518AR,WO1093894NG2",,2136,"Socket,Flare"
과거,AJR72367702,260907,110,②,WO1093262SVC,,,
미래,AJR72982301,260917,110,④,WO1095151SS,,2148,"Tube Assembly,Manifold(Indoor)"
미래,AJR72982301,260918,109,④,WO1095534SS,,2148,"Tube Assembly,Manifold(Indoor)"
미래,5214A20035A,260908,102,④,"WO1074603AP,WO1090733AP,WO1091740SVC",,2023,"Hose,Drain"
과거,5211A10305J,260907,100,②,"WO1091944SVC,WO1094644SVC",,,
미래,6851A20022V,260908,100,④,WO1086037SVC,,2326,"CABLE, ASSEMBLY"
과거,AJR30031601,260907,77,②,WO1092118KS,,,
과거,MJU62356501,260907,71,②,"WO1092285DHZ,WO1092740DHZ",,,
과거,AJR73952005,260907,65,②,"WO1089244SVC,WO1091809SVC,WO1092888SVC",,,
과거,AGF30024008,260904,64,②,WO1093426KS,,,
과거,AEG74589807,260902,48,②,"WO1086156GR,WO1087591GR,WO1095648GR",P1,,히터탱크
미래,4778A20001A,260908,44,④,"WO1024360AP,WO1040005AP,WO1053113AP",,2056,"Leg,Install"
과거,AJR30030101,260907,40,②,WO1092097KS,,,
과거,AJR73964602,260907,40,②,WO1089217SVC,,,
미래,FAD31051901,260908,40,④,WO1067899AR,,2136,Nut Flare(1/4 - 6.35)
미래,FAD31051903,260908,40,④,WO1067905AR,,2136,Nut Flare(1/2 - 12.7)
미래,4010AR3071H,260908,40,④,WO1093921AR,,2136,SOCKET FLARE
미래,MJU64690301,260908,40,⑤,WO1052468SVC,P2,,"Tube,Connector"
미래,AEG74589807,260910,37,②,WO1095656GR,P1,,히터탱크
과거,AJR68019501,260907,35,②,"WO1089295SVC,WO1093004SVC",,,
미래,MJU64671113,260908,35,⑤,WO1078081AR,P2,,"Tube,Connector"
과거,AJR73767403,260907,30,②,WO1092865SVC,,,
과거,AJR73327007,260907,30,②,WO1094661SVC,,,
과거,AJR73915612,260907,30,②,WO1094683SVC,,,
과거,5211A10305F,260907,30,②,WO1091635SVC,,,
과거,AJR73327003,260907,30,②,WO1093641SVC,,,
과거,AJR76363001,260907,30,②,WO1092898SVC,,,
미래,MEV39836107,260908,29,④,"WO1094823AR,WO1094913AR,WO1095038AR",,2345,Insulator
과거,AJR72953201,260907,25,②,WO1092938SVC,,,
과거,AJR75725401,260907,25,②,WO1092921SVC,,,
과거,AJJ74618301,260907,25,②,"WO1089371SVC,WO1093144SVC",,,
미래,AJR73803002,260917,25,②,"WO1092945SVC,WO1095727SVC",P1,,"Tube Assembly, Connector"
과거,AJR30120101,260904,25,②,WO1092145KS,,,
미래,5410A30279A,260908,25,④,WO1095637NG,,2345,Insulator
과거,AJR30027704,260904,24,②,"WO1094193AR,WO1095296AR",,,
과거,AJR30029601,260907,23,②,"WO1092070KS,WO1092816SVC",,,
과거,AJR72928103,260907,20,②,WO1092900SVC,,,
과거,AJR30029602,260907,20,②,WO1092081KS,,,
과거,AJR73767401,260907,20,②,WO1092855SVC,,,
과거,AJR73915607,260904,20,②,WO1092950SVC,,,
과거,AJR74266005,260907,20,②,WO1093124SVC,,,
과거,5211A10305E,260907,20,②,WO1094630SVC,,,
과거,AJR72952503,260907,20,②,WO1093036SVC,,,
과거,AJR73767202,260907,20,②,WO1095007SVC,,,
과거,AJR73062401,260907,20,②,WO1093011SVC,,,
과거,AJR73803007,260907,20,②,WO1094220SVC,,,
과거,AJR76363002,260907,20,②,WO1091798SVC,,,
과거,AJR73803001,260907,20,②,WO1092990SVC,,,
미래,5210A23376A,260908,20,④,"WO1088461AR,WO1094872AR",,2266,"Tube,Connector"
미래,EAP65285905,260908,20,④,WO1090283SVC,,2093,"Coil Module, Expansion"
미래,MEG66660106,260908,20,④,WO1094882AR,,2246,"Holder,Tubing"
미래,MJU00777203,260908,20,⑤,"WO1088444AR,WO1094868AR",P2,,"Tube,Connector"
과거,AJR30030103,260907,19,②,WO1092100KS,,,
과거,ADM74930507,260907,18,②,"WO1064179SVC,WO1082876SVC",,,
미래,40036920,260908,16,④,"WO1061667SVC,WO1082719SVC,WO1089615SVC",,2234,"Gasket,Mechanical"
과거,AJR72367603,260907,15,②,WO1091679SVC,,,
과거,AJR75463002,260907,15,②,WO1094694SVC,,,
과거,AJR30118401,260907,15,②,WO1092134KS,,,
과거,AJR73123101,260907,15,②,WO1093109SVC,,,
과거,AJR75942503,260907,15,②,WO1093183SVC,,,
과거,AJR30118201,260907,15,②,WO1092123KS,,,
과거,AJR72928401,260907,15,②,WO1092401SVC,,,
과거,AJR75483401,260907,15,②,WO1093280SVC,,,
과거,AJJ73898612,260907,15,②,WO1087509SVC,,,
미래,MJU64671114,260908,15,⑤,WO1078097AR,P2,,"Tube,Connector"
미래,MHT63023306,260908,13,④,"WO1059250SVC,WO1080216SVC",,2136,EASY LINK 연결조인트(Ø12.7-Ø15.88)
과거,AJR75103117,260907,10,②,WO1094999SVC,,,
과거,AJR30007603,260907,10,②,WO1083995SVC,,,
과거,AJR77144201,260907,10,②,WO1090405SVC,,,
과거,AJR74385604,260904,10,②,WO1093175SVC,,,
과거,AJR74984305,260907,10,②,WO1089471SVC,,,
과거,AJR30019901,260904,10,②,WO1093156SVC,,,
과거,5211A11604C,260907,10,②,WO1093097SVC,,,
과거,AJR32883902,260907,10,②,WO1094325SVC,,,
과거,AJR32883903,260907,10,②,WO1093207SVC,,,
과거,AJR73767201,260907,10,②,WO1092416SVC,,,
미래,AJJ75358446,260908,10,②,WO1088971SVC,P1,,Supporter Assembly
과거,AJR74265701,260904,10,②,"WO1082818SVC,WO1089727SVC",,,
과거,ADM73210506,260904,10,②,WO1089401SVC,,,
