계획일,제번,분할제번,품목,ASSY,라인,가공공정,당김일자,수량,작업처,품명,매입처,상태,웹_제번행수,웹_품목행수,ITEM_DTL_제번행수
260908,WO1053568SVC,WO1053568SVC,AJR77224106,AJR77224106,SVC,RAC,260907,5.0,,"Tube Assembly,Suction(Outdoor)",,3,0,0,0
260908,WO1066333SVC,WO1066333SVC,AJR74444401,AJR74444401,SVC,S11,260907,2.0,,"Tube Assembly,Suction(Outdoor)",,3,0,0,0
260908,WO1068357SVC,WO1068357SVC,AJR73663001,AJR73663001,SVC,RAC,260907,3.0,,"Tube Assembly,Reverse",,1,0,0,0
260908,WO1069792SVC,WO1069792SVC,AJJ75639406,AJJ75639406,SVC,RAC,260907,5.0,,Supporter Assembly,,1,0,0,0
260908,WO1076449SVC,WO1076449SVC,AJR74803536,AJR74803536,SVC,RAC,260907,5.0,,"Tube Assembly,Condenser(Out)",,2,0,0,0
260908,WO1082818SVC,WO1082818SVC,AJR74265701,AJR74265701,SVC,S11,260904,5.0,,"Tube Assembly,Suction(Outdoor)",,3,0,0,0
260908,WO1083033SVC,WO1083033SVC,AJR74423407,AJR74423407,SVC,RAC,260907,3.0,,"Tube Assembly,Suction(Outdoor)",,3,0,0,0
260908,WO1083221SVC,WO1083221SVC,AJR74423407,AJR74423407,SVC,RAC,260907,3.0,,"Tube Assembly,Suction(Outdoor)",,3,0,0,0
260908,WO1087509SVC,WO1087509SVC,AJJ73898612,AJJ73898612,SVC,RAC,260907,15.0,,Supporter Assembly,,3,0,0,0
260908,WO1087536SVC,WO1087536SVC,AJR73964902,AJR73964902,SVC,RAC,260907,3.0,,"Tube Assembly,Discharge(Outdoor)",,1,0,0,0
260908,WO1087547SVC,WO1087547SVC,AJR73964905,AJR73964905,SVC,RAC,260907,3.0,,"Tube Assembly,Discharge(Outdoor)",,1,0,0,0
260908,WO1087557SVC,WO1087557SVC,AJR73964906,AJR73964906,SVC,RAC,260907,3.0,,"Tube Assembly,Discharge(Outdoor)",,1,0,0,0
260908,WO1089217SVC,WO1089217SVC,AJR73964602,AJR73964602,SVC,RAC,260907,40.0,,"Tube Assembly,Discharge(Outdoor)",,1,0,0,0
260908,WO1089295SVC,WO1089295SVC,AJR68019501,AJR68019501,SVC,S6,260907,15.0,,1-way 표준화 제품,,1,0,0,0
260908,WO1089697SVC,WO1089697SVC,AJR73964607,AJR73964607,SVC,RAC,260907,5.0,,"Tube Assembly,Discharge(Outdoor)",,1,0,0,0
260908,WO1089727SVC,WO1089727SVC,AJR74265701,AJR74265701,SVC,S11,260904,5.0,,"Tube Assembly,Suction(Outdoor)",,3,0,0,0
260908,WO1091158SVC,WO1091158SVC,AJR52737613,AJR52737613,SVC,RAC,260907,3.0,,"Tube Assembly,Suction(Outdoor)",,1,0,0,0
260908,WO1091320SVC,WO1091320SVC,AJR72586213,AJR72586213,SVC,RAC,260907,3.0,,"Tube Assembly,Discharge(Outdoor)",,1,0,0,0
260908,WO1091649SVC,WO1091649SVC,AJJ75358428-SUB,AJJ75358428,SVC,S8,260904,10.0,,[-SUB] 사내 SUB,,,0,0,0
260908,WO1091705SVC,WO1091705SVC,AJR73984501,AJR73984501,SVC,S6,260907,3.0,,SUB ASSY,,1,0,0,0
260908,WO1091713SVC,WO1091713SVC,AJR74182305,AJR74182305,SVC,S1,260907,3.0,,"Tube Assembly,Expansion",,1,0,0,0
260908,WO1091980SVC,WO1091980SVC,AJR30167201,AJR30167201,SVC,RAC,260907,3.0,,"Tube Assembly,Manifold(Indoor)",,1,0,0,0
260908,WO1092026SVC,WO1092026SVC,AJR74424506,AJR74424506,SVC,RAC,260907,3.0,,"Tube Assembly,Manifold(Outdoor)",,3,0,0,0
260908,WO1093004SVC,WO1093004SVC,AJR68019501,AJR68019501,SVC,S6,260907,20.0,,1-way 표준화 제품,,1,0,0,0
260908,WO1093183SVC,WO1093183SVC,AJR74942623-고압,AJR75942503,SVC,S10,260904,15.0,,[-고압] AJR74942623-SUB,,,0,0,0
260908,WO1093183SVC,WO1093183SVC,AJR74942709-저압,AJR75942503,SVC,S10,260904,15.0,,[-저압] AJR74942709-SUB,,,0,0,0
260908,WO1093258SVC,WO1093258SVC,AJR33796503,AJR33796503,SVC,S6,260907,5.0,,"Tube Assembly,Capillary",,1,0,0,0
260908,WO1093258SVC,WO1093258SVC,AJR33796503-SUB,AJR33796503,SVC,S10,260904,5.0,,[-SUB] 체결 SUB,,,0,0,0
260908,WO1093262SVC,WO1093262SVC,AJR72367702,AJR72367702,SVC,S6,260907,110.0,,"Tube Assembly,Distributor",,3,0,0,0
260908,WO1093270SVC,WO1093270SVC,AJR74182305,AJR74182305,SVC,S1,260907,3.0,,"Tube Assembly,Expansion",,1,0,0,0
260908,WO1093632SVC,WO1093632SVC,AJR71433340,AJR71433340,SVC,RAC,260907,3.0,,"Tube Assembly,Expansion",,1,0,1,0
260908,WO1093840AP,WO1093840AP,AJR30133702,AJR30133702,AP,S5,260904,1.0,,"Tube Assembly,Manifold(Outdoor)",,2,0,118,0
260908,WO1093867NG,WO1093867NG,AJR30133707,AJR30133707,NG,S5,260907,1.0,,"Tube Assembly,Manifold(Outdoor)",,2,0,156,0
260908,WO1094009SVC,WO1094009SVC,5211A30050E,5211A30050E,SVC,RAC,260907,5.0,,"Tube Assembly, Manifold (Outdoor)",,1,0,0,0
260908,WO1094017SVC,WO1094017SVC,AJR36618614,AJR36618614,SVC,RAC,260907,3.0,,Tube Assembly Reverse,,1,0,0,0
260908,WO1094021SVC,WO1094021SVC,AJR71433340,AJR71433340,SVC,RAC,260907,3.0,,"Tube Assembly,Expansion",,1,0,1,0
260908,WO1094732SVC,WO1094732SVC,AJR34565804,AJR34565804,SVC,S6,260908,3.0,,"Tube Assembly,Condenser(Out)",,3,0,0,0
260908,WO1094749SVC,WO1094749SVC,AJR72946802,AJR72946802,SVC,S1,260907,3.0,,"Tube Assembly,Reverse",,1,0,0,0
260908,WO1094750SVC,WO1094750SVC,AJR72946806,AJR72946806,SVC,RAC,260904,3.0,,"Tube Assembly,Reverse",,1,0,0,0
260908,WO1094760SVC,WO1094760SVC,AJR74162503,AJR74162503,SVC,RAC,260907,3.0,,"Tube Assembly,Condenser(Out)",,3,0,0,0
