업체시트,Assy,원소재,사급부품,용접봉,가공비,동소요kg,판가,기존가확정,참조,부품수,flags
대원산업 (3),5210A22271A,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A22271B,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A22271C,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A22271D,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A22271E,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A23089D,422,0,0,89,0.0211,511,0,,1,
대원산업 (3),5210A30994B,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30994C,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30994D,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30994H,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30994J,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30994K,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30998B,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30998C,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30998F,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5210A30998G,0,0,0,0,0.0,0,0,,0,
대원산업 (3),5211A20459-12-1,1328,494,60,2167,0.1757,2720,0,,6,
대원산업 (3),ADM74930508,866,147,20,565,0.1143,1596,0,,6,
대원산업 (3),ADM74930508-12-2,866,0,0,172,0.1143,1037,0,,1,
대원산업 (3),AJJ30041801,0,26409,103,462,0.0,26973,0,,4,
대원산업 (3),AJJ30041802,799,37124,123,634,0.0363,38679,0,,5,
대원산업 (3),AJJ30041901,0,24143,66,397,0.0,24606,0,,3,
대원산업 (3),AJJ30041902,799,23110,76,496,0.0363,24480,0,,4,
대원산업 (3),AJJ73898602,375,0,0,185,0.0489,560,0,,2,
대원산업 (3),AJJ73898630,0,859,0,0,0.0,859,0,,1,
대원산업 (3),AJJ73898636,0,1060,0,0,0.0,1060,0,,1,
대원산업 (3),AJJ75358401,0,4968,0,413,0.0,5380,0,,6,
대원산업 (3),AJJ75358423,0,4130,0,413,0.0,4542,0,,6,
