품번,거래처,업체시트,입고수량,최근입고,원소재,사급부품,용접봉,가공비,동소요kg,판가,flags
5210A23089D,대원산업,대원산업 (3),1794,260630,422,0,0,89,0.0211,511,
5210A23376A,케이비,케이비 (2),52883,260729,174,0,0,84,0.023,258,
ACQ30662801-16-1,케이비,케이비 (2),25,260713,0,0,0,0,0.0,0,
AGR30801601,명진산업,명진산업 (2),4199,260723,0,23856,33,306,0.0,24194,
AGR30801602,명진산업,명진산업 (2),2791,260730,0,23856,33,306,0.0,24194,
AJJ30041801,대원산업,대원산업 (3),563,260730,0,26409,103,462,0.0,26973,
AJJ30041802,대원산업,대원산업 (3),1394,260730,799,37124,123,634,0.0363,38679,
AJJ30041901,대원산업,대원산업 (3),2152,260730,0,24143,66,397,0.0,24606,
AJJ30041902,대원산업,대원산업 (3),3020,260730,799,23110,76,496,0.0363,24480,
AJJ75698803,대원산업,대원산업 (3),24,260624,0,70960,30,161,0.0,71151,
AJJ75698804,대원산업,대원산업 (3),585,260624,0,69101,30,161,0.0,69292,
AJJ76418701,대원산업,대원산업 (3),1193,260728,0,14301,59,324,0.0,14683,
AJJ76418702,대원산업,대원산업 (3),1061,260728,0,20341,73,325,0.0,20738,
AJJ76418703,대원산업,대원산업 (3),1460,260730,0,21293,76,325,0.0,21694,
AJJ76418704,대원산업,대원산업 (3),683,260721,0,21049,76,325,0.0,21450,
AJJ76418705,대원산업,대원산업 (3),2725,260730,0,21439,86,326,0.0,21851,
AJJ76418706,대원산업,대원산업 (3),582,260730,0,20186,76,325,0.0,20587,
AJJ76418707,대원산업,대원산업 (3),99,260610,0,37969,95,326,0.0,38390,
AJJ76418720,대원산업,대원산업 (3),40,260728,0,16643,59,360,0.0,17061,
AJJ76418721,대원산업,대원산업 (3),147,260729,0,22190,73,325,0.0,22587,
AJJ76418722,대원산업,대원산업 (3),2197,260728,0,23842,76,325,0.0,24243,
AJJ76418723,대원산업,대원산업 (3),4003,260729,0,23598,76,325,0.0,23999,
AJJ76418724,대원산업,대원산업 (3),3883,260629,0,23988,86,326,0.0,24400,
AJJ76418725,대원산업,대원산업 (3),3811,260729,0,22735,76,325,0.0,23136,
AJJ76418727,대원산업,대원산업 (3),954,260729,0,16959,59,324,0.0,17341,
AJJ76418728,대원산업,대원산업 (3),1903,260730,0,22981,73,325,0.0,23378,
AJJ76418729,대원산업,대원산업 (3),3264,260729,0,23933,76,325,0.0,24334,
AJJ76559001,대원산업,대원산업 (3),218,260716,0,22964,91,461,0.0,23516,
AJJ76559002,대원산업,대원산업 (3),160,260727,0,29004,105,462,0.0,29570,
AJJ76559003,대원산업,대원산업 (3),652,260729,0,29956,109,462,0.0,30527,
AJJ76559004,대원산업,대원산업 (3),2857,260729,0,36978,109,462,0.0,37549,
AJJ76559005,대원산업,대원산업 (3),579,260730,0,34019,123,463,0.0,34604,
AJJ76559006,대원산업,대원산업 (3),2133,260508,0,35272,133,464,0.0,35868,
AJJ76559007,대원산업,대원산업 (3),67,260519,0,47268,133,464,0.0,47864,
AJJ76559008,대원산업,대원산업 (3),612,260728,0,50512,139,464,0.0,51115,
AJJ76559009,대원산업,대원산업 (3),621,260729,0,23073,91,461,0.0,23625,
AJJ76559010,대원산업,대원산업 (3),693,260729,0,29095,105,462,0.0,29661,
AJJ76559011,대원산업,대원산업 (3),150,260316,0,30047,109,462,0.0,30618,
AJJ76559012,대원산업,대원산업 (3),176,260724,0,24906,91,461,0.0,25458,
AJJ76559013,대원산업,대원산업 (3),299,260714,0,30928,105,462,0.0,31494,
AJJ76559014,대원산업,대원산업 (3),440,260714,0,31880,109,462,0.0,32451,
AJJ76559015,대원산업,대원산업 (3),267,260728,0,25110,91,461,0.0,25662,
AJJ76559016,대원산업,대원산업 (3),576,260728,0,37211,103,462,0.0,37775,
AJJ76559017,대원산업,대원산업 (3),912,260728,0,36207,103,462,0.0,36771,
AJJ76559102,대원산업,대원산업 (3),7,260715,0,23013,91,461,0.0,23565,
AJJ76559103,대원산업,대원산업 (3),122,260728,0,28850,105,462,0.0,29416,
AJJ76559106,대원산업,대원산업 (3),210,260728,0,36214,133,464,0.0,36810,
AJJ76617501,대원산업,대원산업 (3),809,260729,0,85839,46,235,0.0,86120,
AJJ76617502,대원산업,대원산업 (3),698,260729,0,86687,46,235,0.0,86968,
AJR30001401,이젠터,이젠터 (2),387,260727,3745,822,243,1778,0.4951,6586,
AJR30008202,미래정밀,미래정밀 (2),1114,260727,4710,1724,46,1458,0.6233,7934,
AJR30060707,케이비,케이비 (2),2,260622,3807,2347,65,1192,0.1903,7408,
AJR30061101,이젠터,이젠터 (2),1527,260213,522,0,16,696,0.0471,1232,
AJR30078701,이젠터,이젠터 (2),57,260127,2372,1296,183,1322,0.1897,5171,
AJR30116701,이젠터,이젠터 (2),364,260730,3571,0,223,1713,0.3354,5504,
AJR30117302,이젠터,이젠터 (2),1109,260727,5588,0,249,3395,0.4419,9228,
AJR30133702,미래정밀,미래정밀 (2),20,260731,4238,123,33,957,0.1926,5347,
AJR34739811,이젠터,이젠터 (2),145,260521,1588,0,60,827,0.2092,2472,
AJR34739816,이젠터,이젠터 (2),835,260618,1123,1904,161,1249,0.1485,4435,
AJR34739818,케이비,케이비 (2),1,260713,1274,2936,150,1294,0.1683,5654,
AJR34739820,이젠터,이젠터 (2),4550,260722,2043,114,117,985,0.2702,3256,
AJR34739824,이젠터,이젠터 (2),1649,260727,1123,1924,161,1250,0.1485,4456,
AJR71433340-4-1,미래정밀,미래정밀 (2),3261,260728,574,0,0,149,0.0287,722,
AJR72914508,이젠터,이젠터 (2),378,260728,83,0,0,82,0.0108,164,
AJR72919805,이젠터,이젠터 (2),2571,260709,0,90,11,112,0.0,213,
AJR72982301,대원산업,대원산업 (3),10236,260730,5611,13824,695,4834,0.735,24960,
AJR73324501,미래정밀,미래정밀 (2),1304,260724,5843,3210,181,1859,0.2922,11092,
AJR73324503,미래정밀,미래정밀 (2),60,260423,89,4329,75,507,0.0116,5000,
AJR73326604,이젠터,이젠터 (2),10,260422,3004,0,197,1713,0.3968,4912,
AJR73326623,이젠터,이젠터 (2),64,260703,16491,4777,517,6042,2.1797,27815,
AJR73326629,이젠터,이젠터 (2),103,260723,2065,0,145,1596,0.2721,3803,
AJR73326630,이젠터,이젠터 (2),25,260507,4856,0,224,2236,0.6415,7313,
AJR73342801,미래정밀,미래정밀 (2),65,260427,5172,2190,161,1820,0.2981,9339,
AJR73342803,미래정밀,미래정밀 (2),35,260622,5507,2436,68,1501,0.3885,9510,
AJR73364601,미래정밀,미래정밀 (2),467,260429,1494,1804,50,836,0.1973,4181,
AJR73768803,대원산업,대원산업 (3),5,260728,479,3044,119,4319,0.0626,7959,
AJR74425405,이젠터,이젠터 (2),15,260617,4694,0,362,1887,0.6198,6939,
AJR74444508,케이비,케이비 (2),1686,260730,321,2733,116,1264,0.0416,4433,
AJR74482401,미래정밀,미래정밀 (2),217,260730,217,0,30,1450,0.0287,1695,
AJR74522901-12-1,대원산업,대원산업 (3),4579,260729,77,0,0,60,0.0101,137,
AJR75123901,이젠터,이젠터 (2),1324,260729,2897,3816,347,2680,0.3806,9734,
AJR75605101,대원산업,대원산업 (3),130,260610,100,0,11,153,0.013,263,
AJR75605102,대원산업,대원산업 (3),77,260612,1400,0,12,536,0.1848,1946,
AJR75605104,대원산업,대원산업 (3),839,260710,508,0,0,121,0.0672,628,
AJR75662308,미래정밀,미래정밀 (2),6,260610,2723,172,12,868,0.3553,3772,
AJR75662327,미래정밀,미래정밀 (2),77,260612,1056,1730,42,730,0.1397,3557,
AJR75662342,미래정밀,미래정밀 (2),832,260324,584,246,20,468,0.0455,1317,
AJR75662343,대원산업,대원산업 (3),6471,260630,0,0,0,0,0.0,2700,"기존가,원소재미도출:치수없음(AJR75662333)"
AJR75662347,케이비,케이비 (2),3418,260707,1437,246,41,485,0.111,2207,
AJR75662350,케이비,케이비 (2),54515,260731,0,239,0,0,0.0,239,
AJR75712102,중앙정밀,중앙정밀 (2),40,260729,177,0,0,57,0.0231,233,
AJR75743209,이젠터,이젠터 (2),6,260715,5900,0,50,2004,0.7789,7949,
AJR76522501,미래정밀,미래정밀 (2),22,260715,434,5820,198,2017,0.0566,8466,
AJR77144207,이젠터,이젠터 (2),6,260331,2300,0,201,2292,0.3026,4791,
AJR77144305,이젠터,이젠터 (2),65,260706,5153,0,250,2510,0.6809,7910,
AJR77145701,이젠터,이젠터 (2),437,260702,3926,0,256,3459,0.5151,7636,
AJR77170902,썬텍코리아,썬텍코리아 (3),374,260720,10204,0,289,4913,1.1609,15396,
AJR77182802,썬텍코리아,썬텍코리아 (3),1086,260720,3941,0,139,2141,0.3025,6218,
AJR77182902,썬텍코리아,썬텍코리아 (3),1089,260720,3594,0,129,1809,0.2759,5530,
MJU00777211,대원산업,대원산업 (3),898,260702,3606,0,0,361,0.1639,3966,
MJU37361117,케이비,케이비 (2),20,260728,372,0,0,123,0.0296,494,
MJU60436406,케이비,케이비 (2),5,260710,350,0,0,85,0.0284,435,
MJU61942901,케이비,케이비 (2),25,260707,661,0,0,195,0.0408,855,
MJU61943601,명진산업,명진산업 (2),7402,260729,0,0,0,0,0.0,0,
MJU61943608,명진산업,명진산업 (2),599,260728,0,0,0,0,0.0,0,
MJU62032701,중앙정밀,중앙정밀 (2),5,260420,427,0,0,94,0.0564,520,
MJU62078902,대원산업,대원산업 (3),104,260120,0,0,0,0,0.0,0,
MJU62614301,중앙정밀,중앙정밀 (2),120,260615,320,0,0,104,0.0417,423,
MJU62968801,명진산업,명진산업 (2),20,260415,194,0,0,95,0.0097,288,
MJU63357501,미래정밀,미래정밀 (2),1400,260214,1317,0,11,335,0.1745,1663,
MJU63407306,케이비,케이비 (2),20,260707,101,0,0,49,0.008,149,
MJU63470901,중앙정밀,중앙정밀 (2),5,260727,553,0,0,142,0.073,694,
