품번,품명,소분류,종류,협력사,입고수량,입고일수
AJR30140102-AL-1,Sub,120,SUB,ECOLINK(중신),5,1
EAP00689102,"Coil Module,Gear Expansi",310,매입,LT정밀,60,1
MJX30151802,"Valve,Gear Expansion",310,매입,LT정밀,60,1
4848A20005A,Accumulator,230,SUB-ASS,MTS,260,26
4848A20005L,Accumulator,230,SUB-ASS,MTS,5054,29
4848A20005X,ACCUM,230,SUB-ASS,MTS,75,12
4848A20007H,ACCUM,230,SUB-ASS,MTS,2,1
4848A20007K,Accumulator,230,SUB-ASS,MTS,6,1
4848A20007P,Accumulator,230,SUB-ASS,MTS,461,17
4849A10003J,"Pan,Oil",110,ASSY,MTS,10,4
4849A10047A,Accumulator Assembly,110,ASSY,MTS,90,3
4849A10047B,Accumulator Assembly,110,ASSY,MTS,30,1
4A00232N,Muffler,230,SUB-ASS,MTS,60,3
5210A21458T,Accumulator,230,SUB-ASS,MTS,5532,21
5256A30003G,Muffler,230,SUB-ASS,MTS,1600,7
5998A20002A,"Oil, Separator",130,단품(가공품),MTS,26,3
5998A20002L,"Separator,Oil",230,SUB-ASS,MTS,5898,14
5998A20002Q,"Separator, Oil",230,SUB-ASS,MTS,2585,51
AAB35754002,Accumulator,230,SUB-ASS,MTS,1341,30
AAB73250401,Accumulator Assembly,120,SUB,MTS,574,25
AAB73390401,Accumulator Assembly,230,SUB-ASS,MTS,6,1
AFY73689501,AFY73689501,120,SUB,MTS,3,1
AFY73689504,Muffler Assy,230,SUB-ASS,MTS,139,2
AFY73689511,MTS SUB,120,SUB,MTS,6,1
AFY73769504,Muffler Assembly,230,SUB-ASS,MTS,15,3
AFY74109506,Muffler Assembly,110,ASSY,MTS,1970,11
AJR71429331,"Tube Assembly,Suction",120,SUB,MTS,5,1
AJR71429341-7-1,MTS SUB,120,SUB,MTS,3567,36
AJR71429343,"Tube Assembly,Suction",120,SUB,MTS,3413,29
AJR73944505-7-1,AJR73944509-7-1 동일,120,SUB,MTS,450,12
AJR73944506-7-1,MTS SUB,120,SUB,MTS,121,15
AJR73973707,"Tube Assembly,Discharge(",110,ASSY,MTS,1275,24
AJR74424615-7-1,SUB ASSY,120,SUB,MTS,1072,17
AJR75102405-7-1,MTS SUB ASSY,120,SUB,MTS,10,1
AJR75244301,"Tube Assembly,Suction(Ou",120,SUB,MTS,6,2
AJR75625401-7-1,AJR75625401-7-1,120,SUB,MTS,29,1
AJR75711901-7-1,AJR75711901-7-1,120,SUB,MTS,38,12
AJR77167310-7-1,MTS SUB,120,SUB,MTS,12,1
AJR77223101,"Tube Assembly,Discharge",120,SUB,MTS,3,1
AJR77223102,"Tube Assembly,Discharge",120,SUB,MTS,417,7
MAA63804601,Accumulator,230,SUB-ASS,MTS,2924,66
MAA63804701,Accumulator,230,SUB-ASS,MTS,5,1
MAZ61974302,BRACKET,230,SUB-ASS,MTS,330,2
MAZ62144002,BRACKET,230,SUB-ASS,MTS,265,2
MHH41401201,OIL SEPARATOR,230,SUB-ASS,MTS,1152,61
MHH61981504,"Separator,Oil",110,ASSY,MTS,454,12
MHH61981504-7-1,MHH61981504-7-1,230,SUB-ASS,MTS,4578,81
MHH62041502,"Separator,Oil",230,SUB-ASS,MTS,5592,79
MHH62041507,"Oil, Separator",230,SUB-ASS,MTS,3558,84
5210A23089A,Tube Pinchoff,130,단품(가공품),대원산업,591,12
5210A23089D,"Tube,Pinch off",130,단품(가공품),대원산업,1844,24
5211A20459K-12-1,대원 SUB,120,SUB,대원산업,3688,16
ADM74930508-12-2,대원 SUB,120,SUB,대원산업,119,18
AJJ30041801,Supporter Assembly,110,ASSY,대원산업,563,44
AJJ30041802,Supporter Assembly,110,ASSY,대원산업,1402,52
AJJ30041901,Supporter Assembly,110,ASSY,대원산업,2152,39
AJJ30041902,Supporter Assembly,110,ASSY,대원산업,3257,53
AJJ75698803,Supporter Assembly,110,ASSY,대원산업,24,4
AJJ75698804,Supporter Assembly,110,ASSY,대원산업,585,23
AJJ75698806,Supporter Assembly,110,ASSY,대원산업,32,2
AJJ76418701,Supporter Assembly,110,ASSY,대원산업,1193,54
AJJ76418702,Supporter Assembly,110,ASSY,대원산업,1081,52
AJJ76418703,Supporter Assembly,110,ASSY,대원산업,1460,71
AJJ76418704,Supporter Assembly,110,ASSY,대원산업,683,36
AJJ76418705,Supporter Assembly,110,ASSY,대원산업,2773,88
AJJ76418706,Supporter Assembly,110,ASSY,대원산업,591,56
AJJ76418707,Supporter Assembly,110,ASSY,대원산업,99,14
AJJ76418720,Supporter Assembly,110,ASSY,대원산업,40,11
AJJ76418721,Supporter Assembly,110,ASSY,대원산업,147,29
AJJ76418722,Supporter Assembly,110,ASSY,대원산업,2197,64
AJJ76418723,Supporter Assembly,110,ASSY,대원산업,4005,81
AJJ76418724,Supporter Assembly,110,ASSY,대원산업,3883,61
AJJ76418725,Supporter Assembly,110,ASSY,대원산업,3883,69
AJJ76418727,Supporter Assembly,110,ASSY,대원산업,954,46
AJJ76418728,Supporter Assembly,110,ASSY,대원산업,1903,48
AJJ76418729,Supporter Assembly,110,ASSY,대원산업,3264,48
