시트,부품,역할,관측수,geom_kg,원소재min,원소재max,가공비,치수일관,geom목록
대원산업 (3),2H00351N,사급부품,2,0.0,719,719,0,True,[]
대원산업 (3),2H00351U,사급부품,1,0.0,0,0,0,True,[]
대원산업 (3),2H02479J,사급부품,1,0.0,880,880,0,True,[]
대원산업 (3),3A01582A,사급부품,3,0.0,17,17,0,True,[]
대원산업 (3),3E92334R,사급부품,1,0.0,0,0,485,True,[]
대원산업 (3),3H00815H,용접봉,54,0.0,24000,44500,286,True,[]
대원산업 (3),3H01582A,사급부품,13,0.0,17,17,0,True,[]
대원산업 (3),3H01582B,사급부품,1,0.0,0,0,0,True,[]
대원산업 (3),3H01582C,사급부품,5,0.0,7,7,0,True,[]
대원산업 (3),3H01582E,사급부품,3,0.0,28,28,0,True,[]
대원산업 (3),3H02716A,사급부품,1,0.0,176,176,0,True,[]
대원산업 (3),3H03659L,사급부품,1,0.0,538,538,0,True,[]
대원산업 (3),3H03659V,사급부품,2,0.0,832,832,0,True,[]
대원산업 (3),3h01582C,사급부품,1,0.0,7,7,0,True,[]
대원산업 (3),49112009,용접봉,4,0.0,44500,44500,477,True,[]
대원산업 (3),4930A20053A,사급부품,5,0.0,35,35,0,True,[]
대원산업 (3),4930A20053B,사급부품,10,0.0,35,35,0,True,[]
대원산업 (3),4A00114B,사급부품,1,0.0,1500,1500,0,True,[]
대원산업 (3),4A00114C,사급부품,6,0.0,1413,1554,0,True,[]
대원산업 (3),4A00114D,사급부품,1,0.0,685,685,0,True,[]
대원산업 (3),4A00114E,사급부품,2,0.0,716,716,0,True,[]
대원산업 (3),4A00114G,사급부품,2,0.0,2450,2450,0,True,[]
대원산업 (3),4A00114K,사급부품,2,0.0,1300,1300,0,True,[]
대원산업 (3),4H00006A,사급부품,2,0.0,16,16,0,True,[]
대원산업 (3),4H00049A,사급부품/제작동관,4,0.0126,96,161,43,True,[0.0126]
대원산업 (3),4H00901F,사급부품/제작동관,2,0.013,100,159,43,True,[0.013]
대원산업 (3),4H01281C,제작동관,1,0.0137,105,105,46,True,[0.0137]
대원산업 (3),4h01281c,사급부품,1,0.0,174,174,0,True,[]
대원산업 (3),5014A30001B,사급부품,2,0.0,105,105,0,True,[]
대원산업 (3),5014A30014B,사급부품,1,0.0,519,519,0,True,[]
대원산업 (3),5210A21172L,사급부품,1,0.0,770,770,0,True,[]
대원산업 (3),5210A21281K,사급부품,2,0.0,165,165,0,True,[]
대원산업 (3),5210A22034U,사급부품/제작동관,2,0.0081,63,120,46,True,[0.0081]
대원산업 (3),5210A22409A,사급부품,21,0.0,55,56,0,True,[]
대원산업 (3),5210A22409B,사급부품,12,0.0,57,67,0,True,[]
대원산업 (3),5210A22409C,사급부품,2,0.0,55,57,0,True,[]
대원산업 (3),5210A22441D,사급부품,2,0.0,867,867,0,True,[]
대원산업 (3),5210A23089A,사급부품,3,0.0,219,219,0,True,[]
대원산업 (3),5210A23089D,사급부품/제작동관,24,0.0211,264,422,0,True,[0.0211]
대원산업 (3),5210A23344B,사급부품,3,0.0,2210,2210,0,True,[]
