품번,거래처코드,입고수량
5210A30999N,2266,50.0
AAB32861207,2250,3.0
AAB73970501,2250,146.0
AJR73782506,2306,2.0
AJR76443003,2250,396.0
MAA63804701,2067,5.0
MAA63804704,2250,25.0
MAA63804705,2250,441.0
MHH62041504,2250,480.0
MJU00788201,2266,86.0
MJU00788301,2266,56.0
MJU00788501,2306,30.0
MJU00788502,2306,30.0
MJU00788503,2306,19.0
MJU00788504,2306,7.0
MJU41491701,2306,35.0
MJU41838702,2266,10.0
MJU42356104,2306,25.0
MJU42643701,2306,30.0
MJU42805401,2306,5.0
MJU42805402,2306,5.0
MJU42805403,2306,5.0
MJU42886501,2306,30.0
MJU42886601,2306,30.0
MJU42886701,2306,30.0
MJU61881601,2266,15.0
MJU61883301,2266,5.0
MJU61884602,2266,20.0
MJU61884603,2266,40.0
MJU61884604,2266,20.0
MJU61885401,2266,10.0
MJU61885501,2266,10.0
MJU61885701,2266,10.0
MJU61885801,2266,10.0
MJU61926702,2266,3.0
MJU61926803,2266,3.0
MJU61926804,2266,3.0
MJU62032601,2048,5.0
MJU62194501,2306,25.0
MJU62597001,2266,10.0
MJU62597101,2266,10.0
MJU62807413,2266,20.0
MJU62808301,2266,60.0
MJU62808401,2266,60.0
MJU62808501,2266,60.0
MJU62816201,2266,15.0
MJU62816401,2266,15.0
MJU62818901,2266,90.0
MJU62819201,2266,15.0
MJU62819701,2266,5.0
MJU62836101,2266,15.0
MJU62836201,2266,15.0
MJU62911901,2306,43.0
MJU62911903,2306,15.0
MJU62968508,2306,20.0
MJU62968521,2306,20.0
MJU62968522,2306,20.0
MJU62968523,2306,20.0
MJU62968524,2306,20.0
MJU62968525,2306,20.0
MJU62968526,2306,20.0
MJU62968527,2306,20.0
MJU62968528,2306,20.0
MJU62968529,2306,20.0
MJU62968530,2306,20.0
MJU62968604,2266,20.0
MJU62970901,2266,5.0
MJU62971001,2266,5.0
MJU62989301,2266,15.0
MJU62989601,2266,15.0
MJU62998402,2266,5.0
MJU63001010,2266,5.0
MJU63006501,2266,60.0
MJU63032113,2266,5.0
MJU63032114,2266,5.0
MJU63037905,2266,2.0
MJU63043601,2306,5.0
MJU63043604,2306,7.0
MJU63043605,2306,5.0
MJU63043607,2306,5.0
MJU63043608,2306,5.0
MJU63043609,2306,5.0
MJU63043617,2306,2.0
MJU63043621,2306,2.0
MJU63122901,2266,3.0
MJU63234801,2266,7.0
MJU63287901,2306,50.0
MJU63297801,2148,3.0
MJU63297802,2148,6.0
MJU63297803,2148,3.0
MJU63297804,2148,3.0
MJU63310702,2266,10.0
MJU63341510,2266,3.0
MJU63407201,2266,100.0
MJU63426601,2266,15.0
MJU63467005,2266,5.0
MJU63470916,2266,30.0
MJU63470920,2266,20.0
MJU63502401,2266,25.0
MJU63618202,2266,5.0
MJU63730503,2266,2.0
MJU63730504,2266,2.0
MJU63730505,2266,2.0
MJU63772601,2306,405.0
MJU64890925,2266,1.0
MJU64890926,2266,1.0
MJU64930001,2266,10.0
MJU64930002,2266,25.0
MJU64966203,2266,3.0
MJU65008415,2266,1.0
MJU65166801,2266,6.0
MJU65166802,2266,6.0
MJU65166803,2266,6.0
MJU65247403,2266,30.0
MJU65247404,2266,30.0
MJU65247406,2266,30.0
MJU65247407,2266,30.0
MJU65626401,2266,10.0
MJU65626402,2266,10.0
MJU65707415,2148,5.0
MJU65707425,2148,13.0
MJU66508203,2266,5.0
MJU66832708,2266,10.0
MJU66868010,2266,5.0
MJU66868011,2266,15.0
MJU66868607,2068,10.0
MJU66868608,2266,40.0
MJU66908501,2266,10.0
MJU66908502,2266,10.0
MJU66908503,2266,10.0
MJU66908504,2266,10.0
MJU66909102,2266,10.0
MJU66909103,2266,10.0
MJU66909104,2266,10.0
MJU66909701,2068,5.0
