협력사,품번,품명,metal,DxTxL
대원산업,5210A23089A,pinch off,CU,6.35x0.7x143.0
대원산업,5210A23089D,Tube Connector,CU,6.35x0.7x192.0
대원산업,AJR30073603-12-1,"Tube,Connector",,0.0x0.0x0.0
대원산업,MJU00743201,Tube Connector,CU,12.7x0.8x104.0
대원산업,MJU00777211,Tube Connector,고강도,22.2x1.0x269.0
대원산업,MJU30589201,"Tube,Connector",CU,6.35x0.7x59.0
대원산업,MJU42282703,"Tube,Connector",CU,6.35x0.7x194.0
대원산업,MJU61942802,"Tube,Connector",CU,9.52x0.7x62.0
대원산업,MJU61986601,"Tube,Connector",CU,7.0x0.7x200.0
대원산업,MJU61986701,"Tube,Connector",CU,7.0x0.7x198.0
대원산업,MJU61986801,"Tube,Connector",CU,7.0x0.7x215.0
대원산업,MJU63436501,"Tube,Connector",CU,6.35x0.7x171.0
대원산업,MJU63648301,"Tube,Connector",CU,7.0x0.7x165.0
대원산업,MJU63648302,"Tube,Connector",CU,7.0x0.7x180.0
대원산업,MJU63648303,"Tube,Connector",CU,7.0x0.7x170.0
대원산업,MJU63648304,"Tube,Connector",CU,7.0x0.7x182.0
대원산업,MJU64963001,"Tube,Connector",CU,6.35x0.7x153.0
대원산업,MJU64987004,"Tube,Connector",CU,9.52x0.7x497.0
대원산업,MJU65048401,Tube Connector,CU,6.35x0.7x136.0
대원산업,MJU65149402,"Tube,Connector",CU,12.7x0.8x255.0
대원산업,MJU65587701,"Tube,Connector",CU,12.7x0.8x72.0
대원산업,MJU65587801,"Tube,Connector",CU,15.88x1.0x255.0
대원산업,MJU65587802,"Tube,Connector",CU,15.88x1.0x255.0
대원산업,MJU65626403,"Tube,Connector",CU,12.7x0.8x84.0
대원산업,MJU65626509,"Tube,Connector",CU,15.88x1.0x85.0
대원산업,MJU66266606,"Tube,Connector",CU,15.88x1.0x735.0
대원산업,MJU66478501,Tube Connector,CU,12.7x0.8x67.0
대원산업,MJU66507023,"Tube,Connector",CU,12.7x0.8x205.0
대원산업,MJU66773701,"Tube,Connector",CU,12.7x0.8x377.0
대원산업,MJU66798704,"Tube,Connector",CU,22.2x1.2x68.0
대원산업,MJU66801001,"Tube,Connector",CU,22.2x1.2x343.0
대원산업,MJU66818901,"Tube,Connector",CU,12.7x0.8x62.0
대원산업,MJU66824501,Tube Connector,CU,12.7x0.8x57.0
대원산업,MJU66829601,"Tube,Connector",CU,12.7x0.8x54.0
대원산업,MJU66829701,"Tube,Connector",CU,12.7x0.8x286.0
대원산업,MJU66930301,Tube Connector,고강도,7.0x0.55x61.0
대원산업,MJU66958401,Tube Connector,CU,12.7x0.8x55.8
명진산업,MJU00698801,"Tube,Connector",CU,4.76x0.7x308.0
명진산업,MJU00702401,Tube Connector,CU,4.76x0.7x304.0
명진산업,MJU00702402,Tube Connector,CU,4.76x0.7x303.0
명진산업,MJU00702403,Tube Connector,CU,4.76x0.7x305.0
명진산업,MJU00702405,Tube Connector,CU,4.76x0.7x306.0
명진산업,MJU00702406,Tube Connector,CU,4.76x0.7x479.0
명진산업,MJU00702407,Tube Connector,CU,4.76x0.7x306.0
