code,kind,phi,thick,length,copper_unit_kg,nparts
2510A25790A,부품,15.88,0.95,1152.0,0.458974,
3H01535W,부품,6.35,0.65,112.0,0.011656,
4848A20005E-L,부품,19.05,0.95,412.0,0.198999,
4848A20005E-S,부품,19.05,0.95,52.0,0.025116,
4848A20005J,부품,19.05,0.95,504.0,0.243436,
4848A20005L,부품,15.88,0.95,500.0,0.199207,
4849A22002C,부품,12.7,0.75,580.0,0.146019,
4A01648A,부품,25.4,1.2,125.0,0.101967,
4H00049,부품,6.35,0.7,112.0,0.012443,
4H00049A,부품,6.35,0.7,113.0,0.012554,
4H00049C,부품,6.35,0.7,112.0,0.012443,
4H00901F,부품,6.35,0.7,125.0,0.013887,
4H00901J,부품,6.35,0.65,174.0,0.018109,
4H01281C,부품,6.35,0.65,125.0,0.013009,
4H01281M,부품,6.35,0.65,220.0,0.022896,
4H03163A,부품,6.35,0.65,60.0,0.006244,
4H03163B,부품,6.35,0.65,36.0,0.003747,
4H03163C,부품,6.35,0.65,42.0,0.004371,
5210A00016C,부품,12.7,0.75,121.0,0.030463,
5210A00016L,부품,12.7,0.75,330.0,0.08308,
5210A00017F,부품,9.52,0.65,870.0,0.140899,
5210A13011G,부품,4.76,0.65,164.0,0.012307,
5210A13011H,부품,4.0,0.6,176.0,0.010085,
5210A13011J,부품,4.0,0.6,207.0,0.011862,
5210A13011K,부품,4.0,0.6,264.0,0.015128,
5210A20684H,부품,12.7,0.75,175.0,0.044057,
5210A20691C,부품,6.35,0.65,222.0,0.023104,
5210A20691D,부품,6.35,0.65,200.0,0.020815,
5210A20694B,부품,6.35,0.65,415.0,0.04319,
5210A20702J,부품,6.35,0.65,242.0,0.025186,
5210A20706P,부품,6.35,0.65,479.0,0.049851,
5210A20706Q,부품,6.35,0.65,222.0,0.023104,
5210A20706R,부품,6.35,0.65,215.0,0.022376,
5210A20706V,부품,6.35,0.65,167.0,0.01738,
5210A20706W,부품,6.35,0.65,167.0,0.01738,
5210A20706X,부품,6.35,0.65,214.0,0.022272,
5210A20707G,부품,9.52,0.65,222.0,0.035954,
5210A20734B,부품,6.35,0.65,40.0,0.004163,
5210A20741C,부품,6.35,0.65,393.0,0.040901,
5210A20851M,부품,7.0,0.65,77.0,0.008927,
5210A20859B,부품,9.52,0.65,110.0,0.017815,
5210A20862M,부품,6.35,0.65,138.0,0.014362,
5210A20866E,부품,4.76,0.65,350.0,0.026265,
5210A20866L,부품,6.35,0.65,533.0,0.055471,
5210A20931C,부품,6.35,0.65,286.0,0.029765,
5210A20931D,부품,6.35,0.65,292.0,0.030389,
5210A20931E,부품,7.0,0.65,469.0,0.054377,
5210A20931F,부품,7.0,0.65,301.0,0.034898,
5210A20931G,부품,7.0,0.65,301.0,0.034898,
5210A20931H,부품,7.0,0.65,175.0,0.02029,
5210A20931J,부품,7.0,0.65,175.0,0.02029,
5210A20931K,부품,7.0,0.65,138.0,0.016,
5210A20931L,부품,7.0,0.65,138.0,0.016,
5210A20931M,부품,7.0,0.65,305.0,0.035362,
5210A21154C,부품,19.05,0.95,145.0,0.070036,
5210A21172L,부품,12.7,0.75,269.0,0.067723,
5210A21244F,부품,15.88,0.95,415.0,0.165342,
5210A21244N,부품,15.88,0.95,816.0,0.325106,
5210A21310B,부품,12.7,0.75,406.0,0.102213,
5210A21400B,부품,12.7,0.75,252.0,0.063443,
5210A21559T,부품,4.76,0.65,184.0,0.013808,
5210A21605N,부품,6.35,0.65,75.0,0.007806,
5210A21605T,부품,7.0,0.65,53.0,0.006145,
5210A21605U,부품,7.0,0.65,133.0,0.01542,
5210A22026S,부품,6.35,0.65,192.0,0.019982,
5210A22033A,부품,12.7,0.75,211.0,0.053121,
5210A22034A,부품,7.0,0.65,55.0,0.006377,
5210A22034B,부품,7.0,0.65,127.0,0.014725,
5210A22034U,부품,7.0,0.65,70.0,0.008116,
5210A22153A,부품,22.22,1.15,676.0,0.460109,
5210A22153C,부품,19.05,0.95,516.0,0.249232,
5210A22154A,부품,22.22,1.15,145.0,0.098692,
5210A22154B,부품,19.05,0.95,50.0,0.02415,
5210A22172M,부품,6.35,0.65,163.0,0.016964,
5210A22172N,부품,6.35,0.65,210.0,0.021855,
5210A22172P,부품,6.35,0.65,112.0,0.011656,
5210A22172Q,부품,6.35,0.65,252.0,0.026227,
5210A22172R,부품,6.35,0.65,171.0,0.017797,
5210A22172S,부품,6.35,0.65,150.0,0.015611,
5210A22419F,부품,6.35,0.65,70.0,0.007285,
5210A22520B,부품,6.35,0.9,67.0,0.009231,
5210A22520E,부품,6.35,0.9,76.0,0.010471,
5210A22572C,부품,15.88,0.95,1190.0,0.474113,
5210A22572D,부품,15.88,0.95,768.0,0.305982,
5210A22603Q,부품,12.7,0.75,636.0,0.160117,
5210A22636C,부품,6.35,0.9,420.0,0.057868,
5210A22770A,부품,6.35,0.65,158.0,0.016444,
5210A22840A,부품,6.35,0.9,42.0,0.005787,
5210A22950A,부품,6.35,0.65,171.0,0.017797,
5210A23089A,부품,6.35,0.7,143.0,0.015887,
5210A23089D,부품,6.35,0.7,192.0,0.02133,
5210A23204A,부품,15.88,0.95,578.0,0.230284,
5210A23204B,부품,15.88,0.95,578.0,0.230284,
5210A23279A,부품,6.35,0.9,418.0,0.057593,
5210A23376A,부품,9.52,1.45,70.0,0.023009,
5210A23407A,부품,9.52,0.65,253.0,0.040974,
5210A23547D,부품,12.7,0.75,145.0,0.036505,
5210A23547E,부품,12.7,0.75,279.0,0.07024,
5210A23581A,부품,15.88,0.95,244.0,0.097213,
5210A23584A,부품,12.7,0.75,562.0,0.141487,
5210A23584B,부품,12.7,0.75,562.0,0.141487,
5210A23597D,부품,5.0,0.65,88.0,0.006989,
5210A23597E,부품,5.0,0.65,80.0,0.006354,
5210A23597G,부품,5.0,0.65,225.0,0.017871,
5210A23597H,부품,5.0,0.65,125.0,0.009928,
