협력사,Assy,부품코드,품명,부품거래처,생산구분,단가구분,유형,사유
대원산업,AJJ75698806,RAC30599301-1,1% 용접봉 (각봉),2316 삼화코리아(직거래),3,2,용접봉,용접봉 소요/단가 없음(견적서에 없는 SUB)
대원산업,AJJ76559008,MJU00814214,Tube Connector,2096 미래정밀,2,3,사급,판매/매입단가 마스터에 없음(등록 필요)
대원산업,AJJ76559102,MJU00814212,Tube Connector,2096 미래정밀,2,3,사급,판매/매입단가 마스터에 없음(등록 필요)
대원산업,AJJ76559103,MJU00814212,Tube Connector,2096 미래정밀,2,3,사급,판매/매입단가 마스터에 없음(등록 필요)
대원산업,AJR73768803,MJU62822002,"Turbe,Capillary Bending",2306 명진산업,2,2,사급,판매/매입단가 마스터에 없음(등록 필요)
대원산업,AJR73768803,MJU62822003,"Turbe,Capillary Bending",2306 명진산업,2,2,사급,판매/매입단가 마스터에 없음(등록 필요)
대원산업,AJR74522901-12-1,MJU63732901,"Tube,Connector",,2,2,사급,판매/매입단가 마스터에 없음(등록 필요)
대원산업,AJR74523003-12-1,RAC30599301-1,1% 용접봉 (각봉),2316 삼화코리아(직거래),3,2,용접봉,용접봉 소요/단가 없음(견적서에 없는 SUB)
대원산업,AJR74523006-12-1,RAC30599301-1,1% 용접봉 (각봉),2316 삼화코리아(직거래),3,2,용접봉,용접봉 소요/단가 없음(견적서에 없는 SUB)
대원산업,AJR75605104,RAC30599301-1,1% 용접봉 (각봉),2316 삼화코리아(직거래),3,2,용접봉,용접봉 소요/단가 없음(견적서에 없는 SUB)
대원산업,AJR75744140-12-1,MJU64868565,"Tube, Connector",2096 미래정밀,2,3,사급,판매/매입단가 마스터에 없음(등록 필요)
대원산업,AJR77224002-12-1,RAC30599301-1,1% 용접봉 (각봉),2316 삼화코리아(직거래),3,2,용접봉,용접봉 소요/단가 없음(견적서에 없는 SUB)
