상위품번,하위품번,상위단가구분,상위생산구분,상위입고처,하위단가구분,하위생산구분,하위입고처,상위품명
MJU00702404,MJU00702404-1,2,3,2306,2,3,2306,"Tube, Connector"
MJU00702408,MJU00702408-1,2,3,2306,2,3,2306,"Tube, Connector"
MJU00702410,MJU00702410-1,2,2,2306,2,3,2306,Tube Connection
MJU00702413,MJU00702413-1,2,2,2306,2,3,2306,Tube Connection
MJU39931104,MJU39931104-1,2,1,,3,3,,"Tube,Installation"
MJU39931104,MJU39931104-2,2,1,,3,3,,"Tube,Installation"
MJU39931105,MJU39931105-1,,1,,3,3,,"Tube,Installation"
MJU39931105,MJU39931105-2,,1,,3,3,,"Tube,Installation"
MJU39931106,MJU39931106-1,,1,,3,3,,"Tube,Installation"
MJU39931106,MJU39931106-2,,1,,3,3,,"Tube,Installation"
MJU39931109,MJU39931109-1,2,2,2326,2,2,,"Tube,Installation"
MJU39931109,MJU39931109-2,2,2,2326,2,2,,"Tube,Installation"
MJU39931110,MJU39931110-1,2,3,2326,2,2,,"Tube,Installation"
MJU39931110,MJU39931110-2,2,3,2326,2,2,,"Tube,Installation"
MJU39931112,MJU39931112-1,,2,2326,3,2,,"Tube,Installation"
MJU39931112,MJU39931112-2,,2,2326,3,2,,"Tube,Installation"
MJU39931113,MJU39931113-1,3,2,2326,3,3,,"Tube,Installation"
MJU39931113,MJU39931113-2,3,2,2326,3,3,,"Tube,Installation"
MJU39931115,MJU39931115-1,3,2,2326,3,3,,"Tube,Installation"
MJU39931115,MJU39931115-2,3,2,2326,3,3,,"Tube,Installation"
MJU39931117,MJU39931117-1,,1,,3,3,,"Tube,Installation"
MJU39931117,MJU39931117-2,,1,,3,3,,"Tube,Installation"
MJU39931118,MJU39931118-1,,1,,3,3,,"Tube,Installation"
MJU39931118,MJU39931118-2,,1,,3,3,,"Tube,Installation"
MJU39931119,MJU39931119-1,,1,,3,3,,"Tube,Installation"
MJU39931119,MJU39931119-2,,1,,3,3,,"Tube,Installation"
MJU39931120,MJU39931120-1,,1,,3,3,,"Tube,Installation"
MJU39931120,MJU39931120-2,,1,,3,3,,"Tube,Installation"
MJU39931121,MJU39931121-1,,1,,3,3,,"Tube,Installation"
MJU39931121,MJU39931121-2,,1,,3,3,,"Tube,Installation"
MJU39931122,MJU39931122-1,,3,2326,3,2,,"Tube,Installation"
MJU39931122,MJU39931122-2,,3,2326,3,2,,"Tube,Installation"
MJU39931123,MJU39931123-1,,1,,3,3,,"Tube,Installation"
MJU39931123,MJU39931123-2,,1,,3,3,,"Tube,Installation"
MJU39931124,MJU39931124-1,,1,,3,3,,"Tube,Installation"
MJU39931124,MJU39931124-2,,1,,3,3,,"Tube,Installation"
MJU41490801,MJU41490801-6-1,3,2,,3,2,2030,"Tube,Connector"
MJU41635301,MJU41635301-6-1,3,1,,3,2,2030,"Tube,Connector"
MJU42805410,MJU42805410-6,3,2,2306,2,2,2030,Tube Capillary
MJU42938502,MJU42938502-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU47979201,MJU47979201-19-1,3,2,2096,,2,2306,Tube Connector
MJU56925101,MJU56925101-6-1,3,2,2148,2,2,2030,"Tube,Connector"
MJU56925201,MJU56925201-6-1,,2,,1,2,,"Tube,Connector"
MJU56925301,MJU56925301-6-1,,2,,1,2,,"Tube,Connector"
MJU56925302,MJU56925302-6-1,3,2,2148,2,2,2030,"Tube,Connector"
MJU56925303,MJU56925303-6-1,3,2,2148,2,2,2030,"Tube,Connector"
MJU56925401,MJU56925401-6-1,3,2,2148,2,2,2030,"Tube,Connector"
MJU61882006,MJU61882006-1,3,2,2051,3,2,,"Tube,Connector"
MJU61901801,MJU61901801-1,,1,,3,3,,"TUBE, INSTALLATION"
MJU61901801,MJU61901801-2,,1,,3,3,,"TUBE, INSTALLATION"
MJU61901802,MJU61901802-1,,1,,3,3,,"TUBE, INSTALLATION"
MJU61901802,MJU61901802-2,,1,,3,3,,"TUBE, INSTALLATION"
MJU61928901,MJU61928901-6-1,3,2,2306,3,2,2306,"Tube,Connector"
MJU61962901,MJU61962901-6-1,3,2,,3,2,,"Tube,Connector"
MJU61963001,MJU61963001-6-1,3,2,,3,2,,"Tube,Connector"
MJU61963101,MJU61963101-6-1,3,2,,3,2,,"Tube,Connector"
MJU61963301,MJU61963301-6-1,3,2,,3,2,,"Tube,Connector"
MJU61963401,MJU61963401-6-1,3,2,,3,2,,"Tube,Connector"
MJU61963501,MJU61963501-6-1,3,2,,3,2,,"Tube,Connector"
MJU61963601,MJU61963601-6-1,3,2,,3,2,,"Tube,Connector"
MJU61963701,MJU61963701-6-1,3,2,,3,2,,"Tube,Connector"
MJU62070207,MJU62070207-6-1,3,2,,3,2,,"Tube,Connector"
MJU62070208,MJU62070208-6-1,3,2,,3,2,,"Tube,Connector"
MJU62070209,MJU62070209-6-1,3,2,,3,2,,"Tube,Connector"
MJU62070210,MJU62070210-6-1,3,2,,3,2,,"Tube,Connector"
MJU62070211,MJU62070211-6-1,3,2,,3,2,,"Tube,Connector"
MJU62078901,MJU62078901-6-1,3,2,2048,3,2,2030,"Tube,Connector"
MJU62090409,MJU62090409-6-1,2,2,2306,2,2,2030,"Tube,Capillary Bending"
MJU62090410,MJU62090410-6-1,2,2,2306,2,2,2030,"Tube,Capillary Bending"
MJU62090411,MJU62090411-6-1,2,2,2306,2,2,2030,"Tube,Capillary Bending"
MJU62096501,MJU62096501-1,3,2,2266,3,2,2040,축관만 가공
MJU62128502,MJU62128502-1,3,2,2068,3,1,,"Tube,Connector"
MJU62128503,MJU62128503-1,3,2,2096,3,1,,"Tube,Connector"
MJU62356501,MJU62356501-1,,1,,2,2,2040,"Tube,Suction"
MJU62356501,MJU62356501-2,,1,,3,1,,"Tube,Suction"
MJU62388737,MJU62388737-6-1,,2,2202,2,2,2030,"Tube,Capillary"
MJU62588402,MJU62588402-6-1,3,1,2306,3,2,2030,"Tube,Connector"
MJU62730201,MJU62730201-컷팅,3,2,2044,,2,,"Tube,Connector"
MJU62730202,MJU62730202-컷팅,3,2,2044,,2,,"Tube,Connector"
MJU62788805,MJU62788805-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU62788807,MJU62788807-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788808,MJU62788808-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788809,MJU62788809-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788810,MJU62788810-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788817,MJU62788817-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788818,MJU62788818-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788819,MJU62788819-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788820,MJU62788820-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788821,MJU62788821-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788822,MJU62788822-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788823,MJU62788823-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62788824,MJU62788824-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62789005,MJU62789005-6-1,3,2,2306,3,2,2030,"Turbe,Capillary Bending"
MJU62789006,MJU62789006-6-1,3,2,2306,3,2,2030,"Turbe,Capillary Bending"
MJU62789007,MJU62789007-6-1,3,2,2306,3,2,2030,"Turbe,Capillary Bending"
MJU62789008,MJU62789008-6-1,3,2,2306,3,2,2030,"Turbe,Capillary Bending"
MJU62822001,MJU62822001-6-1,2,2,2306,2,2,2030,"Turbe,Capillary Bending"
MJU62822002,MJU62822002-6-1,2,2,2306,2,2,2030,"Turbe,Capillary Bending"
MJU62822003,MJU62822003-6-1,2,2,2306,2,2,2030,"Turbe,Capillary Bending"
MJU62921203,MJU62921203-6-1,3,2,2266,3,2,2266,"Tube,Connector"
MJU62921204,MJU62921204-6-1,3,2,2266,3,2,2266,"Tube,Connector"
MJU62922101,MJU62922101-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922102,MJU62922102-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922103,MJU62922103-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922104,MJU62922104-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922105,MJU62922105-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922106,MJU62922106-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922107,MJU62922107-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922108,MJU62922108-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922109,MJU62922109-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922110,MJU62922110-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922111,MJU62922111-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922112,MJU62922112-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922113,MJU62922113-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62922114,MJU62922114-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU62968701,MJU62968701-6-1,3,2,2096,3,2,2030,"Tube,Connector"
MJU62968801,MJU62968801-6-1,3,2,2096,3,2,2030,"Tube,Connector"
MJU62968901,MJU62968901-6-1,3,2,2096,3,2,2030,"Tube,Connector"
MJU63509811,MJU63509811-1,3,1,,3,2,2148,"Tube,Connector"
MJU63612903,MJU63612903-6-1,2,2,2306,2,2,2030,"Tube,Capillary Bending"
MJU63650904,MJU63650904-19-1,3,2,2096,3,2,2306,Tube Connector
MJU63650905,MJU63650905-6-1,3,2,2266,3,2,2030,"Tube,Connector"
MJU63651004,MJU63651004-피어싱,2,2,2048,3,1,,Tube Connector
MJU63651005,MJU63651005-피어싱,2,2,2048,3,1,,Tube Connector
MJU63651009,MJU63651009-피어싱,3,2,2048,3,1,,Tube Connector
MJU63668307,MJU63668307-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668308,MJU63668308-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668309,MJU63668309-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668310,MJU63668310-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668311,MJU63668311-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668312,MJU63668312-6-1,3,2,,3,3,,"Tube,Connector"
MJU63668313,MJU63668313-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668314,MJU63668314-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668315,MJU63668315-6-1,3,2,,3,2,,"Tube,Connector"
MJU63668316,MJU63668316-6-1,3,2,,3,2,,"Tube,Connector"
MJU63751201,MJU63751201-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63751301,MJU63751301-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63751401,MJU63751401-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63751501,MJU63751501-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63751601,MJU63751601-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63751701,MJU63751701-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63751801,MJU63751801-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63751901,MJU63751901-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63752001,MJU63752001-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63752101,MJU63752101-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63752201,MJU63752201-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63752301,MJU63752301-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63752401,MJU63752401-6-1,3,2,2306,2,3,2030,"Tube,Connector"
MJU63786301,MJU63786301-6,2,2,2096,2,2,2030,Tube Capillary
MJU63786304,MJU63786304-6,3,2,2096,2,2,,Tube Capillary
MJU64032301,MJU64032301-6-1,3,2,2266,3,2,,Tube Connector
MJU64189801,MJU64189801-1,3,2,2051,3,1,,"TUBE, CONNECTOR"
MJU64307307,MJU64307307-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307308,MJU64307308-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307309,MJU64307309-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307310,MJU64307310-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307311,MJU64307311-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307312,MJU64307312-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307313,MJU64307313-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307314,MJU64307314-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307315,MJU64307315-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307316,MJU64307316-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307317,MJU64307317-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307318,MJU64307318-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307319,MJU64307319-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307320,MJU64307320-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307321,MJU64307321-6,3,2,2306,2,2,2030,Tube Capillary
MJU64307322,MJU64307322-6,3,2,2306,2,2,2030,Tube Capillary
MJU64329001,MJU64329001-6-1,2,1,2306,2,2,2030,"Tube,Capillary Bending"
MJU64329002,MJU64329002-6-1,2,1,2306,2,2,2030,"Tube,Capillary Bending"
MJU64329003,MJU64329003-6-1,2,1,2306,2,2,2030,"Tube,Capillary Bending"
MJU64329004,MJU64329004-6-1,2,1,2306,2,2,2030,"Tube,Capillary Bending"
MJU64329005,MJU64329005-6-1,2,1,2306,2,2,2030,"Tube,Capillary Bending"
MJU64329006,MJU64329006-6-1,2,1,2306,2,2,2030,"Tube,Capillary Bending"
