Assy,하위품번,품명,유형,부품거래처,사유
AJJ75698806,RAC30599301-1,1% 용접봉 (각봉),용접봉,2316 삼화코리아(직거래),용접봉 견적 없음(견적서에 이 SUB 없음)
AJJ76559008,MJU00814214,Tube Connector,사급,2096 미래정밀,판매/매입단가 마스터에 없음
AJJ76559102,MJU00814212,Tube Connector,사급,2096 미래정밀,판매/매입단가 마스터에 없음
AJJ76559103,MJU00814212,Tube Connector,사급,2096 미래정밀,판매/매입단가 마스터에 없음
AJR68019502-12-1,MJU56925101,"Tube,Connector",수불,2148 대원산업,제작동관 길이 L=0 (사급twin 길이=245.0000)
AJR68019502-12-1,MJU56925302,"Tube,Connector",수불,2148 대원산업,제작동관 길이 L=0 (사급twin 길이=268.0000)
AJR68019502-12-1,MJU56925303,"Tube,Connector",수불,2148 대원산업,제작동관 길이 L=0 (사급twin 길이=202.0000)
AJR68019502-12-1,MJU56925401,"Tube,Connector",수불,2148 대원산업,제작동관 길이 L=0 (사급twin 길이=175.0000)
AJR73768803,MJU62822002,"Turbe,Capillary Be",사급,2306 명진산업,판매/매입단가 마스터에 없음
AJR73768803,MJU62822003,"Turbe,Capillary Be",사급,2306 명진산업,판매/매입단가 마스터에 없음
AJR74522901-12-1,MJU63732901,"Tube,Connector",사급,,판매/매입단가 마스터에 없음
AJR74523003-12-1,RAC30599301-1,1% 용접봉 (각봉),용접봉,2316 삼화코리아(직거래),용접봉 견적 없음(견적서에 이 SUB 없음)
AJR74523006-12-1,RAC30599301-1,1% 용접봉 (각봉),용접봉,2316 삼화코리아(직거래),용접봉 견적 없음(견적서에 이 SUB 없음)
AJR75563501-12-1,MJU64794001,"TUBE, CONNECTOR",수불,2148 대원산업,제작동관 길이 L=0 (사급twin 길이=315.0000)
AJR75563501-12-1,MJU64794401,"TUBE, CONNECTOR",수불,2148 대원산업,제작동관 길이 L=0 (사급twin 길이=206.0000)
AJR75605104,RAC30599301-1,1% 용접봉 (각봉),용접봉,2316 삼화코리아(직거래),용접봉 견적 없음(견적서에 이 SUB 없음)
AJR75744140-12-1,MJU64868565,"Tube, Connector",사급,2096 미래정밀,판매/매입단가 마스터에 없음
AJR77224002-12-1,RAC30599301-1,1% 용접봉 (각봉),용접봉,2316 삼화코리아(직거래),용접봉 견적 없음(견적서에 이 SUB 없음)
