협력사,품번,Assy,외경,담당자협의두께,우리견적두께,BOM_ITEM_THICK,차액(담당-우리),차액>0.05
케이비,5210A23376A,5210A23376A,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66526301,AJR77202301,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66526303,AJR77202301,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66526306,AJR77202301,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66526307,AJR77202301,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU64708801,AJR74984402,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU62406601,AJR73767314,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU63083401,AJR73915607,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU63429801,AJR73915607,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66779316,AJR76462629,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU62912101,AJR73915605/12,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU47213201,AJR72946801/2,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU61940004,AJR72952503,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU62692001,AJR72952503,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU63479112,AJR73915603/4,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU42239004,AJR73915603/4,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU63436601,AJR73915611,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66480602,샘플,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66480701,샘플,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66480703,샘플,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66746801,샘플,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU66746901,샘플,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU64688201,AJR75462802,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU64688202,AJR75462803,9.52,1.45,0.65,1.45,0.8,Y
케이비,MJU64731605,AJR75483602,9.52,1.45,0.65,1.45,0.8,Y
