업체,품번,품명,인상전재료비,인상후재료비,종전입고가,현재입고가,인상전가공비,인상후가공비,재료비율후,신규,최근납품
대원산업,AJR74983905-12-3,대원 SUB,,15834.0,,6273.0,,-9561.0,252.4,Y,260420
대원산업,AJR74983906-12-1,대원 SUB,,15827.0,,6724.0,,-9103.0,235.4,Y,260325
대원산업,AJR74983904-12-3,대원 SUB,,14789.0,,6426.0,,-8363.0,230.1,Y,260420
대원산업,AJR74983904-12-2,대원 SUB,,16788.0,,8614.0,,-8174.0,194.9,Y,260420
대원산업,AJJ76559008,Supporter Assembly,,62237.0,,55250.0,,-6987.0,112.6,Y,260728
대원산업,AJJ76559103,Supporter Assembly,,39948.0,,33271.0,,-6677.0,120.1,Y,260728
대원산업,AJJ76418707,Supporter Assembly,,46096.0,,40892.0,,-5204.0,112.7,Y,260610
대원산업,AJJ76559102,Supporter Assembly,,32959.0,,28154.0,,-4805.0,117.1,Y,260715
미래정밀,MJU66774702,Tube Connector,,6622.0,,3411.0,,-3211.0,194.1,Y,250716
케이비,AJR75744143-16-1,케이비 SUB,7736.0,12982.0,,10551.0,,-2431.0,123.0,,
미래정밀,MJU66803017-1,"밴딩,확관후 제이에스",,5956.0,,3573.0,,-2383.0,166.7,Y,
대원산업,AJJ76559010,Supporter Assembly,,34825.0,,32623.0,,-2202.0,106.7,Y,260731
대원산업,AJJ76559002,Supporter Assembly,,35129.0,,32959.0,,-2170.0,106.6,Y,260727
썬텍코리아주식회사,MJU00753001,"Tube,Connector",,4574.0,,2700.0,,-1874.0,169.4,Y,260526
이젠터,MJU00753001,"Tube,Connector",,4574.0,,2700.0,,-1874.0,169.4,Y,260526
대원산업,AJJ76559013,Supporter Assembly,,36659.0,,34865.0,,-1794.0,105.1,Y,260714
대원산업,AJJ30041802,Supporter Assembly,,43120.0,,41500.0,,-1620.0,103.9,Y,260731
대원산업,AJJ76418721,Supporter Assembly,,27811.0,,26270.0,,-1541.0,105.9,Y,260729
케이비,ACQ30662801-16-1,케이비 Sub,3651.0,5867.0,,4400.0,,-1467.0,133.3,,
대원산업,AJJ76559007,Supporter Assembly,,56327.0,,54864.0,,-1463.0,102.7,Y,260519
대원산업,AJJ76418702,Supporter Assembly,,24701.0,,23519.0,,-1182.0,105.0,Y,260731
이젠터,AJJ74578304-3-2,AJJ74578304-3-2,,2525.0,,1474.0,,-1051.0,171.3,Y,
이젠터,AJJ74578309-3-2,이젠터 SUB,,2525.0,,1474.0,,-1051.0,171.3,Y,
대원산업,AJJ76559001,Supporter Assembly,,28061.0,,27091.0,,-970.0,103.6,Y,260716
명진산업,MJU61382901,"Tube,Connector",812.0,2045.0,,1100.0,,-945.0,185.9,,
대원산업,AJJ76418728,Supporter Assembly,,27507.0,,26649.0,,-858.0,103.2,Y,260730
미래정밀,MJU00792314,"Tube,Connector",,1299.0,,470.0,,-829.0,276.4,Y,
미래정밀,MJU64964401,Tube Connector,609.0,1578.0,,750.0,,-828.0,210.4,,
대원산업,AJJ76559106,Supporter Assembly,,44657.0,,43838.0,,-819.0,101.9,Y,260728
대원산업,AJJ76559017,Supporter Assembly,,42243.0,,41483.0,,-760.0,101.8,Y,260728
중앙정밀,MJU63470901,"Tube,Connector",551.0,1454.0,,694.0,,-760.0,209.5,,
명진산업,MJU61382801,"Tube,Connector",657.0,1655.0,,910.0,,-745.0,181.9,,
케이비,MJU00722814,4402 Connector,1989.0,2597.0,,1853.0,,-744.0,140.2,,
중앙정밀,MJU62032701,"Tube,Connector",476.0,1257.0,,520.0,,-737.0,241.7,,
대원산업,AJJ30041801,Supporter Assembly,,32436.0,,31712.0,,-724.0,102.3,Y,260810
대원산업,AJJ76559004,Supporter Assembly,,41508.0,,40817.0,,-691.0,101.7,Y,260810
명진산업,MJU61380501,"Tube,Connector",568.0,1430.0,,840.0,,-590.0,170.2,,
미래정밀,MJU64964402,Tube Connector,431.0,1118.0,,550.0,,-568.0,203.3,,
대원산업,AJJ76559012,Supporter Assembly,,29355.0,,28802.0,,-553.0,101.9,Y,260724
케이비,MJU66997106,"Tube, Connector",,3213.0,,2662.0,,-551.0,120.7,Y,
명진산업,MJU61351801,"Tube,Connector",489.0,1231.0,,710.0,,-521.0,173.4,,
명진산업,MJU64948501,"Tube,Connector",,1216.0,,700.0,,-516.0,173.7,Y,
중앙정밀,MJU66479501,Tube Connector,250.0,1322.0,,875.0,,-447.0,151.1,,260512
썬텍코리아주식회사,MJU00752901,"Tube,Connector",,1330.0,,900.0,,-430.0,147.8,Y,260526
이젠터,MJU00752901,"Tube,Connector",,1330.0,,900.0,,-430.0,147.8,Y,260526
명진산업,MJU64948601,"Tube,Connector",,1234.0,,820.0,,-414.0,150.5,Y,
명진산업,MJU64948701,"Tube,Connector",,1234.0,,820.0,,-414.0,150.5,Y,
명진산업,MJU64948801,"Tube,Connector",,1234.0,,820.0,,-414.0,150.5,Y,
명진산업,MJU64948901,"Tube,Connector",,1234.0,,820.0,,-414.0,150.5,Y,
명진산업,MJU64949101,"TUBE, CONNECTOR",,1234.0,,820.0,,-414.0,150.5,Y,
명진산업,MJU64949201,"TUBE, CONNECTOR",,1234.0,,820.0,,-414.0,150.5,Y,
명진산업,MJU64949301,"TUBE, CONNECTOR",,1234.0,,820.0,,-414.0,150.5,Y,
중앙정밀,MJU62614301,"Tube,Connector",321.0,837.0,,423.0,,-414.0,197.9,,
명진산업,MJU64949001,"TUBE, CONNECTOR",,1232.0,,820.0,,-412.0,150.2,Y,
