완제품Assy,담당소요,우리소요,차이(우리-담당),우리입고수량
MJU66900304,0,112.0,112.0,1677.0
MJU66845510,0,61.7,61.7,672.0
AJR73965606-19-2,0,50.6,50.6,321.0
MJU66845513,0,35.3,35.3,672.0
MJU66845512,0,29.5,29.5,672.0
MJU66845511,0,25.9,25.9,672.0
AJR73965601-19-6,15.4,30.6,15.3,323.0
MJU66507048,0,8.0,8.0,155.0
AGR30801601,0,6.7,6.7,502.0
AJR33796512-19-1,0,6.0,6.0,303.0
MJU66889701-19-1,0,5.3,5.3,795.0
MJU66889801-19-1,0,5.2,5.2,780.0
AGR30801602,0,4.7,4.7,353.0
AJR77142503-19-2,20.8,25.0,4.2,608.0
MJU66507049,0,4.1,4.1,155.0
MJU64794302,0,2.7,2.7,100.0
MJU64794202,0,1.9,1.9,100.0
MJU64794201,0,1.8,1.8,100.0
MJU66507047,0,1.7,1.7,155.0
MJU62078701,0,1.0,1.0,52.0
MJU63009003,0,1.0,1.0,10.0
MJU62078802,0,1.0,1.0,52.0
"AJR73767204,06",1.0,0,-1.0,0
AJR73069602,2.8,0,-2.8,0
AJR75563702,3.0,0,-3.0,0
AJR30038301,3.9,0,-3.9,0
AJR75563402-19-1,6.2,0,-6.2,0
AJR30038101,8.3,0,-8.3,0
AJR76502618,13.8,0,-13.8,0
AJR73965606-19-1,84.9,34.3,-50.6,321.0
AJR30060805,111.9,0,-111.9,0
AJR77142502,149.3,0,-149.3,0
