품번,담당소요,우리소요,차이(우리-담당)
MJU66845513-01,0,35.3,35.3
MJU66845512-01,0,29.5,29.5
MJU66845511-01,0,25.9,25.9
MJU39074319,0,6.0,6.0
MJU66889701-19-1,0,5.3,5.3
MJU66889801-19-1,0,5.2,5.2
MJU66845504,11.3,15.4,4.1
MJU66845510,60.8,61.7,0.8
MJU66845502,11.6,12.3,0.6
MJU65030913,0.5,0,-0.5
MJU66824412,0.6,0,-0.6
MJU66824408,0.6,0,-0.6
MJU66824404,0.6,0,-0.6
MJU66824401,0.6,0,-0.6
MJU66825001,0.6,0,-0.6
MJU66825006,0.6,0,-0.6
MJU66825004,0.6,0,-0.6
MJU66825005,0.6,0,-0.6
MJU66825002,0.6,0,-0.6
MJU66825003,0.6,0,-0.6
MJU66824407,0.7,0,-0.7
MJU66824410,0.7,0,-0.7
MJU66824409,0.8,0,-0.8
MJU66824405,0.9,0,-0.9
MJU66824406,0.9,0,-0.9
MJU66824411,1.0,0,-1.0
MJU64857601,1.7,0,-1.7
MJU64857501,1.9,0,-1.9
MJU64906901,2.0,0,-2.0
MJU64856701,2.0,0,-2.0
MJU64857701,2.4,0,-2.4
MJU64906701,3.1,0,-3.1
MJU64906401,3.1,0,-3.1
MJU64857301,4.2,0,-4.2
MJU64906501,4.3,0,-4.3
MJU64906601,4.7,0,-4.7
MJU64857401,5.1,0,-5.1
MJU66845511,24.8,0,-24.8
MJU66845512,29.0,0,-29.0
MJU66845513,34.6,0,-34.6
