업체,품번,담당길이,우리길이,담당개당중량,우리개당중량,수량,소요차
명진산업,MJU66845504,162.0,220.0,0.016859898899999996,0.02289,672.0,4.052227939200003
명진산업,MJU65587603,132.0,132.0,0.019811202839999997,0.0099,186.0,-1.8434837282399992
명진산업,MJU66845510,1206.0,1223.0,0.09050117660999998,0.09176,672.0,0.8459293180800072
명진산업,MJU66845502,231.0,243.0,0.017334802485,0.01823,672.0,0.6015727300800009
명진산업,MJU62788805,825.0,814.0,0.061910008875,0.06108,321.0,-0.2664328488749988
명진산업,MJU62788806,825.0,814.0,0.061910008875,0.06108,320.0,-0.2656028399999988
명진산업,MJU64906801,384.0,347.0,0.0399642048,0.03611,67.0,-0.2582317215999998
명진산업,MJU62788807,825.0,816.0,0.061910008875,0.06123,321.0,-0.21828284887499963
명진산업,MJU62788808,825.0,816.0,0.061910008875,0.06123,320.0,-0.21760283999999963
명진산업,MJU64794202,162.0,178.0,0.016859898899999996,0.01852,100.0,0.1660101100000002
명진산업,MJU62989202,340.0,345.0,0.046845693,0.0359,10.0,-0.10945693
명진산업,MJU66366304,75.0,70.0,0.0078055087500000005,0.00728,186.0,-0.0977446275000001
명진산업,MJU63751101,327.0,343.0,0.024538876244999994,0.02574,67.0,0.08047529158500036
중앙정밀,MJU63209803,655.0,673.0,0.16487601924588746,0.16941,671.0,3.0423010860095165
중앙정밀,MJU66366802,100.0,86.0,0.03983551513791,0.03426,372.0,-2.0740916313025197
중앙정밀,MJU66871201,504.0,511.0,0.08161209709445517,0.08275,1799.0,2.0470873270751486
중앙정밀,MJU63048901,195.0,198.0,0.020291298903134993,0.03206,141.0,1.6593868546579658
중앙정밀,MJU63479101,115.0,121.0,0.011966663455694998,0.01259,1752.0,1.0920856256223643
중앙정밀,MJU64095004,86.0,90.0,0.013925873710561797,0.01457,1547.0,0.9964633697608994
중앙정밀,MJU66968102,195.0,220.0,0.01747078097193,0.01971,416.0,0.9315151156771193
중앙정밀,MJU66960906,311.0,294.0,0.027863655806514,0.02634,416.0,-0.6338408155098241
중앙정밀,MJU63482501,127.0,109.0,0.013215358772810997,0.01134,292.0,-0.5476047616608114
중앙정밀,MJU63482301,130.0,113.0,0.01352753260209,0.01176,292.0,-0.5161195198102799
중앙정밀,MJU66478404,733.0,740.0,0.18451011008738247,0.18627,282.0,0.4962889553581417
중앙정밀,MJU63691215,197.0,173.0,0.017649968469077997,0.0155,221.0,-0.4751430316662374
중앙정밀,MJU63482401,144.0,129.0,0.014984343805391999,0.01342,292.0,-0.4567883911744637
중앙정밀,MJU63437401,166.0,151.0,0.017273618553437998,0.01571,292.0,-0.4565766176038959
중앙정밀,MJU65686703,677.0,762.0,0.10962577327965509,0.12339,31.0,0.4266910283306923
중앙정밀,MJU64671115,153.0,144.0,0.021199889048352294,0.01995,326.0,-0.4074638297628482
중앙정밀,MJU64671119,415.0,450.0,0.05750296702657649,0.06235,73.0,0.35383340705991617
중앙정밀,MJU66478402,737.0,740.0,0.18551698654079246,0.18627,448.0,0.3373500297249734
중앙정밀,MJU63156802,174.0,176.0,0.04379912572333499,0.0443,671.0,0.33608663964222085
중앙정밀,MJU64671117,292.0,299.0,0.04045991896809719,0.04143,332.0,0.3220669025917334
중앙정밀,MJU64671116,198.0,204.0,0.02743515053316179,0.02827,326.0,0.27216092618925614
중앙정밀,MJU64226613,269.0,273.0,0.04355883753652469,0.04421,408.0,0.2656742850979267
중앙정밀,MJU66773001,396.0,402.0,0.06412379057421479,0.0651,270.0,0.26357654496200894
중앙정밀,MJU66366801,456.0,459.0,0.1816499490288696,0.18285,186.0,0.22320948063025559
중앙정밀,MJU66366302,282.0,286.0,0.07098478996540498,0.07199,186.0,0.18696906643467257
중앙정밀,MJU66773002,265.0,270.0,0.04291112248021949,0.04372,213.0,0.1722909117132486
중앙정밀,MJU66874101,426.0,430.0,0.06898165349650379,0.06963,242.0,0.15689985384608307
중앙정밀,MJU66478403,805.0,810.0,0.20263388624876247,0.20389,68.0,0.08541573508415135
중앙정밀,MJU66936613,411.0,415.0,0.06655272203535928,0.0672,124.0,0.08026246761544881
중앙정밀,MJU63669544,147.0,156.0,0.013170281040378,0.01398,83.0,0.06720667364862593
중앙정밀,MJU66870701,423.0,427.0,0.06849586720427488,0.06914,67.0,0.0431568973135828
중앙정밀,MJU64787103,85.0,79.0,0.008844925162904999,0.00822,63.0,-0.03937028526301491
중앙정밀,MJU66478401,771.0,777.0,0.19407543639477745,0.19559,17.0,0.025747581288783572
중앙정밀,MJU65588302,733.0,713.0,0.18451011008738247,0.17948,4.0,-0.020120440349529867
중앙정밀,MJU65286904,143.0,166.0,0.014880285862298994,0.01727,5.0,0.011948570688505031
중앙정밀,MJU66760006,312.0,316.0,0.05052177439180559,0.05117,16.0,0.01037160973111051
중앙정밀,MJU64794101,129.0,146.0,0.013423474658996999,0.01519,5.0,0.008832626705015008
중앙정밀,MJU65286902,70.0,84.0,0.007284056016509999,0.00874,5.0,0.007279719917450004
중앙정밀,MJU64671107,342.0,348.0,0.055379637314094586,0.05635,5.0,0.004851813429527056
중앙정밀,MJU65630505,156.0,161.0,0.025260887195902797,0.02607,2.0,0.0016182256081944055
중앙정밀,MJU65630503,597.0,601.0,0.0966714721535511,0.09732,2.0,0.0012970556928978139
