협력사,Assy,하위품번,품명,소분류(sg),현재분류,사유,담당조치
대원산업,ADM74930508-12-2,4930A20053B,"Holder,Sensor",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR72982301,4930A20053B,"Holder,Sensor",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR73768803,4930A20053B,"Holder,Sensor",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR74523003-12-1,4930A20053B,"Holder,Sensor",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR74523006-12-1,4930A20053B,"Holder,Sensor",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR76462607,4930A20053B,"Holder,Sensor",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR76462608,4930A20053B,"Holder,Sensor",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,ADM74930508-12-2,5210A22409A,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR68019502-12-1,5210A22409A,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR76462608,5210A22409A,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR72982301,5210A22409B,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR73768803,5210A22409B,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR74523003-12-1,5210A22409B,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR74523006-12-1,5210A22409B,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
대원산업,AJR76462607,5210A22409B,"Tube,Connector",910,용접봉(오분류),master 소분류=잡자재(910)라 용접봉 분류됨. 실제 용접봉 아님 → 담당 정리,
