완제품Assy,담당소요,우리소요,차이(우리-담당),우리입고수량
MJU66871201,0,148.9,148.9,1799.0
MJU63209803,0,113.7,113.7,671.0
AJR30089621-1-4,0,99.7,99.7,7822.0
MJU66366801,0,34.0,34.0,186.0
MJU64095003,0,31.0,31.0,2422.0
MJU63156802,0,29.7,29.7,671.0
MJU64095004,0,22.5,22.5,1547.0
MJU63479101,0,22.1,22.1,1752.0
MJU66571311+용접링,0,16.0,16.0,259.0
MJU66571310+용접링,0,15.6,15.6,326.0
MJU64671118+용접링,0,14.2,14.2,332.0
MJU64671117+용접링,0,13.8,13.8,332.0
MJU66366302,0,13.4,13.4,186.0
MJU66366802,0,12.7,12.7,372.0
AJR74963102-1-1,0,11.6,11.6,184.0
MJU66936608,0,11.5,11.5,164.0
AJJ74578316-1-1,11.0,22.3,11.2,408.0
MJU66960906,0,11.0,11.0,416.0
MJU66571308+용접링,0,10.1,10.1,332.0
MJU66773002,0,9.3,9.3,213.0
MJU64671116+용접링,0,9.2,9.2,326.0
MJU66968102,0,8.2,8.2,416.0
MJU64671115+용접링,0,6.5,6.5,326.0
MJU63156903,0,5.9,5.9,671.0
MJU63048501,0,5.6,5.6,141.0
MJU66571306+용접링,0,5.2,5.2,72.0
AJR74943202-1-1,0,5.0,5.0,89.0
MJU63057301,0,4.8,4.8,141.0
MJU66470001,0,4.7,4.7,186.0
MJU66870701,0,4.6,4.6,67.0
MJU63437401,0,4.6,4.6,292.0
MJU64671119+용접링,0,4.6,4.6,73.0
MJU63048901,0,4.5,4.5,141.0
MJU66936605,0,4.5,4.5,164.0
MJU66960904,0,4.2,4.2,221.0
MJU66571305+용접링,0,4.1,4.1,72.0
MJU66366303,0,4.0,4.0,186.0
MJU63482401,0,3.9,3.9,292.0
MJU65686703,0,3.8,3.8,31.0
MJU63669615,0,3.7,3.7,664.0
MJU66749603,0,3.5,3.5,40.0
MJU63482301,0,3.4,3.4,292.0
MJU63691215,0,3.4,3.4,221.0
MJU63482501,0,3.3,3.3,292.0
MJU61940102,0,2.6,2.6,141.0
MJU64671104+용접링,0,2.5,2.5,77.0
MJU66571302+용접링,0,2.5,2.5,72.0
MJU64095005,0,2.2,2.2,118.0
MJU63669533,0,1.9,1.9,83.0
MJU64095006,0,1.7,1.7,91.0
MJU61942701,0,1.2,1.2,141.0
MJU66824601,0,1.2,1.2,34.0
MJU63669544,0,1.2,1.2,83.0
MJU66824602,0,1.1,1.1,34.0
MJU63669543,0,1.1,1.1,57.0
MJU63669540,0,1.1,1.1,57.0
MJU65868013,0,1.0,1.0,164.0
AJR36618618,1.0,0,-1.0,0
AJR73069602,1.6,0,-1.6,0
AJR76742303,1.7,0,-1.7,0
AJR75962501,1.8,0,-1.8,0
AJR30089620,2.1,0,-2.1,0
AJR74844310,2.1,0,-2.1,0
AJR30038101,3.0,0,-3.0,0
AJR77224505,3.5,0,-3.5,0
AJR77263004,4.6,0,-4.6,0
AJR73767711,8.1,0,-8.1,0
AJR73964601,8.8,0,-8.8,0
AJR30012009,9.1,0,-9.1,0
AJJ74578316-1-2,21.9,11.2,-10.7,408.0
AJR77225301,14.3,0,-14.3,0
샘플,19.3,0,-19.3,0
AJJ76318301,19.6,0,-19.6,0
AJR74229901/2,38.2,0,-38.2,0
AJR77202901,51.0,0,-51.0,0
AJR74844307/08/10,52.5,0,-52.5,0
AJR77225303,85.1,0,-85.1,0
AJR30089621-1-4+용접링,95.4,0,-95.4,0
AJR74007502,146.1,0,-146.1,0
AJR77263005,146.8,0,-146.8,0
