품번,담당소요,우리소요,차이(우리-담당)
MJU63669616,0,99.7,99.7
MJU66965302,0,19.5,19.5
MJU66571311,0,16.0,16.0
MJU66571310,0,15.6,15.6
MJU66571309,0,15.5,15.5
MJU64671118,0,14.2,14.2
MJU64671117,0,13.8,13.8
MJU66936608,0,11.5,11.5
MJU66571308,0,10.1,10.1
MJU66571307,0,10.0,10.0
MJU66967903,0,9.5,9.5
MJU64671116,0,9.2,9.2
MJU66967902,0,8.3,8.3
MJU64671115,0,6.5,6.5
MJU66571306,0,5.2,5.2
MJU64795606,0,5.1,5.1
MJU62842304,0,4.7,4.7
MJU64671119,0,4.6,4.6
MJU63669538,0,4.5,4.5
MJU66936605,0,4.5,4.5
MJU66797501,0,4.2,4.2
MJU64671109,0,4.1,4.1
MJU66571305,0,4.1,4.1
MJU64671105,0,3.7,3.7
MJU63209803,110.6,113.7,3.0
MJU62842305,0,2.7,2.7
MJU64671104,0,2.5,2.5
MJU66571302,0,2.5,2.5
MJU62842317,0,2.1,2.1
MJU66871201,146.8,148.9,2.0
MJU63048901,2.9,4.5,1.7
MJU62842319,0,1.5,1.5
MJU62842318,0,1.5,1.5
MJU64671103,0,1.4,1.4
MJU63479101,21.0,22.1,1.1
MJU64095004,21.5,22.5,1.0
MJU66968102,7.3,8.2,0.9
MJU63482301,4.0,3.4,-0.5
MJU63482501,3.9,3.3,-0.5
MJU66960906,11.6,11.0,-0.6
MJU64671103+용접링,1.4,0,-1.4
MJU66366802,14.8,12.7,-2.1
MJU64671104+용접링,2.5,0,-2.5
MJU66571302+용접링,2.6,0,-2.6
MJU64671105+용접링,3.6,0,-3.6
MJU66571305+용접링,4.0,0,-4.0
MJU64671109+용접링,4.0,0,-4.0
MJU63669511,4.2,0,-4.2
MJU64671119+용접링,4.2,0,-4.2
초품 MJU66936605 (6.35*260) \-800,4.4,0,-4.4
MJU63687708,4.9,0,-4.9
MJU66571306+용접링,5.2,0,-5.2
MJU64671115+용접링,6.9,0,-6.9
MJU64671116+용접링,8.9,0,-8.9
MJU66571308+용접링,10.1,0,-10.1
AJR77225303-1-1+용접링,10.1,0,-10.1
초품 MJU66936608 (9.52*431) \-1700,11.4,0,-11.4
MJU64671117+용접링,13.4,0,-13.4
MJU64671118+용접링,14.0,0,-14.0
AJR77225303-1-2+용접링,15.5,0,-15.5
MJU66571310+용접링,15.7,0,-15.7
MJU66571311+용접링,16.0,0,-16.0
MJU66936607,25.0,7.4,-17.6
MJU66965301,19.5,0,-19.5
MJU63669606,95.4,0,-95.4
