하위품번,Assy,외경,길이,담당협의T,우리견적T,담당개당중량
5210A23376A,5210A23376A,9.52,70.0,1.45,0.65,0.023008659449999996
MJU00695801,AJR76363001,9.52,312.0,1.45,0.65,0.10255288212000001
MJU00697601,AJR76363002,9.52,292.0,1.45,0.65,0.09597897941999999
MJU00698901,AJR30123001,9.52,106.0,1.45,0.65,0.034841684309999996
MJU00699101,AJR30123001,9.52,205.0,1.45,0.65,0.067382502675
MJU42239004,AJR73915603/4,9.52,430.0,1.45,0.65,0.14133890805
MJU42911802,AJR37048404,9.52,40.0,1.45,,0.0131478054
MJU42912201,AJR37048401/4,9.52,216.0,1.45,,0.07099814916
MJU42912202,샘플,9.52,169.0,1.45,,0.055549477815000005
MJU47213201,AJR72946801/2,9.52,52.0,1.45,0.65,0.01709214702
MJU61926701,AJR72946801/2/5/6/11/12,9.52,156.0,1.45,,0.051276441060000004
MJU61926801,AJR72946801/2,9.52,188.0,1.45,,0.061794685380000006
MJU61926802,AJR72946801/2,9.52,121.0,1.45,,0.039772111335
MJU61940002,MJU61940002,9.52,410.0,1.45,,0.13476500535
MJU61940004,AJR72952503,9.52,107.0,1.45,0.65,0.035170379445
MJU61943501,샘플,9.52,86.56,1.45,,0.0284518508856
MJU62406601,AJR73767314,9.52,50.0,1.45,0.65,0.016434756749999998
MJU62692001,AJR72952503,9.52,179.0,1.45,0.65,0.058836429165
MJU62912101,AJR73915605/12,9.52,292.0,1.45,0.65,0.09597897941999999
MJU62918101,MJU62918101,9.52,150.0,1.45,,0.04930427025
MJU62918102,MJU62918102,9.52,114.0,1.45,,0.03747124539
MJU63083401,AJR73915607,9.52,343.0,1.45,0.65,0.112742431305
MJU63429801,AJR73915607,9.52,211.0,1.45,0.65,0.06935467348499999
MJU63436601,AJR73915611,9.52,300.0,1.45,0.65,0.0986085405
MJU63479112,AJR73915603/4,9.52,205.0,1.45,0.65,0.067382502675
MJU63499301,AJR74182602,9.52,448.0,1.45,,0.14725542048
MJU63617301,AJR74385604,9.52,400.0,1.45,0.65,0.13147805399999998
MJU64226404,AJR75711901,9.52,101.0,1.45,0.65,0.033198208635000004
MJU64287701,MJU64287701,9.52,90.0,1.45,0.65,0.029582562150000002
MJU64428702,AJR74984403,9.52,832.0,1.45,0.65,0.27347435232
MJU64428703,AJR74984403,9.52,420.0,1.45,0.65,0.1380519567
MJU64688201,AJR75462802,9.52,393.0,1.45,0.65,0.129177188055
MJU64688202,AJR75462803,9.52,515.0,1.45,0.65,0.169277994525
MJU64708801,AJR74984402,9.52,960.0,1.45,0.65,0.3155473296
MJU64731605,AJR75483602,9.52,609.0,1.45,0.65,0.200175337215
MJU64787001,AJR75463503,9.52,175.0,1.45,0.65,0.057521648625
MJU64787402,AJR75463503,9.52,970.0,1.45,0.65,0.31883428095
MJU64850701,AJR75623703,9.52,620.0,1.45,0.65,0.2037909837
MJU64850702,AJR75623703,9.52,802.0,1.45,0.65,0.26361349826999997
MJU64850703,AJR75623703,9.52,123.0,1.45,0.65,0.040429501605
MJU64967601,AJR74984403,9.52,439.0,1.45,0.65,0.144297164265
MJU65048703,AJR75826401,9.52,173.0,1.45,0.65,0.056864258354999996
MJU65048708,AJR75826401,9.52,160.0,1.45,0.65,0.0525912216
MJU65207301,AJR75962501,9.52,157.0,1.45,0.65,0.051605136195
MJU65207302,AJR75962501,9.52,51.0,1.45,0.65,0.016763451885
MJU65207304,AJR75962501,9.52,159.0,1.45,0.65,0.052262526465
MJU65486416,AJR76363001,9.52,210.0,1.45,0.65,0.06902597835
MJU65588310,AJR76363001,9.52,366.0,1.45,0.65,0.12030241941
MJU65686706,AJR30123001,9.52,69.0,1.45,0.65,0.022679964315
MJU66366306,AJR77202901,9.52,94.0,1.45,0.65,0.030897342690000003
MJU66480602,샘플,9.52,432.0,1.45,0.65,0.14199629832
MJU66480701,샘플,9.52,73.0,1.45,0.65,0.023994744854999996
MJU66480703,샘플,9.52,121.0,1.45,0.65,0.039772111335
MJU66526301,AJR77202301,9.52,124.0,1.45,0.65,0.040758196739999995
MJU66526303,AJR77202301,9.52,144.0,1.45,0.65,0.04733209944
MJU66526306,AJR77202301,9.52,412.0,1.45,0.65,0.13542239562
MJU66526307,AJR77202301,9.52,738.0,1.45,0.65,0.24257700963000003
MJU66546901,AJJ76418704,9.52,133.0,1.45,,0.04371645295499999
MJU66547001,AJR76823101,9.52,131.0,1.45,,0.043059062684999996
MJU66547101,AJJ76418704,9.52,111.0,1.45,,0.036485159984999994
MJU66548505,MJU66548505,9.52,169.0,1.45,0.65,0.055549477815000005
MJU66746801,샘플,9.52,156.0,1.45,0.65,0.051276441060000004
MJU66746901,샘플,9.52,545.0,1.45,0.65,0.17913884857499998
MJU66763502,AJR30027708,9.52,83.0,1.45,0.65,0.027281696205
MJU66779316,AJR76462629,9.52,42.0,1.45,0.65,0.013805195670000001
