협력사,coop상태,품번,품명,소분류,외경,두께,길이,입고수량
대원,1_아예없음,AJR30077403-12-1,대원 SUB,SUB,,,,4000
대원,1_아예없음,MJU00777204,"Tube,Connector",가공품,22.2000,1.0000,486.0000,396
대원,1_아예없음,MJU00777206,"Tube,Connector",가공품,22.2000,1.0000,68.0000,396
대원,2_assy有_uw없음,AJR74522901-12-1,대원 SUB,SUB,,,,924
대원,2_assy有_uw없음,AJR75662343,"Tube Assembly,Discharge(Outdoor)",Assembly,,,,659
대원,2_assy有_uw없음,AJR30012008-9-1,대원 SUB,SUB,,,,570
대원,2_assy有_uw없음,AJJ76617501,Supporter Assembly,Assembly,,,,150
대원,2_assy有_uw없음,AJJ76617502,Supporter Assembly,Assembly,,,,123
대원,2_assy有_uw없음,AJJ75698804,Supporter Assembly,Assembly,,,,90
대원,2_assy有_uw없음,AJJ75698803,Supporter Assembly,Assembly,,,,10
대원,2_assy有_uw없음,AJR74942632-12-1,대원 SUB,SUB,,,,10
명진,1_아예없음,MJU66845510,Tube Connector,가공품,4.7600,0.7000,1223.0000,842
명진,1_아예없음,MJU66845511,Tube Connector,가공품,4.0000,0.6000,672.0000,842
명진,1_아예없음,MJU66845512,Tube Connector,가공품,4.0000,0.6000,767.0000,842
명진,1_아예없음,MJU66845513,Tube Connector,가공품,4.0000,0.6000,917.0000,842
명진,1_아예없음,MJU62078902,"Tube,Connector",가공품,4.0000,0.6000,233.0000,252
명진,1_아예없음,AJR33796512-19-1,명진SUB,Assembly,,,,230
명진,1_아예없음,MJU63772601,"Tube,Capillary Bending",가공품,2.6000,0.7000,1400.0000,166
명진,1_아예없음,MJU63612901,"Tube,Capillary Bending",가공품,3.2000,0.7000,450.0000,160
명진,1_아예없음,MJU63612902,"Tube,Capillary Bending",가공품,3.2000,0.7000,350.0000,160
명진,1_아예없음,MJU63612903,"Tube,Capillary Bending",가공품,3.2000,0.7000,350.0000,160
명진,1_아예없음,MJU63612904,"Tube,Capillary Bending",가공품,3.2000,0.7000,450.0000,160
명진,1_아예없음,MJU63612905,"Tube,Capillary Bending",가공품,3.2000,0.7000,450.0000,160
명진,1_아예없음,MJU63612906,"Tube,Capillary Bending",가공품,3.2000,0.7000,450.0000,160
명진,1_아예없음,AJR77142502-19-1,명진 SUB,SUB,,,,82
명진,1_아예없음,AJR77142502-19-2,명진 SUB,SUB,,,,82
명진,1_아예없음,MJU62911901,"Tube,Capillary Bending",가공품,2.6000,0.7000,400.0000,26
명진,1_아예없음,MJU62194501,"Tube,Connector",가공품,2.6000,0.6000,800.0000,25
명진,1_아예없음,MJU42643701,"Tube,Capillary",가공품,2.6000,0.7000,500.0000,20
명진,1_아예없음,MJU42886501,Tube Capillary,가공품,2.6000,0.7000,500.0000,20
명진,1_아예없음,MJU42886601,"Tube,Capillary",가공품,2.6000,0.7000,400.0000,20
명진,1_아예없음,MJU42886701,"Tube,Capillary",가공품,2.6000,0.7000,500.0000,20
명진,1_아예없음,MJU66489402,TUBE CONNECTOR,가공품,6.3500,0.7000,135.0000,16
명진,1_아예없음,MJU40157911,Tube Connector,가공품,3.2000,0.6000,250.0000,13
명진,2_assy有_uw없음,AGR30801601,"Pipe,Assembly",110 ASSY,,,,1583
명진,2_assy有_uw없음,AGR30801602,Pipe Assembly,Assembly,,,,1147
명진,2_assy有_uw없음,MJU63618001,"Tube,Connector",가공품,3.2000,0.9000,1400.0000,967
명진,2_assy有_uw없음,MJU42938502,"Tube,Connector",가공품,4.0000,0.6000,300.0000,50
명진,2_assy有_uw없음,MJU63287901,"Tube,Capillary",가공품,2.6000,0.6000,400.0000,30
명진,2_assy有_uw없음,MJU41491701,"Tube,Capillary",가공품,2.6000,0.7000,1600.0000,20
미래,1_아예없음,AJR30089608-4-1,미래 Sub(용접링포함),SUB,,,,13970
미래,1_아예없음,AJR30089614-4-1,미래 SUB,SUB,,,,7348
미래,1_아예없음,MJU66526615,"Tube,Connector",가공품,9.5200,0.5500,138.0000,7263
미래,1_아예없음,AJR30089615-4-1,미래 SUB,SUB,,,,7200
미래,1_아예없음,MJU65517914+용접링,sub,SUB,,,,6248
미래,1_아예없음,AJR30089616-4-1,미래 SUB,SUB,,,,6094
미래,1_아예없음,MJU64795602,Tube Connector,가공품,6.3500,0.5500,90.0000,5088
미래,1_아예없음,AJR30089612-4-1,미래 SUB,SUB,,,,4081
미래,1_아예없음,AJR30089609-4-1,미래 SUB,SUB,,,,3252
미래,1_아예없음,MJU65517915+용접링,sub,SUB,,,,2840
미래,1_아예없음,MJU66526621,"Tube,Connector",가공품,9.5200,0.5500,142.0000,2421
미래,1_아예없음,AJR30089608-4-2,미래 Sub,SUB,,,,1270
미래,1_아예없음,AJR30089608-4-3,미래 Sub,SUB,,,,1270
미래,1_아예없음,AJR30089608-4-4,미래 Sub,SUB,,,,1270
미래,1_아예없음,MJU63691214,"Tube,Connector",가공품,6.3500,0.5500,163.0000,1268
미래,1_아예없음,MJU64712401,"Tube,Connector",가공품,6.3500,0.7000,141.0000,1260
미래,1_아예없음,AJR30007101-9-2,미래 SUB,SUB,,,,1211
미래,1_아예없음,MJU66573401,"Tube,Connector",가공품,6.3500,0.7000,159.0000,1211
미래,1_아예없음,MJU66526616,"Tube,Connector",가공품,9.5200,0.5500,331.0000,807
미래,1_아예없음,MJU66526617,"Tube,Connector",가공품,9.5200,0.5500,458.0000,807
미래,1_아예없음,MJU66526618,"Tube,Connector",가공품,9.5200,0.5500,473.0000,807
미래,1_아예없음,MJU66526619,"Tube,Connector",가공품,9.5200,0.5500,210.0000,807
미래,1_아예없음,MJU66902803,Tube Connector,가공품,6.3500,0.7000,534.0000,781
미래,1_아예없음,MJU63617901,"Tube,Connector",가공품,6.3500,0.7000,296.0000,772
미래,1_아예없음,AJR30089612-4-2,미래 SUB,SUB,,,,742
미래,1_아예없음,AJR77226302-4-1,미래 SUB,SUB,,,,672
미래,1_아예없음,AJR30089614-4-2,미래 SUB,SUB,,,,668
미래,1_아예없음,AJR30089614-4-3,미래 SUB,SUB,,,,668
미래,1_아예없음,MJU66960903,"Tube,Connector",가공품,6.3500,0.5500,236.0000,668
미래,1_아예없음,MJU64095001,"Tube,Connector",가공품,7.0000,0.7000,54.0000,624
미래,1_아예없음,MJU64095002,"Tube,Connector",가공품,7.0000,0.7000,70.0000,624
미래,1_아예없음,AJR30089615-4-2,미래 SUB,SUB,,,,600
미래,1_아예없음,AJR30089615-4-3,미래 SUB,SUB,,,,600
미래,1_아예없음,AJR30089615-4-4,미래 SUB,SUB,,,,600
미래,1_아예없음,MJU66960902,"Tube,Connector",가공품,6.3500,0.5500,374.0000,600
미래,1_아예없음,MJU65517901+용접링,Connector+용접링,SUB,,,,583
미래,1_아예없음,MJU66572903,"Tube,Connector",가공품,9.5200,0.5500,158.0000,582
미래,1_아예없음,MJU65517916+용접링,Tube Connector,SUB,,,,569
미래,1_아예없음,AJR77263007-4-1,sub,SUB,,,,568
미래,1_아예없음,AJR77263007-4-2,sub,SUB,,,,568
미래,1_아예없음,MJU65517917+용접링,Tube Connector,SUB,,,,568
미래,1_아예없음,MJU65517918+용접링,Tube Connector,SUB,,,,568
미래,1_아예없음,MJU65517919+용접링,Tube Connector,SUB,,,,568
미래,1_아예없음,MJU65517921+용접링,Tube Connector,SUB,,,,568
미래,1_아예없음,MJU65517922+용접링,Tube Connector,SUB,,,,568
미래,1_아예없음,MJU65517924+용접링,Tube Connector,SUB,,,,568
미래,1_아예없음,MJU65517925+용접링,Tube Connector,SUB,,,,568
미래,1_아예없음,AJR30089616-4-2,미래 SUB,SUB,,,,554
미래,1_아예없음,AJR30089616-4-3,미래 SUB,SUB,,,,554
미래,1_아예없음,AJR30089616-4-4,미래 SUB,SUB,,,,554
미래,1_아예없음,AJR30089611-4-1,sub-assy,SUB,,,,550
미래,1_아예없음,MJU47979201,Tube Connector,가공품,3.2000,0.6000,176.0000,379
미래,1_아예없음,AJJ73040829-9-1,SUB ASSY,SUB,,,,378
미래,1_아예없음,AJR75262808-9-1,SUB ASSY,SUB,,,,378
미래,1_아예없음,AJR30089612-4-3,미래 SUB,SUB,,,,371
미래,1_아예없음,AJR30089612-4-4,미래 SUB,SUB,,,,371
미래,1_아예없음,AJR30089612-4-5,미래 SUB,SUB,,,,371
미래,1_아예없음,MJU65787709,Tube Connector,가공품,12.7000,0.8000,317.0000,354
미래,1_아예없음,MJU66949201,Tube Connector,가공품,6.3500,0.7000,140.0000,325
미래,1_아예없음,MJU67035301,"Tube, Connector",가공품,12.7000,0.6000,100.0000,321
미래,1_아예없음,MJU42805302,Tube Connector,가공품,15.8800,1.0000,97.0000,305
미래,1_아예없음,MJU42813101,Tube Connector,가공품,12.7000,0.8000,172.0000,305
미래,1_아예없음,MJU42822201,Tube Connector,가공품,6.3500,0.7000,167.0000,305
미래,1_아예없음,MJU42822701,Tube Connector,가공품,6.3500,0.7000,148.0000,305
미래,1_아예없음,MJU42822901,Tube Connector,가공품,6.3500,0.7000,109.0000,305
미래,1_아예없음,MJU42823701,Tube Connector,가공품,6.3500,0.7000,88.0000,305
미래,1_아예없음,MJU61851002,"Tube,Suction",가공품,9.5200,0.7000,164.0000,286
미래,1_아예없음,AJR30089609-4-2,미래 SUB,SUB,,,,271
미래,1_아예없음,AJR30089609-4-3,미래 SUB,SUB,,,,271
미래,1_아예없음,AJR30089609-4-4,미래 SUB,SUB,,,,271
미래,1_아예없음,AJR30089609-4-5,미래 SUB,SUB,,,,271
미래,1_아예없음,MJU63483405,"Tube,Connector",가공품,4.7600,0.7000,330.0000,265
미래,1_아예없음,MJU63483406,"Tube,Connector",가공품,4.7600,0.7000,281.0000,265
미래,1_아예없음,MJU63483407,"Tube,Connector",가공품,4.7600,0.7000,122.0000,265
미래,1_아예없음,MJU63483408,"Tube,Connector",가공품,4.7600,0.7000,151.0000,265
미래,1_아예없음,MJU63483902,"Tube,Connector",가공품,9.5200,0.7000,142.0000,265
미래,1_아예없음,MJU65517902+용접링,Connector+용접링,SUB,,,,265
미래,1_아예없음,MJU37499607,"Tube,Connector",가공품,9.5200,0.7000,212.0000,246
미래,1_아예없음,AJR30089610-4-1,미래 SUB,SUB,,,,216
미래,1_아예없음,MJU66960905,Tube Connector,가공품,6.3500,0.5500,198.0000,213
미래,1_아예없음,MJU64795603,Tube Connector,가공품,6.3500,0.5500,329.0000,212
미래,1_아예없음,MJU64795604,Tube Connector,가공품,6.3500,0.5500,132.0000,212
미래,1_아예없음,MJU64795605,Tube Connector,가공품,6.3500,0.5500,147.0000,212
미래,1_아예없음,MJU64347001,"Tube,Connector",가공품,7.0000,0.7000,173.0000,196
미래,1_아예없음,MJU64347002,"Tube,Connector",가공품,7.0000,0.7000,98.0000,196
미래,1_아예없음,MJU64347003,"Tube,Connector",가공품,7.0000,0.7000,101.0000,196
미래,1_아예없음,MJU64347004,"Tube,Connector",가공품,7.0000,0.7000,185.0000,196
미래,1_아예없음,MJU66566901,"Tube,Connector",가공품,15.8800,1.0000,431.0000,192
미래,1_아예없음,AJR75463101-4-1,미래 SUB,SUB,,,,190
미래,1_아예없음,MJU64790807,"TUBE, CONNECTOR",가공품,9.5200,0.7000,157.0000,190
미래,1_아예없음,MJU64708702,"Tube,Connector",가공품,12.7000,0.8000,526.0000,180
미래,1_아예없음,MJU66777703,Tube Discharge,가공품,12.7000,0.8000,639.0000,178
미래,1_아예없음,MJU66777704,Tube Discharge,가공품,12.7000,0.8000,443.0000,178
미래,1_아예없음,MJU65787707,Tube Connector,가공품,12.7000,0.8000,250.0000,177
미래,1_아예없음,MJU65787708,Tube Connector,가공품,12.7000,0.8000,261.0000,177
