도메인,경로,조정일자,품번,창고(loc),현재수량,조정수량,단가,금액영향,적요
자재,/api/stock/save (screen=adjust),260831,AJR72982301,,-72.0000,72.0000,39495.00,2843640,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,AJR77224519-12-1,,-156.0000,156.0000,13175.00,2055300,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,MGE64190603,,-100.0000,100.0000,13200.00,1320000,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,MJC62301702,,-141.0000,141.0000,6638.00,935958,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,AJR33796512-19-1,,-50.0000,50.0000,7000.00,350000,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,5210A22409A,,-3279.0000,3279.0000,102.95,337561,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,MJC62721911,,-247.0000,247.0000,821.00,202787,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,EBD64146603,,-4.0000,4.0000,46650.00,186600,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,5214A20035A,,-159.0000,159.0000,1105.91,175839,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,MJU62078902-19-1,,-100.0000,100.0000,386.00,38600,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,25.4*1.15*596,,-0.2000,0.2000,17729.45,3546,음수재고 정리(2026-09-08 대표 지시)
자재,/api/stock/save (screen=adjust),260831,1MPC0502018,,-2167.0000,2167.0000,0.00,-0,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599327-1,Q1000,-25.0911,25.0911,82974.05,2081910,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,,-15.0000,15.0000,41131.59,616974,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599327,Q1000,-8.2504,8.2504,54808.00,452188,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599328,S11,-0.3604,0.3604,335999.92,121094,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599327,S6,-0.5514,0.5514,96600.00,53265,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599327,S13,-0.7641,0.7641,54808.00,41879,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,S1,-0.6208,0.6208,59923.46,37200,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,S13,-0.8656,0.8656,41131.59,35604,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599327,S10,-0.5794,0.5794,54808.00,31756,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,S11,-0.4637,0.4637,59923.46,27787,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,S2,-0.6045,0.6045,41131.59,24864,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,S4,-0.3451,0.3451,59923.46,20680,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,S6,-0.3866,0.3866,41131.59,15901,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,96902009,S12,-0.3370,0.3370,35000.00,11795,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,RAC,-0.1528,0.1528,59335.97,9067,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599327,S1,-0.0864,0.0864,54808.00,4735,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,MJU66510813,RAC,-2.0000,2.0000,897.26,1795,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,53402025,S2,-0.2780,0.2780,3800.00,1056,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,ADM74790602-TAPE,S11,-0.5100,0.5100,1028.00,524,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,53402025,S10,-0.0780,0.0780,3800.00,296,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,S5,-0.0038,0.0038,57478.84,218,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,RAC30599301-1,Q2000,-0.0017,0.0017,59710.47,102,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,53402025,S11,-0.0030,0.0030,3800.00,11,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,PVCTUBE2,,-15.0000,15.0000,0.00,-0,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,53405112,S12,-0.3400,0.3400,0.00,-0,음수재고 정리(2026-09-08 대표 지시)
생산,/api/stockmaint/save,260831,AGF30058503,S12,-0.0930,0.0930,0.00,-0,음수재고 정리(2026-09-08 대표 지시)
