품번,규격,metal,거래처코드,거래처명,품명,현생산구분,수정→
5210A22526C,3.2000x0.9000x1400.0000,CU,2306,명진산업,"Tube,Capillary Ben",1:사내,2:외주
5210A22603Q,12.7000x0.8000x637.0000,CU,2068,이젠터,"Tube,Connector",1:사내,2:외주
5210A25501E,6.3500x0.7000x220.0000,CU,2048,중앙정밀,"TUBE, CONNECTOR",1:사내,2:외주
MJU00750604,7.0000x0.7000x131.8000,CU,2096,미래정밀,"Tube, Connector",1:사내,2:외주
MJU00750605,7.0000x0.7000x147.1000,CU,2096,미래정밀,"Tube, Connector",1:사내,2:외주
MJU00750702,9.5200x0.7000x66.0000,CU,2068,이젠터,"Tube, Connector",1:사내,2:외주
MJU00777004,28.0000x1.0000x296.0000,고강도,2142,세광산업,"Tube,Connector",1:사내,2:외주
MJU00777204,22.2000x1.0000x486.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00777206,22.2000x1.0000x68.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00777211,22.2000x1.0000x269.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00777401,25.4000x1.0000x192.0000,고강도,2096,미래정밀,"Tube,Connector",1:사내,2:외주
MJU00777404,19.0500x0.8000x296.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00777405,22.2000x1.0000x217.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00777406,12.7000x0.6000x180.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00777501,28.0000x1.0000x361.0000,고강도,2142,세광산업,"Tube,Connector",1:사내,2:외주
MJU00777604,22.2000x1.0000x301.0000,고강도,2142,세광산업,"Tube,Connector",1:사내,2:외주
MJU00777605,22.2000x1.0000x171.0000,고강도,2142,세광산업,"Tube,Connector",1:사내,2:외주
MJU00787902,12.7000x0.8000x299.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00787903,12.7000x0.8000x84.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00788001,9.5200x0.7000x91.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00788002,9.5200x0.7000x64.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00788306,6.3500x0.7000x135.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00788307,6.3500x0.7000x107.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00788308,6.3500x0.7000x88.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00788309,6.3500x0.7000x151.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00788310,6.3500x0.7000x132.0000,CU,233,썬텍코리아주식회사,"Tube,Connector",1:사내,2:외주
MJU00814201,12.7000x0.6000x192.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00814202,19.0500x0.8000x313.0000,고강도,2148,대원산업,Tube Connector,1:사내,2:외주
MJU00814206,19.0500x0.8000x313.0000,고강도,2148,대원산업,"Tube,Connector",1:사내,2:외주
MJU00814212,25.4000x1.0000x302.0000,CU,2096,미래정밀,Tube Connector,1:사내,2:외주
MJU00814214,25.4000x1.0000x302.0000,고강도,2096,미래정밀,Tube Connector,1:사내,2:외주
