품번,거래처,상위(SUB←ASSY)
5210A22603Q,이젠터,AJR34739811 | AJR34739819-3-1←AJR34739819
MJU00814202,대원산업,AJJ76418701 | AJJ76418720 | AJJ76559001
MJU00814206,대원산업,AJJ76418727 | AJJ76559009 | AJJ76559012 | AJJ76559015
MJU47147502,이젠터,AJR53980903-3-1←AJR53980903-은납 | AJR53980903-9-1
MJU58941301,미래정밀,AJR36852202 | AJR36852202-4-1 | AJR36852202-J&I←AJR36852202 | AJR36852203-S7-3←AJR36852203
MJU58941302,미래정밀,AJR36852202 | AJR36852202-4-1 | AJR36852202-J&I←AJR36852202 | AJR36852203-S7-2←AJR36852203-S7-3
MJU58941303,미래정밀,AJR36852202 | AJR36852202-4-1 | AJR36852202-J&I←AJR36852202 | AJR36852203-S7-3←AJR36852203
MJU60436226,이젠터,"AJR71429433-3-1←AJR71429433,AJR71429434 | AJR71429443←AJJ75639406"
MJU62366601,미래정밀,AJR73342801
MJU62366603,미래정밀,AJR73342803
MJU62911511,썬텍코리아주식회사,AJR30101601-20-1←AJR30101601-은납
MJU63429501,이젠터,AJR74963001-3-1←AJR74963001-은납
MJU63748509,이젠터,AJR34739820 | AJR34739821 | AJR34739821-F&T←AJR34739821 | AJR34739821-JNI
MJU63756101,대원산업,AJR74523001←AJR74524702 | AJR74523006-12-1←AJR74523006
MJU63756103,대원산업,AJR74523003-12-1←AJR74523003
MJU64067701,썬텍코리아주식회사,AJR74823101-20-1←AJR74823101-은납
MJU64067702,썬텍코리아주식회사,AJR74823102-20-1←AJR74823102-은납
MJU64067703,썬텍코리아주식회사,AJR74823103-20-1←AJR74823103-은납
MJU64067704,썬텍코리아주식회사,AJR74823104-20-1←AJR74823104-은납
MJU65512602,썬텍코리아주식회사,AJR77182802
MJU65789107,썬텍코리아주식회사,AJR76562804 | AJR76562804-20-1←AJR76562804
MJU65789108,썬텍코리아주식회사,AJR76562804 | AJR76562804-20-2←AJR76562804
MJU66467102,썬텍코리아주식회사,AJR77182902
MJU66478115,대원산업,AJJ76418729 | AJJ76559011
MJU66571901,썬텍코리아주식회사,"AJR77225601-7-1 | AJR77225601-SUB1←AJR77225601 | AJR77225607-20-1←AJR77225607,AJR77225610 | AJR77225607-SUB1←AJR77225607 | AJR77225610-SUB1←AJR77225610"
MJU66571902,썬텍코리아주식회사,"AJR77225602-20-1←AJR77225602,AJR77225608 | AJR77225602-7-1 | AJR77225602-SUB1←AJR77225602,AJR77225609 | AJR77225605 | AJR77225608-SUB1←AJR77225608 | AJR77225609-20-1 | AJR77225609-7-1 | AJR77225609-SUB1"
MJU66763702,미래정밀,AJJ76559006 | AJJ76559105
MJU66763704,미래정밀,
MJU66774702,대원산업,"AJR30012001 | AJR30012008-9-1←AJR30012008,AJR30012012 | AJR30012008-S1-3"
MJU66800402,대원산업,AJR30027701-12-1←AJR30027701-SUB1
MJU66800403,대원산업,"AJR30027701-12-1←AJR30027701-SUB1 | AJR30027705-12-1←AJR30027705-SUB1,AJR30027710-SUB1"
MJU66800404,대원산업,"AJR30027701-12-3←AJR30027701-SUB2,AJR30027705-SUB2,AJR30027710-SUB2"
MJU66800405,대원산업,"AJR30027705-12-1←AJR30027705-SUB1,AJR30027710-SUB1"
MJU66889801-19-1,명진산업,
MJU66930202,이젠터,AJR30078601-12-2←AJR30078601
