품번,규격,거래처,조치,판매단가,판매단가일
5210A22526C,3.2000x0.9000x1400.0000,명진산업,2:외주로 변경,,
5210A25501E,6.3500x0.7000x220.0000,중앙정밀,2:외주로 변경,,
MJU00750604,7.0000x0.7000x131.8000,미래정밀,2:외주로 변경,,
MJU00750605,7.0000x0.7000x147.1000,미래정밀,2:외주로 변경,,
MJU00750702,9.5200x0.7000x66.0000,이젠터,2:외주로 변경,,
MJU00777004,28.0000x1.0000x296.0000,세광산업,2:외주로 변경,,
MJU00777204,22.2000x1.0000x486.0000,대원산업,2:외주로 변경,,
MJU00777206,22.2000x1.0000x68.0000,대원산업,2:외주로 변경,,
MJU00777406,12.7000x0.6000x180.0000,대원산업,2:외주로 변경,,
MJU00777501,28.0000x1.0000x361.0000,세광산업,2:외주로 변경,,
MJU00787902,12.7000x0.8000x299.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00787903,12.7000x0.8000x84.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00788001,9.5200x0.7000x91.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00788002,9.5200x0.7000x64.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00788306,6.3500x0.7000x135.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00788307,6.3500x0.7000x107.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00788308,6.3500x0.7000x88.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00788309,6.3500x0.7000x151.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00788310,6.3500x0.7000x132.0000,썬텍코리아주식회사,2:외주로 변경,,
MJU00814201,12.7000x0.6000x192.0000,대원산업,2:외주로 변경,,
MJU00814212,25.4000x1.0000x302.0000,미래정밀,2:외주로 변경,,
MJU00814214,25.4000x1.0000x302.0000,미래정밀,2:외주로 변경,,
MJU41942216,19.0500x1.0000x1286.0000,케이비,2:외주로 변경,,
MJU60436412,12.7000x0.8000x336.0000,케이비,2:외주로 변경,,
MJU60436626,12.7000x0.8000x820.0000,케이비,2:외주로 변경,,
MJU61351101,4.0000x0.6000x824.0000,명진산업,2:외주로 변경,,
MJU61351201,4.0000x0.6000x1074.0000,명진산업,2:외주로 변경,,
MJU62993607,7.0000x0.7000x63.0000,케이비,2:외주로 변경,,
MJU63032113,7.9400x0.7000x104.0000,케이비,2:외주로 변경,,
MJU63032114,7.9400x0.7000x201.0000,케이비,2:외주로 변경,,
MJU63125203,12.7000x0.8000x135.0000,미래정밀,2:외주로 변경,,
MJU63341510,7.9400x0.7000x982.0000,케이비,2:외주로 변경,,
MJU63772602,2.6000x0.7000x1400.0000,명진산업,2:외주로 변경,,
MJU64428703,9.5200x1.4500x420.0000,케이비,2:외주로 변경,,
MJU64795608,6.3500x0.5500x93.2600,미래정밀,2:외주로 변경,,
MJU64795609,6.3500x0.5500x56.6300,미래정밀,2:외주로 변경,,
MJU64795610,6.3500x0.5500x93.2600,미래정밀,2:외주로 변경,,
MJU64966203,6.3500x0.7000x179.0000,케이비,2:외주로 변경,,
MJU64988901,9.5200x0.7000x687.0000,케이비,2:외주로 변경,,
MJU65846912,9.5200x0.7000x151.0000,중앙정밀,2:외주로 변경,,
MJU66548505,9.5200x1.4500x169.0000,케이비,2:외주로 변경,,
MJU66548901,6.3500x0.9000x235.0000,케이비,2:외주로 변경,,
MJU66566911,15.8800x1.0000x250.0000,케이비,2:외주로 변경,,
MJU66567002,15.8800x1.0000x560.0000,케이비,2:외주로 변경,,
MJU66572902,6.3500x0.5500x374.0000,미래정밀,2:외주로 변경,,
MJU66798601,22.2000x1.2000x461.0000,미래정밀,2:외주로 변경,,
MJU66868605,12.7000x0.8000x383.0000,이젠터,2:외주로 변경,,
MJU66868606,12.7000x0.8000x366.0000,이젠터,2:외주로 변경,,
MJU66900504,7.9400x0.7000x499.9000,케이비,2:외주로 변경,,
MJU66900505,7.9400x0.7000x315.2000,케이비,2:외주로 변경,,
5210A22603Q,12.7000x0.8000x637.0000,이젠터,1:사내 유지(사급확인),1992.0,251226
MJU00777211,22.2000x1.0000x269.0000,대원산업,1:사내 유지(사급확인),3763.0,260626
MJU00777401,25.4000x1.0000x192.0000,미래정밀,1:사내 유지(사급확인),5130.0,260226
MJU00777404,19.0500x0.8000x296.0000,대원산업,1:사내 유지(사급확인),2789.0,260301
MJU00777405,22.2000x1.0000x217.0000,대원산업,1:사내 유지(사급확인),3249.0,260301
MJU00777604,22.2000x1.0000x301.0000,세광산업,1:사내 유지(사급확인),4422.0,260626
MJU00777605,22.2000x1.0000x171.0000,세광산업,1:사내 유지(사급확인),2594.0,260626
MJU00814202,19.0500x0.8000x313.0000,대원산업,1:사내 유지(사급확인),3616.0,260429
MJU00814206,19.0500x0.8000x313.0000,대원산업,1:사내 유지(사급확인),2974.0,260428
MJU47147502,12.7000x0.8000x333.0000,이젠터,1:사내 유지(사급확인),866.0,250701
MJU58941301,6.3500x0.7000x229.0000,미래정밀,1:사내 유지(사급확인),220.0,210201
MJU58941302,6.3500x0.7000x174.0000,미래정밀,1:사내 유지(사급확인),172.0,210201
MJU58941303,6.3500x0.7000x186.0000,미래정밀,1:사내 유지(사급확인),179.0,210201
MJU60436226,9.5200x0.7000x190.0000,이젠터,1:사내 유지(사급확인),328.0,170101
MJU62366601,15.8800x1.0000x509.0000,미래정밀,1:사내 유지(사급확인),2190.0,190101
MJU62366603,15.8800x1.0000x511.0000,미래정밀,1:사내 유지(사급확인),2436.0,190101
MJU62371701,15.8800x1.0000x641.0000,미래정밀,1:사내 유지(사급확인),2860.0,241201
MJU62911511,15.8800x0.7500x1180.0000,썬텍코리아주식회사,1:사내 유지(사급확인),8510.0,260126
MJU63429501,12.7000x0.8000x386.0000,이젠터,1:사내 유지(사급확인),2594.0,260226
MJU63748509,15.8800x1.0000x546.0000,이젠터,1:사내 유지(사급확인),1702.0,190101
MJU63756101,12.7000x0.8000x357.0000,대원산업,1:사내 유지(사급확인),2302.0,260126
MJU63756103,12.7000x0.8000x357.0000,대원산업,1:사내 유지(사급확인),2263.0,260126
MJU64067701,15.8800x1.0000x438.0000,썬텍코리아주식회사,1:사내 유지(사급확인),1567.0,250826
MJU64067702,15.8800x1.0000x450.0000,썬텍코리아주식회사,1:사내 유지(사급확인),1555.0,250826
MJU64067703,15.8800x1.0000x458.0000,썬텍코리아주식회사,1:사내 유지(사급확인),1542.0,250826
MJU64067704,15.8800x1.0000x458.0000,썬텍코리아주식회사,1:사내 유지(사급확인),1531.0,250826
MJU65512602,22.2000x1.0000x1014.0000,썬텍코리아주식회사,1:사내 유지(사급확인),12037.0,251026
MJU65789107,19.0500x1.0000x914.0000,썬텍코리아주식회사,1:사내 유지(사급확인),9938.0,260426
MJU65789108,19.0500x1.0000x398.0000,썬텍코리아주식회사,1:사내 유지(사급확인),4383.0,260426
MJU66467102,22.2000x1.0000x960.0000,썬텍코리아주식회사,1:사내 유지(사급확인),12040.0,260301
MJU66478115,22.2000x1.2000x217.0000,대원산업,1:사내 유지(사급확인),3828.0,260301
MJU66571901,19.0500x1.0000x306.0000,썬텍코리아주식회사,1:사내 유지(사급확인),1707.0,260326
MJU66571902,19.0500x1.0000x306.0000,썬텍코리아주식회사,1:사내 유지(사급확인),1582.0,260326
MJU66763702,25.4000x1.2000x295.0000,미래정밀,1:사내 유지(사급확인),5306.0,251226
MJU66763704,25.4000x1.2000x302.0000,미래정밀,1:사내 유지(사급확인),2400.0,251026
MJU66774702,22.2000x1.2000x487.0000,대원산업,1:사내 유지(사급확인),8013.0,260301
MJU66800402,22.2000x1.2000x416.0000,대원산업,1:사내 유지(사급확인),2330.0,220401
MJU66800403,22.2000x1.2000x175.0000,대원산업,1:사내 유지(사급확인),994.0,220401
MJU66800404,22.2000x1.2000x273.0000,대원산업,1:사내 유지(사급확인),1696.0,220401
MJU66800405,22.2000x1.2000x416.0000,대원산업,1:사내 유지(사급확인),2373.0,220401
MJU66889801-19-1,3.2000x0.6000x136.0000,명진산업,1:사내 유지(사급확인),250.0,251026
MJU66930202,19.0500x0.8000x278.0000,이젠터,1:사내 유지(사급확인),2616.0,260426
