품번,품명,종류,소분류,입고수량,입고일수
4849A10003J,"Pan,Oil",ASSY,110,10,4
4849A10047A,Accumulator Assembly,ASSY,110,90,3
4849A10047B,Accumulator Assembly,ASSY,110,30,1
AFY74109506,Muffler Assembly,ASSY,110,1970,11
AJR73973707,"Tube Assembly,Discharge(",ASSY,110,1275,24
MHH61981504,"Separator,Oil",ASSY,110,454,12
AAB73250401,Accumulator Assembly,SUB,120,574,25
AFY73689501,AFY73689501,SUB,120,3,1
AFY73689511,MTS SUB,SUB,120,6,1
AJR71429331,"Tube Assembly,Suction",SUB,120,5,1
AJR71429341-7-1,MTS SUB,SUB,120,3567,36
AJR71429343,"Tube Assembly,Suction",SUB,120,3413,29
AJR73944505-7-1,AJR73944509-7-1 동일,SUB,120,450,12
AJR73944506-7-1,MTS SUB,SUB,120,121,15
AJR74424615-7-1,SUB ASSY,SUB,120,1072,17
AJR75102405-7-1,MTS SUB ASSY,SUB,120,10,1
AJR75244301,"Tube Assembly,Suction(Ou",SUB,120,6,2
AJR75625401-7-1,AJR75625401-7-1,SUB,120,29,1
AJR75711901-7-1,AJR75711901-7-1,SUB,120,38,12
AJR77167310-7-1,MTS SUB,SUB,120,12,1
AJR77223101,"Tube Assembly,Discharge",SUB,120,3,1
AJR77223102,"Tube Assembly,Discharge",SUB,120,417,7
4848A20005A,Accumulator,SUB-ASS,230,260,26
4848A20005L,Accumulator,SUB-ASS,230,5054,29
4848A20005X,ACCUM,SUB-ASS,230,75,12
4848A20007H,ACCUM,SUB-ASS,230,2,1
4848A20007K,Accumulator,SUB-ASS,230,6,1
4848A20007P,Accumulator,SUB-ASS,230,461,17
4A00232N,Muffler,SUB-ASS,230,60,3
5210A21458T,Accumulator,SUB-ASS,230,5532,21
5256A30003G,Muffler,SUB-ASS,230,1600,7
5998A20002L,"Separator,Oil",SUB-ASS,230,5898,14
5998A20002Q,"Separator, Oil",SUB-ASS,230,2585,51
AAB35754002,Accumulator,SUB-ASS,230,1341,30
AAB73390401,Accumulator Assembly,SUB-ASS,230,6,1
AFY73689504,Muffler Assy,SUB-ASS,230,139,2
AFY73769504,Muffler Assembly,SUB-ASS,230,15,3
MAA63804601,Accumulator,SUB-ASS,230,2924,66
MAA63804701,Accumulator,SUB-ASS,230,5,1
MAZ61974302,BRACKET,SUB-ASS,230,330,2
MAZ62144002,BRACKET,SUB-ASS,230,265,2
MHH41401201,OIL SEPARATOR,SUB-ASS,230,1152,61
MHH61981504-7-1,MHH61981504-7-1,SUB-ASS,230,4578,81
MHH62041502,"Separator,Oil",SUB-ASS,230,5592,79
MHH62041507,"Oil, Separator",SUB-ASS,230,3558,84
5998A20002A,"Oil, Separator",단품,130,26,3
