품번,품명,종류,소분류,입고수량,입고일수
AJJ30041801,Supporter Assembly,ASSY,110,563,44
AJJ30041802,Supporter Assembly,ASSY,110,1402,52
AJJ30041901,Supporter Assembly,ASSY,110,2152,39
AJJ30041902,Supporter Assembly,ASSY,110,3257,53
AJJ75698803,Supporter Assembly,ASSY,110,24,4
AJJ75698804,Supporter Assembly,ASSY,110,585,23
AJJ75698806,Supporter Assembly,ASSY,110,32,2
AJJ76418701,Supporter Assembly,ASSY,110,1193,54
AJJ76418702,Supporter Assembly,ASSY,110,1081,52
AJJ76418703,Supporter Assembly,ASSY,110,1460,71
AJJ76418704,Supporter Assembly,ASSY,110,683,36
AJJ76418705,Supporter Assembly,ASSY,110,2773,88
AJJ76418706,Supporter Assembly,ASSY,110,591,56
AJJ76418707,Supporter Assembly,ASSY,110,99,14
AJJ76418720,Supporter Assembly,ASSY,110,40,11
AJJ76418721,Supporter Assembly,ASSY,110,147,29
AJJ76418722,Supporter Assembly,ASSY,110,2197,64
AJJ76418723,Supporter Assembly,ASSY,110,4005,81
AJJ76418724,Supporter Assembly,ASSY,110,3883,61
AJJ76418725,Supporter Assembly,ASSY,110,3883,69
AJJ76418727,Supporter Assembly,ASSY,110,954,46
AJJ76418728,Supporter Assembly,ASSY,110,1903,48
AJJ76418729,Supporter Assembly,ASSY,110,3264,48
AJJ76559001,Supporter Assembly,ASSY,110,218,32
AJJ76559002,Supporter Assembly,ASSY,110,160,23
AJJ76559003,Supporter Assembly,ASSY,110,652,44
AJJ76559004,Supporter Assembly,ASSY,110,2857,94
AJJ76559005,Supporter Assembly,ASSY,110,579,50
AJJ76559006,Supporter Assembly,ASSY,110,2133,56
AJJ76559007,Supporter Assembly,ASSY,110,67,10
AJJ76559008,Supporter Assembly,ASSY,110,612,52
AJJ76559009,Supporter Assembly,ASSY,110,626,46
AJJ76559010,Supporter Assembly,ASSY,110,697,47
AJJ76559011,Supporter Assembly,ASSY,110,150,9
AJJ76559012,Supporter Assembly,ASSY,110,176,20
AJJ76559013,Supporter Assembly,ASSY,110,299,22
AJJ76559014,Supporter Assembly,ASSY,110,440,24
AJJ76559015,Supporter Assembly,ASSY,110,267,23
AJJ76559016,Supporter Assembly,ASSY,110,576,32
AJJ76559017,Supporter Assembly,ASSY,110,912,39
AJJ76559102,Supporter Assembly,ASSY,110,7,3
AJJ76559103,Supporter Assembly,ASSY,110,122,18
AJJ76559106,Supporter Assembly,ASSY,110,210,23
AJJ76617501,Supporter Assembly,ASSY,110,809,33
AJJ76617502,Supporter Assembly,ASSY,110,698,26
AJR30003301,"Tube Assembly, Conedense",ASSY,110,1,1
AJR30077901-12-1,대원 SUB,ASSY,110,4004,3
AJR72982301,"Tube Assembly,Manifold(I",ASSY,110,10336,113
AJR72982303-12-1,대원산업 Sub,ASSY,110,183,7
AJR73768803,"Tube Assembly,Condenser(",ASSY,110,5,1
AJR75605101,"Tube Assembly,Connector",ASSY,110,130,3
AJR75605102,"Tube Assembly,Connector",ASSY,110,77,4
AJR75605104,"Tube Assembly,Connector",ASSY,110,839,9
AJR75662343,"Tube Assembly,Discharge(",ASSY,110,6471,29
AJR76362801,"Tube Assembly,Connector",ASSY,110,849,22
5211A20459K-12-1,대원 SUB,SUB,120,3688,16
ADM74930508-12-2,대원 SUB,SUB,120,119,18
AJR30012008-9-1,대원 SUB,SUB,120,2280,74
AJR30027701-12-1,대원 SUB,SUB,120,2066,68
AJR30027701-12-2,대원 SUB(01/05작업 공용),SUB,120,2298,80
AJR30027701-12-3,대원 SUB(01/05작업 공용),SUB,120,2298,80
AJR30027702-12-1,대원 SUB,SUB,120,3615,95
AJR30027703-12-3,대원 SUB(03/07작업 공용),SUB,120,3782,88
AJR30027704-12-1,대원 SUB,SUB,120,877,59
AJR30027705-12-1,대원 SUB,SUB,120,232,19
AJR30038201-12-1,대원 SUB,SUB,120,1460,31
AJR30038201-12-2,대원 SUB,SUB,120,730,31
AJR30038201-12-3,대원 SUB,SUB,120,730,31
AJR30038201-12-4,대원 SUB,SUB,120,730,31
AJR30038201-12-5,대원 SUB,SUB,120,365,31
AJR30069801-12-1,대원 SUB,SUB,120,73,11
AJR30073601-12-1,대원SUB,SUB,120,1279,3
AJR30077403-12-1,대원 SUB,SUB,120,11000,13
AJR30078601-12-1,대원 SUB,SUB,120,6797,67
AJR30078601-12-2,대원 SUB,SUB,120,6797,67
AJR30078601-12-3,대원 SUB,SUB,120,6797,67
AJR30117401-12-1,대원 SUB,SUB,120,4542,65
AJR30117401-12-2,대원 SUB,SUB,120,31794,65
AJR30133603-12-1,대원 sub,SUB,120,417,12
AJR30133604-12-1,대원 SUB,SUB,120,394,6
AJR68019502-12-1,대원 SUB,SUB,120,97,5
AJR74522901-12-1,대원 SUB,SUB,120,4579,74
AJR74523001-12-1,대원 SUB,SUB,120,4579,74
AJR74523003-12-1,대원 SUB,SUB,120,1004,21
AJR74523006-12-1,대원 SUB,SUB,120,2775,59
AJR74942623-12-1,대원 SUB,SUB,120,35,3
AJR74942632-12-1,대원 SUB,SUB,120,70,4
AJR74983904-12-1,대원 SUB,SUB,120,18,2
AJR74983904-12-2,대원 SUB,SUB,120,23,3
AJR74983904-12-3,대원 SUB,SUB,120,23,3
AJR74983905-12-1,대원 SUB,SUB,120,42,4
AJR74983905-12-2,대원 SUB,SUB,120,42,4
AJR74983905-12-3,대원 SUB,SUB,120,32,3
AJR74983905-12-4,대원 SUB,SUB,120,42,4
AJR74983906-12-1,대원 SUB,SUB,120,10,1
AJR74983910-12-1,대원 SUB,SUB,120,5,1
AJR75242815-12-1,대원 Sub,SUB,120,250,4
AJR75544505-12-1,대원 SUB,SUB,120,41,8
AJR75563501-12-1,대원 SUB,SUB,120,12,2
AJR75563502-12-1,대원 SUB/태국 Sub,SUB,120,40,1
AJR75563502-12-2,대원 SUB/태국 Sub,SUB,120,40,1
AJR75662310-12-1,AJR75662310-12-1,SUB,120,10,1
AJR75744140-12-1,대원 SUB,SUB,120,3619,12
AJR76322601-12-1,SUB ASSY,SUB,120,10,2
AJR76462607,ADM73210506 SUB(대원직납),SUB,120,103,19
AJR76462608,ADM73210506 SUB(대원직납),SUB,120,103,19
AJR76462611,ADM74930502 SUB(대원직납),SUB,120,16,7
AJR76462634-12-1,대원 SUB,SUB,120,16,3
AJR76982501-12-1,대원 SUB,SUB,120,41,8
AJR77224002-12-1,대원 SUB,SUB,120,736,8
AJR77224501-12-1,대원 SUB,SUB,120,15570,125
AJR77224501-12-2,대원 SUB,SUB,120,9546,119
AJR77224519-12-1,대원 sub,SUB,120,6024,101
5210A23089A,Tube Pinchoff,단품,130,591,12
5210A23089D,"Tube,Pinch off",단품,130,1844,24
MJU00743201,"Tube,Connector",단품,130,1070,25
MJU00777204,"Tube,Connector",단품,130,1468,54
MJU00777206,"Tube,Connector",단품,130,1468,54
MJU00777211,"Tube,Connector",단품,130,898,38
MJU30589201,Tube Connector,단품,130,5,1
MJU42282703,"TUBE, CONNECTOR",단품,130,5,1
MJU61942802,"Tube,Connector",단품,130,1014,69
