품번,품명,종류,소분류,입고수량,입고일수
AGR30801601,"Pipe,Assembly",ASSY,110 ASSY,4199,13
AGR30801602,Pipe Assembly,ASSY,110,2791,10
AGR30801604,Pipe Assembly,ASSY,110,123,1
AJR33796512-19-1,명진SUB,ASSY,110,2087,43
AJR73965601-19-10,명진Sub,ASSY,110,356,6
AJR73965601-19-2,명진Sub,ASSY,110,356,6
AJR73965601-19-3,명진Sub,ASSY,110,356,6
AJR73965601-19-4,명진Sub,ASSY,110,356,6
AJR73965601-19-5,명진Sub,ASSY,110,356,6
AJR73965601-19-6,명진Sub,ASSY,110,358,6
AJR73965601-19-7,명진Sub,ASSY,110,356,6
AJR73965601-19-8,명진Sub,ASSY,110,356,6
AJR73965601-19-9,명진Sub,ASSY,110,356,6
AJR73965606-19-1,명진Sub,ASSY,110,356,6
AJR73965606-19-2,명진Sub,ASSY,110,356,6
AJR30060805-19-1,명진 SUB,SUB,120,12075,32
AJR73965601-19-1,명진Sub,SUB,120,356,6
AJR73965602-19-1,명진Sub,SUB,120,375,5
AJR73965602-19-10,명진Sub,SUB,120,375,5
AJR73965602-19-2,명진Sub,SUB,120,375,5
AJR73965602-19-3,명진Sub,SUB,120,375,5
AJR73965602-19-4,명진Sub,SUB,120,375,5
AJR73965602-19-5,명진Sub,SUB,120,375,5
AJR73965602-19-6,명진Sub,SUB,120,375,5
AJR73965602-19-7,명진Sub,SUB,120,375,5
AJR73965602-19-8,명진Sub,SUB,120,375,5
AJR73965602-19-9,명진Sub,SUB,120,375,5
AJR73965607-19-1,명진Sub,SUB,120,375,5
AJR73965607-19-2,명진Sub,SUB,120,375,5
AJR75645201-19-1,명진SUB,SUB,120,992,25
AJR75645201-19-10,명진SIB,SUB,120,992,25
AJR75645201-19-11,명진SUB,SUB,120,992,25
AJR75645201-19-12,명진SUB,SUB,120,992,25
AJR75645201-19-13,명진SUB,SUB,120,992,25
AJR75645201-19-14,명진SUB,SUB,120,992,25
AJR75645201-19-2,명진SUB,SUB,120,992,25
AJR75645201-19-3,명진 SUB,SUB,120,992,25
AJR75645201-19-4,명진SUB,SUB,120,992,25
AJR75645201-19-5,명진SUB,SUB,120,992,25
AJR75645201-19-6,명진SUB,SUB,120,992,25
AJR75645201-19-7,명진SUB,SUB,120,992,25
AJR75645201-19-8,명진SUB,SUB,120,992,25
AJR75645201-19-9,명진 SUB,SUB,120,992,25
AJR76264102-19-1,명진 SUB,SUB,120,3,1
AJR76264102-19-2,명진 SUB,SUB,120,3,1
AJR76264102-19-3,명진 SUB,SUB,120,3,1
AJR77142502-19-1,명진 SUB,SUB,120,1379,24
AJR77142502-19-2,명진 SUB,SUB,120,1379,24
AJR77142503-19-1,명진 SUB,SUB,120,3015,41
AJR77142503-19-2,명진 SUB,SUB,120,3015,41
AJR77202902-19-1,명진 SUB,SUB,120,1256,26
5210A22526C,"Tube,Capillary Bending",단품,130,15,3
5210A30994B,"Tube,Connector",단품,130,70,4
5210A30994C,"Tube,Connector",단품,130,70,4
5210A30994D,"Tube,Connector",단품,130,70,4
5210A30994H,"TUBE, CONNECTOR",단품,130,200,6
5210A30994J,"TUBE, CONNECTOR",단품,130,200,6
5210A30994K,"TUBE, CONNECTOR",단품,130,200,6
5210A30998B,"Tube,Connector",단품,130,70,4
5210A30998C,"Tube,Connector",단품,130,70,4
5210A30998F,"TUBE, CONNECTOR",단품,130,200,6
5210A30998G,"TUBE, CONNECTOR",단품,130,200,6
AJR73782506,"Tube Assembly, Capillary",단품,130,34,5
MJU00698801,Tube Connector,단품,130,15,4
MJU00702401,"Tube, Connector",단품,130,10,1
MJU00702402,"Tube, Connector",단품,130,10,1
MJU00702403,"Tube, Connector",단품,130,10,1
MJU00702404,"Tube, Connector",단품,130,10,1
MJU00702405,"Tube, Connector",단품,130,10,1
MJU00702406,"Tube, Connector",단품,130,10,1
MJU00702407,"Tube, Connector",단품,130,10,1
MJU00702408,"Tube, Connector",단품,130,10,1
MJU00702409,"Tube, Connector",단품,130,20,1
MJU00788501,"Tube,Connector",단품,130,30,1
MJU00788502,"Tube,Connector",단품,130,30,1
MJU00788503,"Tube,Connector",단품,130,19,3
MJU00788504,"Tube,Connector",단품,130,7,3
MJU38273201,"Tube,Bending",단품,130,60,2
MJU38273203,"Tube,Bending",단품,130,60,2
MJU38273205,"Tube,Bending",단품,130,60,2
MJU38273403,"Tube,Bending",단품,130,60,2
MJU38273406,"Tube,Bending",단품,130,60,2
MJU40157910,"Tube,Connector",단품,130,2,1
MJU40157911,Tube Connector,단품,130,397,7
MJU40307301,"TUBE, CAPI BENDING",단품,130,5,1
MJU40307901,"TUBE, CAPI BENDING",단품,130,5,1
MJU40308101,"TUBE, CAPI BENDING",단품,130,5,1
MJU40308701,"TUBE, CAPI BENDING",단품,130,5,1
MJU41491701,"Tube,Capillary",단품,130,35,2
MJU42356104,"Tube,Connector",단품,130,40,2
MJU42643701,"Tube,Capillary",단품,130,30,2
MJU42805401,"TUBE, CAPILLARY BENDING",단품,130,5,1
MJU42805402,"TUBE, CAPILLARY BENDING",단품,130,5,1
MJU42805403,"TUBE, CAPILLARY BENDING",단품,130,5,1
MJU42886501,Tube Capillary,단품,130,30,2
MJU42886601,"Tube,Capillary",단품,130,30,2
MJU42886701,"Tube,Capillary",단품,130,30,2
MJU42938502,"Tube,Connector",단품,130,245,10
MJU47979201-19-1,Tube Capaillry,단품,130,1362,3
MJU61346401,"Tube,Connector",단품,130,22,2
MJU61346601,"Tube,Connector",단품,130,22,2
MJU61351101,"Tube,Connector",단품,130,22,2
MJU61351201,"Tube,Connector",단품,130,22,2
MJU61351501,"Tube,Connector",단품,130,22,2
MJU61351601,"Tube,Connector",단품,130,24,2
MJU61351801,"Tube,Connector",단품,130,20,1
MJU61380001,"Tube,Connector",단품,130,25,2
MJU61380201,"Tube,Connector",단품,130,25,2
MJU61380401,"Tube,Connector",단품,130,25,2
MJU61380501,"Tube,Connector",단품,130,25,2
MJU61382801,"Tube,Connector",단품,130,25,2
MJU61382901,"Tube,Connector",단품,130,25,2
MJU61387701,"Tube,Connector",단품,130,25,2
MJU61940501,"Tube,Connector",단품,130,8,1
MJU61943601,"Tube, capillary",단품,130,7502,94
MJU61943608,"Tube,Connector",단품,130,599,23
MJU62066901,"Tube,Capillary Bending",단품,130,60,2
MJU62078701,"Tube,Connector",단품,130,857,40
MJU62078802,"Tube,Connector",단품,130,857,40
MJU62078902,"Tube,Connector",단품,130,858,41
MJU62194501,"Tube,Connector",단품,130,25,1
MJU62490101,"Tube,Connector",단품,130,35,2
MJU62490201,"Tube,Connector",단품,130,35,2
MJU62490301,"Tube,Connector",단품,130,35,2
MJU62490401,"Tube,Connector",단품,130,35,2
MJU62791001,"Tube,Connector",단품,130,3,1
MJU62911901,"Tube,Capillary Bending",단품,130,74,9
MJU62911903,"Tube,Capillary Bending",단품,130,131,11
MJU62968508,"Tube,Bending",단품,130,70,3
MJU62968521,"Tube,Bending",단품,130,70,3
MJU62968522,"Tube,Bending",단품,130,70,3
MJU62968523,"Tube,Bending",단품,130,70,3
MJU62968524,"Tube,Bending",단품,130,70,3
MJU62968525,"Tube,Bending",단품,130,70,3
MJU62968526,"Tube,Bending",단품,130,70,3
MJU62968527,"Tube,Bending",단품,130,70,3
MJU62968528,"Tube,Bending",단품,130,70,3
MJU62968529,"Tube,Bending",단품,130,70,3
MJU62968530,"Tube,Bending",단품,130,70,3
MJU62968801,"Tube,Connector",단품,130,20,1
MJU62989202,"Tube,Connector",단품,130,14,2
MJU63009003,"Tube,Connector",단품,130,10,1
MJU63043601,"Tube,Capillary Bending",단품,130,5,1
MJU63043604,"Tube,Capillary Bending",단품,130,7,2
MJU63043605,"Tube,Capillary Bending",단품,130,5,1
MJU63043607,"Tube,Capillary Bending",단품,130,5,1
