품번,품명,종류,소분류,입고수량,입고일수
AJR30008202,"Tube Assembly,Discharge",ASSY,110,1114,34
AJR30019401,"Tube Assembly,Discharge",ASSY,110,1,1
AJR30087401-4-1,미래 sub,ASSY,110,203,14
AJR30133702,"Tube Assembly,Manifold(O",ASSY,110,20,1
AJR34739807,"Tube Assembly,Manifold(O",ASSY,110,5,2
AJR73324501,"Tube Assembly,Manifold(I",ASSY,110,1304,28
AJR73324503,"Tube Assembly,Manifold(I",ASSY,110,60,2
AJR73342801,"Tube Assembly,Manifold(I",ASSY,110,65,3
AJR73342803,"Tube Assembly,Manifold(I",ASSY,110,35,3
AJR73364601,"Tube Assembly,Manifold(I",ASSY,110,467,10
AJR74702901,"Tube Assembly,Discharge",ASSY,110,21,4
AJR75662308,"Tube Assembly,Discharge(",ASSY,110,16,3
AJR75662327,"Tube Assembly,Discharge(",ASSY,110,77,4
AJR75662342,"Tube Assembly,Discharge(",ASSY,110,832,7
AJR75743301,"Tube Assembly,Condenser(",ASSY,110,25,2
AJR76522501,"Tube Assembly,Manifold(O",ASSY,110,22,8
AJR77022802,"Tube Assembly,Discharge",ASSY,110,5,1
MJU63357501,"Tube,Connector",ASSY,110,1400,1
ACQ30605001-4-1,미래 sub,SUB,120,49,13
AHQ73469301-4-1,미래 sub,SUB,120,1413,28
AJJ73040829-9-1,SUB ASSY,SUB,120,1684,28
AJR30007101-9-2,미래 SUB,SUB,120,8015,47
AJR30007102-9-1,미래 Sub(용접링),SUB,120,1145,47
AJR30007102-9-2,미래 Sub(용접링),SUB,120,1145,47
AJR30007102-9-3,미래 Sub(용접링),SUB,120,1145,47
AJR30007102-9-4,미래 Sub,SUB,120,1158,48
AJR30008101-4-1,미래 SUB,SUB,120,6,2
AJR30008101-4-2,미래 SUB,SUB,120,6,2
AJR30008101-4-3,미래 SUB,SUB,120,6,2
AJR30008101-4-4,미래 SUB,SUB,120,6,2
AJR30008101-4-5,미래 SUB,SUB,120,6,2
AJR30008101-4-6,미래 SUB,SUB,120,6,2
AJR30008101-4-7,미래 SUB,SUB,120,6,2
AJR30008101-4-8,미래 SUB,SUB,120,6,2
AJR30008101-4-9,미래 SUB,SUB,120,6,2
AJR30060805-4-1,미래 sub,SUB,120,12083,31
AJR30075401-4-1,미래정밀 Sub,SUB,120,2037,31
AJR30075401-4-3,미래정밀 Sub,SUB,120,1934,31
AJR30075401-4-4,미래정밀 Sub,SUB,120,583,22
AJR30075401-4-5,미래 SUB,SUB,120,583,22
AJR30075401-4-6,미래 SUB,SUB,120,583,22
AJR30077403-4-2,미래 SUB,SUB,120,11000,5
AJR30089608-4-1,미래 Sub(용접링포함),SUB,120,41426,79
AJR30089608-4-2,미래 Sub,SUB,120,3766,79
AJR30089608-4-3,미래 Sub,SUB,120,3767,80
AJR30089608-4-4,미래 Sub,SUB,120,3766,79
AJR30089609-4-1,미래 SUB,SUB,120,30031,56
AJR30089609-4-2,미래 SUB,SUB,120,2502,56
AJR30089609-4-3,미래 SUB,SUB,120,2502,56
AJR30089609-4-4,미래 SUB,SUB,120,2502,56
AJR30089609-4-5,미래 SUB,SUB,120,2503,56
AJR30089610-4-1,미래 SUB,SUB,120,1088,22
AJR30089610-4-2,미래 SUB,SUB,120,136,22
AJR30089610-4-3,미래 SUB,SUB,120,136,22
