품번,품명,종류,소분류,입고수량,입고일수
MJU00777004,"Tube,Connector",단품,130,1290,45
MJU00777501,"Tube,Connector",단품,130,3023,36
MJU00777604,"Tube,Connector",단품,130,1990,27
MJU00777605,"Tube,Connector",단품,130,1990,27
MJU66570403,"Tube,Connector",단품,130,14667,111
MJU66570404,"Tube,Connector",단품,130,14650,111
MJU66571704,"Tube,Connector",단품,130,9998,108
MJU66571801,"Tube,Connector",단품,130,10043,70
MJU66799101,"Tube,Connector",단품,130,3519,87
MJU66799401,"Tube,Connector",단품,130,3519,87
MJU66799403,"Tube,Connector",단품,130,3519,87
