품번,품명,종류,소분류,입고수량,입고일수
AJR30077901-20-1,썬텍 sub,ASSY,110,3000,3
AJR77170902,"Tube Assembly, Condenser",ASSY,110,374,19
AJR77182802,"Tube Assembly,Condenser(",ASSY,110,1086,32
AJR77182902,"Tube Assembly,Condenser(",ASSY,110,1089,30
AJR30004702-20-1,썬텍 SUB,SUB,120,12683,42
AJR30012008-20-1,썬텍 SUB,SUB,120,108,2
AJR30012009-20-1,썬텍 SUB,SUB,120,20,3
AJR30012010-20-1,썬텍 SUB,SUB,120,62,2
AJR30012011-20-1,썬텍 SUB,SUB,120,40,2
AJR30037603-20-1,썬텍 SUB,SUB,120,2770,27
AJR30037603-20-2,썬텍 SUB,SUB,120,1108,27
AJR30037604-20-1,썬텍 SUB,SUB,120,3260,41
AJR30037604-20-2,썬텍 SUB,SUB,120,978,41
AJR30101601-20-1,썬텍 SUB,SUB,120,1461,27
AJR30102601-20-1,썬텍 SUB,SUB,120,901,25
AJR30102601-20-2,썬텍 SUB,SUB,120,901,25
AJR30102601-20-3,썬텍 SUB,SUB,120,901,25
AJR30125501-20-1,썬텍 sub,SUB,120,5535,55
AJR30125505-20-1,썬텍 SUB,SUB,120,173,11
AJR30125601-20-1,썬텍 SUB,SUB,120,5023,51
AJR30125601-20-2,썬텍 SUB,SUB,120,4691,48
AJR30125603-20-1,썬텍 SUB,SUB,120,84,7
AJR73952501-20-1,썬텍 SUB,SUB,120,1365,36
AJR73952502-20-1,썬텍 SUB,SUB,120,4360,54
AJR74823101-20-1,썬텍 SUB,SUB,120,348,20
AJR74823102-20-1,썬텍 SUB,SUB,120,401,23
AJR74823103-20-1,썬텍 SUB,SUB,120,4115,78
AJR74823104-20-1,썬텍 SUB,SUB,120,5109,80
AJR75462802-20-1,썬텍 SUB,SUB,120,1178,18
AJR76523027-20-1,썬텍 SUB,SUB,120,3407,28
AJR76562804-20-1,썬텍 SUB,SUB,120,528,14
AJR76562804-20-2,썬텍 SUB,SUB,120,528,14
AJR77188801-20-1,썬텍 SUB,SUB,120,1670,78
AJR77188802-20-1,썬텍 SUB,SUB,120,13558,119
AJR77224002-20-1,썬텍 SUB,SUB,120,6240,56
AJR77224008-20-1,썬텍 SUB,SUB,120,428,23
AJR77224501-20-1,썬텍 SUB,SUB,120,7172,111
AJR77224518-20-1,썬텍 SUB,SUB,120,8056,103
AJR77225602-20-1,썬텍 SUB,SUB,120,2534,45
AJR77225607-20-1,썬텍 SUB,SUB,120,639,14
MJU00787901,"Tube,Connector",단품,130,12,1
MJU00787902,"Tube,Connector",단품,130,26,1
MJU00787903,"Tube,Connector",단품,130,38,1
MJU00788001,"Tube,Connector",단품,130,38,1
MJU00788002,"Tube,Connector",단품,130,38,1
MJU00788306,"Tube,Connector",단품,130,12,1
MJU00788307,"Tube,Connector",단품,130,38,1
MJU00788308,"Tube,Connector",단품,130,38,1
MJU00788309,"Tube,Connector",단품,130,38,1
MJU00788310,"Tube,Connector",단품,130,38,1
MJU61986901,"Tube,Connector",단품,130,1000,2
MJU61987101,"Tube,Connector",단품,130,1000,2
MJU63208002,Tube Connector,단품,130,23,4
MJU63208003,Tube Connector,단품,130,21,3
MJU63208104,Tube Connector,단품,130,67,6
MJU63208105,Tube Connector,단품,130,44,6
MJU63208106,Tube Connector,단품,130,42,3
MJU64948401,"Tube,Connector",단품,130,3,1
MJU66479601,Tube Connector,단품,130,2417,31
MJU66479701,Tube Connector,단품,130,124,4
MJU66479802,Tube Connector,단품,130,1633,23
MJU66479803,"Tube,Connector",단품,130,100,1
MJU66507045,"Tube,Connector",단품,130,1485,27
MJU66507051,"Tube,Connector",단품,130,1486,28
MJU66507052,"Tube,Connector",단품,130,1485,27
MJU66507053,"Tube,Connector",단품,130,1485,27
MJU66570002,"Tube,Connector",단품,130,3765,27
MJU66749602,Tube Connector,단품,130,2496,34
MJU66799901,"Tube,Connector",단품,130,2496,34
MJU66823202,"Tube,Connector",단품,130,326,41
MJU66823302,"Tube,Connector",단품,130,326,41
