품번,품명,종류,소분류,입고수량,입고일수
AJR30001401,Tube Assembly Manifold,ASSY,110,387,21
AJR30075401-3-4,이젠터 Sub,ASSY,110,1873,30
AJR30078701,Condenser(고강도),ASSY,110,57,1
AJR30117302,"Tube Assembly, Manifold(",ASSY,110,1109,33
AJR34739811,"Tube Assembly,Manifold(O",ASSY,110,145,3
AJR34739816,"Tube Assembly, Manifold",ASSY,110,835,9
AJR34739820,"Tube Assembly,Manifold(O",ASSY,110,4550,12
AJR34739824,"Tube Assembly,Manifold(O",ASSY,110,1649,23
AJR72914508,"Tube Assembly,Connector",ASSY,110,378,21
AJR72919805,"Tube Assembly,Connector",ASSY,110,2571,18
AJR73326604,"Tube Assembly,Manifold(O",ASSY,110,10,1
AJR73326623,"Tube Assembly,Manifold(O",ASSY,110,64,16
AJR73326629,"Tube Assembly,Manifold(O",ASSY,110,103,5
AJR73326630,"Tube Assembly,Manifold(O",ASSY,110,25,2
AJR73964301,"Tube Assembly,Connector",ASSY,110,892,54
AJR74425405,"Tube Assembly,Manifold(O",ASSY,110,15,4
AJR75123901,"Tube Assembly,Manifold(O",ASSY,110,1324,37
AJR75743209,"Tube Assembly,Condenser(",ASSY,110,6,2
AJR77144207,"Tube Assembly, Condenser",ASSY,110,6,2
AJR77144305,"Tube Assembly,Manifold(O",ASSY,110,65,4
AJR77145701,"Tube Assembly,Manifold(O",ASSY,110,437,9
MJU66954406,"Tube, Connector ",ASSY,110,74,17
MJU66954409,"Tube, Connector ",ASSY,110,49,13
AJJ74578301-3-1,이젠터 SUB,SUB,120,365,17
AJJ74578301-3-2,이젠터 SUB,SUB,120,365,17
AJJ74578304-3-1,AJJ74578304-3-1,SUB,120,13,3
AJJ74578304-3-2,AJJ74578304-3-2,SUB,120,13,3
AJJ74578309-3-1,이젠터 SUB,SUB,120,3,1
AJJ74578309-3-2,이젠터 SUB,SUB,120,3,1
AJR30004702-3-1,이젠터 SUB,SUB,120,12183,45
AJR30019801-3-1,이젠터 SUB,SUB,120,42,5
AJR30051301-3-1,이젠터 sub,SUB,120,146,8
AJR30069701-3-1,이젠터 SUB,SUB,120,71,10
AJR30069702-3-1,이젠터 SUB ,SUB,120,2,1
AJR30075401-3-1,이젠터 Sub,SUB,120,1950,31
AJR30075401-3-2,이젠터 Sub,SUB,120,1965,31
AJR30075401-3-3,이젠터 Sub,SUB,120,1873,30
AJR30075401-3-5,이젠터 Sub,SUB,120,1869,30
AJR30075401-3-6,이젠터 Sub,SUB,120,1908,31
AJR30075401-3-7,이젠터 SUB,SUB,120,582,18
AJR30077901-3-1,이젠 SUB,SUB,120,11536,11
AJR30107701-3-1,이젠터 SUB,SUB,120,1909,45
AJR30125601-3-1,이젠터 SUB,SUB,120,4691,48
AJR30125601-3-2,이젠터 SUB,SUB,120,1670,18
AJR52676202-3-1,AJR52676202-3-1,SUB,120,8,6
AJR52676207-3-1,이젠터 SUB,SUB,120,400,2
AJR53980903-3-1,이젠터 SUB,SUB,120,8489,80
AJR71429409-3-1,AJR71429409-3-1,SUB,120,4,1
AJR72914201-3-1,이젠터 sub,SUB,120,1257,44
AJR73343303-3-1,이젠터 SUB,SUB,120,60,2
AJR73767803-3-1,AJR73767803-3-1,SUB,120,35,5
AJR73767810-3-1,AJR73767810-3-1,SUB,120,25,4
AJR73980304-3-1,이젠터 SUB,SUB,120,56,11
AJR74364818-3-1,Sub Assy,SUB,120,4721,59
AJR74364818-3-2,Sub Assy,SUB,120,4721,59
AJR74364818-3-3,이젠터 SUB,SUB,120,5916,57
AJR74364825-3-1,이젠터 SUB,SUB,120,8139,56
AJR74364825-3-2,이젠터 SUB,SUB,120,8139,56
AJR74364825-3-3,이젠터 SUB,SUB,120,4801,47
AJR74522902-3-1,SUB ASSY,SUB,120,2503,68
AJR74524701-3-1,SUB ASSY,SUB,120,4287,82
AJR74803521-3-1,이젠터 sub,SUB,120,3551,17
AJR74923002-3-1,이젠터 SUB,SUB,120,204,3
AJR74942709-3-1,SUB ASSY,SUB,120,90,4
AJR74942724-3-1,이젠터 SUB,SUB,120,1097,37
AJR74942730-3-1,SUB ASSY,SUB,120,45,4
AJR74942735-3-1,SUB ASSY,SUB,120,15,2
AJR74942754-3-1,이젠터 SUB,SUB,120,212,10
AJR74943201-1-1,AJR74943201 SUB,SUB,120,341,13
AJR74963001-3-1,이젠터 SUB,SUB,120,1076,19
AJR74963101-1-1,AJR74963101 SUB,SUB,120,808,18
AJR75243006-3-1,SUB ASSY,SUB,120,1616,15
AJR75243021-3-1,외주 SUB,SUB,120,584,10
AJR75243118-3-1,이젠터 저압 SUB,SUB,120,902,16
AJR75462802-3-1,이젠터 SUB,SUB,120,1178,18
AJR75483601-3-1,이젠터 SUB,SUB,120,687,12
AJR75544201-3-1,이젠터 SUB,SUB,120,1150,15
AJR75709904-3-1,이젠터 SUB,SUB,120,7660,102
AJR75744106,"Tube Assembly, Suciton",SUB,120,35,1
AJR75744119,AJR75744119,SUB,120,150,4
AJR75744125,"Tube Assembly, Suciton",SUB,120,8,2
AJR75744137-3-1,이젠터 Sub,SUB,120,808,11
AJR76442511-3-1,이젠터 Sub,SUB,120,27635,52
AJR76502604-3-1,SUB ASSY,SUB,120,24,9
AJR76502604-3-2,SUB ASSY,SUB,120,24,9
AJR76502610-3-1,Sub Assy,SUB,120,92,15
AJR76502610-3-2,Sub Assy,SUB,120,92,15
AJR76502611-3-1,SUB ASSY,SUB,120,32,3
AJR76502611-3-2,SUB ASSY,SUB,120,32,3
AJR76502612-3-1,SUB ASSY,SUB,120,1,1
AJR76502612-3-2,SUB ASSY,SUB,120,1,1
AJR76582505-3-1,이젠터 Sub,SUB,120,10068,75
AJR76582506-3-1,이젠터 Sub,SUB,120,5050,66
AJR76582506-3-2,이젠터 Sub,SUB,120,5050,66
AJR76582506-3-3,이젠터 Sub,SUB,120,5165,65
AJR76822701-3-1,AJR76822701-3-1,SUB,120,5914,85
AJR77223105-3-1,이젠터 SUB,SUB,120,24,3
AJR77224517-3-1,이젠터 sub,SUB,120,7739,106
AJR77224519-3-1,이젠터 sub,SUB,120,7270,111
AJR30116701,"Tube Assembly, Manifold(",기타,,364,13
5210A20851E,TUBE RETURN BENDING,단품,130,3,1
5210A20851M,"TUBE, CONNECTOR",단품,130,3,1
5210A22034A,"Tube, Connector",단품,130,84,2
5210A22034B,"Tube, Connector",단품,130,20,1
5210A24677G,"Tube,Connector",단품,130,30,1
5210A24677J,"Tube,Connector",단품,130,11032,26
5210A31939A,"Tube,Connector",단품,130,3093,33
MJU00722803,"Tube,Connector",단품,130,25,6
MJU00722804,"Tube,Connector",단품,130,25,6
MJU00750702,"Tube, Connector",단품,130,1120,2
MJU00752701,"Tube,Connector",단품,130,2694,49
MJU00752901,"Tube,Connector",단품,130,1907,31
MJU00753001,"Tube,Connector",단품,130,1841,29
MJU00792302,"Tube,Connector",단품,130,91,3
MJU00792304,"Tube,Connector",단품,130,173,3
MJU00792306,"Tube,Connector",단품,130,43,2
MJU00792308,"Tube,Connector",단품,130,142,3
MJU00792310,"Tube,Connector",단품,130,74,1
MJU37361115,"TUBE, CONNECTOR",단품,130,25,3
MJU40246001,"Tube, Connector",단품,130,10,1
MJU47146601,"Tube,Connector",단품,130,596,24
MJU47146602,"Tube,Connector",단품,130,296,24
MJU47146603,"Tube,Connector",단품,130,4,1
MJU60436226,"Tube,Connector",단품,130,5,1
MJU60436237,"Tube,Connector",단품,130,139,2
MJU61940901,"Tube,Connector",단품,130,208,11
MJU62672401,"Tube,Connector",단품,130,20,1
MJU62837001,"Tube,Connector",단품,130,1130,58
MJU62837201,"Tube,Connector",단품,130,842,54
MJU62837202,"Tube,Connector",단품,130,150,6
MJU62842304,"Tube,Connector",단품,130,1612,19
MJU62842305,"Tube,Connector",단품,130,806,19
MJU62842317,"Tube,Connector",단품,130,681,10
MJU62842318,"Tube,Connector",단품,130,340,9
MJU62842319,"Tube,Connector",단품,130,340,9
MJU62914601,"Tube,Connector",단품,130,842,54
MJU62914602,"Tube,Connector",단품,130,150,6
MJU63009601,"Tube,Connector",단품,130,932,55
MJU63083101,"Tube,Connector",단품,130,208,11
