품번,품명,종류,소분류,입고수량,입고일수
AJR74424616,Muffler Assembly,ASSY,110,2977,10
AJR75712102,"Tube Assembly,Connector",ASSY,110,40,12
AJR77225301-1-2(링),중앙 Sub(+용접링),ASSY,110,827,53
AJJ74578314-1-1,중앙 SUB,SUB,120,1316,29
AJJ74578314-1-2,중앙 SUB,SUB,120,1316,29
AJJ74578316-1-1,중앙 SUB,SUB,120,4366,57
AJJ74578316-1-2,중앙 SUB,SUB,120,4376,59
AJJ74578324-1-1,중앙 SUB,SUB,120,10,2
AJJ75318301-1-1,SUB ASSY,SUB,120,76,11
AJR30012008-1-1,중앙 SUB,SUB,120,2280,72
AJR30089619-1-1(링),중앙 Sub(+용접링),SUB,120,1924,83
AJR30089619-1-3(링),중앙 Sub(+용접링),SUB,120,1924,83
AJR30089620-1-1,중앙 SUB,SUB,120,329,42
AJR30089620-1-2,중앙 SUB,SUB,120,329,42
AJR30089621-1-1,중앙 SUB,SUB,120,2122,55
AJR30089621-1-2,중앙 SUB,SUB,120,2122,55
AJR30089621-1-3,중앙 SUB,SUB,120,2122,55
AJR30089621-1-4,중앙 SUB,SUB,120,48931,107
AJR34565827-1-1,SUB ASSY,SUB,120,142,4
AJR34565827-1-2,SUB ASSY,SUB,120,142,4
AJR36479516-11-1,AJR36479516-11-1,SUB,120,15,1
AJR36479521-1-1,SUB ASSY,SUB,120,3,1
AJR72586225-1-1,SUB ASSY,SUB,120,3,1
AJR73343201-9-1,SUB ASSY,SUB,120,60,2
AJR73663104-1-1,AJR73663104-1-1,SUB,120,43,4
AJR73663104-1-2,AJR73663104-1-2,SUB,120,43,4
AJR73882504-1-1,SUB ASSY,SUB,120,65,4
AJR73882504-1-2,SUB ASSY,SUB,120,65,4
AJR74424612-1-1,중앙 SUB,SUB,120,1077,17
AJR74424620-1-1,중앙 SUB,SUB,120,6,2
AJR74803541-1-1,중앙 SUB,SUB,120,808,11
AJR74803541-1-2,중앙 SUB,SUB,120,1649,18
AJR74803543-1-1,중앙 SUB,SUB,120,841,13
