assy,원소재,유형,외경,두께,길이,원소재비,소요량,견적재료비,검산(geom×원),오차%,마커
AJR55707008-2,MJU47978301,동관,6.35,0.65,154.0,7671.0,1.0,122.94550498229997,122.9,0.0,
AJR55707008-2,MJU47978302,동관,6.35,0.65,156.0,7671.0,1.0,124.54219985219997,124.5,0.0,
AJR55707008-2,3H03659L,사급부품,,,,538.0,1.0,538.0,,,사급가
AJR55707008-2,RAC30599303,용접봉,,,,21100.0,0.00094336,19.904896,,,사급가
AJR55707008-1,MJU47979202,동관,4.76,0.65,166.0,7941.0,1.0,98.92138807161,98.9,0.0,
AJR55707008-1,MJU47979203,동관,4.76,0.65,127.0,7941.0,1.0,75.68082099454499,75.7,0.0,
AJR55707008-1,MJU47978303,동관,6.35,0.65,99.0,7671.0,1.0,79.03639606005,79.0,0.0,
AJR55707008-1,MJU47978304,동관,7.94,0.65,232.0,7711.0,1.0,238.11749887068004,238.1,0.0,
AJR55707008-1,3H03659L,사급부품,,,,538.0,1.0,538.0,,,사급가
AJR55707008-1,MJU47979201,사급부품,,,,262.0,1.0,262.0,,,사급가
AJR55707008-1,MJU62823101,사급부품,,,,757.0,1.0,757.0,,,사급가
AJR55707008-1,5210A22409A,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR55707008-1,RAC30599303,용접봉,,,,21100.0,0.0033745500000000005,71.203005,,,사급가
AJR36852211,MJU58941308,동관,6.35,0.65,100.0,7671.0,1.0,79.834743495,79.8,0.0,
AJR36852211,MJU58941309,동관,6.35,0.65,118.0,7671.0,1.0,94.20499732409999,94.2,0.0,
AJR36852211,MJU58941310,동관,6.35,0.65,186.0,7671.0,1.0,148.49262290069998,148.5,0.0,
AJR36852211,MJU58941311,동관,12.7,0.75,292.0,7560.0,1.0,555.75778482,555.7,0.0,
AJR36852211,5210A22409B,사급부품,,,,67.0,1.0,67.0,,,사급가
AJR36852211,RAC30599303,용접봉,,,,21100.0,0.00314046,66.263706,,,사급가
AJR36852211,MJU58941308,동관,6.35,0.55,100.0,13028.0,1.0,116.74012988,116.7,0.0,
AJR36852211,MJU58941309,동관,6.35,0.55,118.0,13028.0,1.0,137.7533532584,137.7,0.0,
AJR36852211,MJU58941310,동관,6.35,0.55,186.0,13028.0,1.0,217.13664157680003,217.1,0.0,
AJR36852211,MJU58941311,동관,12.7,0.6,292.0,12847.0,1.0,765.0202578216,764.9,0.0,
AJR36852211,5210A22409B,사급부품,,,,67.0,1.0,67.0,,,사급가
AJR36852211,RAC30599303,용접봉,,,,21100.0,0.00314046,66.263706,,,사급가
AJR55707008-2,MJU47978301,사급부품,,,,170.0,1.0,170.0,,,사급가
AJR55707008-2,MJU47978302,사급부품,,,,166.0,1.0,166.0,,,사급가
AJR55707008-2,3H03659L,사급부품,,,,538.0,1.0,538.0,,,사급가
AJR55707008-2,RAC30599303,용접봉,,,,21100.0,0.00094336,19.904896,,,사급가
AJR55707008-1,MJU47979202,사급부품,,,,192.0,1.0,192.0,,,사급가
AJR55707008-1,MJU47979203,사급부품,,,,150.0,1.0,150.0,,,사급가
AJR55707008-1,MJU47978303,사급부품,,,,151.0,1.0,151.0,,,사급가
AJR55707008-1,MJU47978304,사급부품,,,,356.0,1.0,356.0,,,사급가
AJR55707008-1,3H03659L,사급부품,,,,538.0,1.0,538.0,,,사급가
AJR55707008-1,MJU47979201,사급부품,,,,262.0,1.0,262.0,,,사급가
AJR55707008-1,MJU62823101,사급부품,,,,757.0,1.0,757.0,,,사급가
AJR55707008-1,5210A22409A,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR55707008-1,RAC30599303,용접봉,,,,21100.0,0.0033745500000000005,71.203005,,,사급가
AJR36852211,MJU58941308,사급부품,,,,129.0,1.0,129.0,,,사급가
AJR36852211,MJU58941309,사급부품,,,,141.0,1.0,141.0,,,사급가
AJR36852211,MJU58941310,사급부품,,,,214.0,1.0,214.0,,,사급가
AJR36852211,MJU58941311,사급부품,,,,780.0,1.0,780.0,,,사급가
AJR36852211,5210A22409B,사급부품,,,,67.0,1.0,67.0,,,사급가
AJR36852211,RAC30599303,용접봉,,,,21100.0,0.00314046,66.263706,,,사급가
AJR55707008-1,MJU47978303,동관,6.35,0.65,99.0,7671.0,1.0,79.03639606005,79.0,0.0,
AJR55707008-1,MJU47978304,동관,7.94,0.65,232.0,7711.0,1.0,238.11749887068004,238.1,0.0,
AJR36852211,MJU58941308,동관,6.35,0.65,100.0,7671.0,1.0,79.834743495,79.8,0.0,
AJR36852211,MJU58941309,동관,6.35,0.65,118.0,7671.0,1.0,94.20499732409999,94.2,0.0,
AJR36852211,MJU58941310,동관,6.35,0.65,186.0,7671.0,1.0,148.49262290069998,148.5,0.0,
AJR36852211,MJU58941311,동관,12.7,0.75,292.0,7560.0,1.0,555.75778482,555.7,0.0,
AJR55707009,MJU47979202,동관,4.76,0.65,172.0,7941.0,1.0,102.49685992961999,102.5,0.0,
AJR55707009,MJU47979203,동관,4.76,0.65,135.0,7941.0,1.0,80.44811680522498,80.4,0.0,
AJR55707009,MJU47978305,동관,6.35,0.65,155.0,7671.0,1.0,123.74385241724998,123.7,0.0,
AJR55707009,MJU47978304,동관,7.94,0.65,235.0,7711.0,1.0,241.19660445952505,241.2,0.0,
AJR55707009-1,MJU47979202,동관,4.76,0.65,172.0,7941.0,1.0,102.49685992961999,102.5,0.0,
AJR55707009-1,MJU47979203,동관,4.76,0.65,135.0,7941.0,1.0,80.44811680522498,80.4,0.0,
AJR55707009-1,MJU47978305,동관,6.35,0.65,155.0,7671.0,1.0,123.74385241724998,123.7,0.0,
AJR55707009-1,MJU47978304,동관,7.94,0.65,235.0,7711.0,1.0,241.19660445952505,241.2,0.0,
AJR55707009-1,MJU47979201,사급부품,,,,262.0,1.0,262.0,,,사급가
AJR55707009-1,MJU62823101,사급부품,,,,757.0,1.0,757.0,,,사급가
AJR55707009-1,5210A22409A,사급부품,,,,56.0,1.0,56.0,,,사급가
