품번,원소재,유형,치수Φ×L,소요,재료비,마커,제작업체,사급불출(5월~)
AJR30004702-20-1,MJU00697402,동관,15.88x1094.0,1.0,4469.814704187301,,,
AJR30004702-20-1,MJU00697501,동관,7.0x52.0,7.0,66.57528203040002,,,
AJR30004702-20-1,MJU00697502,동관,7.0x133.0,1.0,170.27908673160002,,,
AJR30004702-20-1,5210A22409B,사급부품,x,1.0,56.0,사급가,,불출5건 -17000
AJR30004702-20-1,RAC30599303,용접봉,x,0.005526860000000001,116.616746,사급가,,
AJR30004702-20-1,RAC30599303,용접봉,x,0.00660352,139.334272,사급가,,
AJR30037603-20-1,MJU66821602,사급부품,x,1.0,188.0,사급가,,★불출없음
AJR30037603-20-1,5210A28001S,사급부품,x,1.0,390.0,사급가,,불출3건 -1800
AJR30037603-20-1,RAC30599303,용접봉,x,0.00047168,9.952448,사급가,,
AJR30037603-20-2,MJU66821602,사급부품,x,1.0,188.0,사급가,,★불출없음
AJR30037603-20-2,5210A28001S,사급부품,x,1.0,390.0,사급가,,불출3건 -1800
AJR30037603-20-2,RAC30599303,용접봉,x,0.00047168,9.952448,사급가,,
AJR30037604-20-1,MJU66822602,사급부품,x,1.0,204.0,사급가,,★불출없음
AJR30037604-20-1,5210A28001S,사급부품,x,1.0,390.0,사급가,,불출3건 -1800
AJR30037604-20-1,RAC30599303,용접봉,x,0.00047168,9.952448,사급가,,
AJR30037604-20-1,MJU66823302,동관,6.35x161.0,1.0,128.53393702695,,,
AJR30037604-20-1,MJU66823202,동관,6.35x123.0,1.0,98.19673449885,,,
AJR30037604-20-1,MJU66822602,동관,6.35x91.0,1.0,72.64961658045,,,
AJR30037604-20-1,MJU66821702,동관,6.35x76.0,1.0,60.67440505620001,,,
AJR30037604-20-2,MJU66822602,사급부품,x,1.0,204.0,사급가,,★불출없음
AJR30037604-20-2,5210A28001S,사급부품,x,1.0,390.0,사급가,,불출3건 -1800
AJR30037604-20-2,RAC30599303,용접봉,x,0.00047168,9.952448,사급가,,
AJR30037604-20-2,MJU66823302,동관,6.35x161.0,1.0,128.53393702695,,,
AJR30037604-20-2,MJU66823202,동관,6.35x123.0,1.0,98.19673449885,,,
AJR30037604-20-2,MJU66822602,동관,6.35x91.0,1.0,72.64961658045,,,
AJR30037604-20-2,MJU66821702,동관,6.35x76.0,1.0,60.67440505620001,,,
AJR30101601-20-1,MJU62911511,동관,15.88x1186.0,1.0,8316.8582673,,,
AJR30101601-20-1,MJU00697501,동관,7.0x52.0,8.0,113.99877060000001,,,
AJR30101601-20-1,MJU00697502,동관,7.0x133.0,1.0,291.57377865,,,
AJR30101601-20-1,5210A22409B,사급부품,x,1.0,56.0,사급가,,불출5건 -17000
AJR30101601-20-1,RAC30599303,용접봉,x,0.006121272500000001,129.15884975000003,사급가,,
AJR30102601-20-1,MJU66894810,동관,9.52x62.0,2.0,200.8215898,,,
AJR30102601-20-1,MJU66997105,동관,9.52x147.0,1.0,476.1415113,,,
AJR30102601-20-1,MJU66779315,동관,9.52x49.0,1.0,158.71383709999995,,,
AJR30102601-20-1,MFN62721711,사급부품,x,2.0,504.0,사급가,,불출3건 -3000
AJR30102601-20-1,MJX63991904,사급부품,x,1.0,3200.0,사급가,,불출5건 -182
AJR30102601-20-1,RAC30599303,용접봉,x,0.00308624,65.119664,사급가,,
AJR30102601-20-1,MJU66894810,동관,9.52x62.0,2.0,200.8215898,,,
AJR30102601-20-1,MJU66997107,동관,9.52x229.0,1.0,741.7442590999999,,,
AJR30102601-20-1,MJU66779315,동관,9.52x49.0,1.0,158.71383709999995,,,
AJR30102601-20-1,MFN62721711,사급부품,x,2.0,504.0,사급가,,불출3건 -3000
AJR30102601-20-1,MJX63991903,사급부품,x,1.0,2909.0,사급가,,불출5건 -182
AJR30102601-20-1,RAC30599303,용접봉,x,0.00308624,65.119664,사급가,,
AJR30102601-20-1,MJU66997103,동관,9.52x171.0,1.0,553.8789009,,,
AJR30102601-20-1,MJU66997108,동관,9.52x186.0,1.0,602.4647693999999,,,
AJR30102601-20-1,MJC62721914,사급부품,x,2.0,1138.0,사급가,,불출4건 -700
AJR30102601-20-1,MJX63991801,사급부품,x,1.0,2604.0,사급가,,불출5건 -182
AJR30102601-20-1,5210A22409A,사급부품,x,1.0,56.0,사급가,,★불출없음
AJR30102601-20-1,RAC30599303,용접봉,x,0.004162735,87.8337085,사급가,,
AJR30102601-20-2,MJU66894810,동관,9.52x62.0,2.0,200.8215898,,,
AJR30102601-20-2,MJU66997105,동관,9.52x147.0,1.0,476.1415113,,,
