품번,상위,원소재,단가구분,치수Φ×L,소요,분류,썬텍불출
AJR30012008-20-1,AJR30012008-20-1,5210A23376A,3,9.52x69,2.0,사급(불출有),9건 -7060
AJR30012008-20-1,AJR30012008-20-1,EBD64386504,1,0.0x0,1.0,사급,-
AJR30012008-20-1,AJR30012008-20-1,EBF64570401,1,0.0x0,1.0,사급,-
AJR30012008-20-1,AJR30012008-20-1,MJU66773101,3,15.88x550,1.0,사급(불출有),5건 -181
AJR30012008-20-1,AJR30012008-20-1,RAC30599301-1,2,0.0x0,0.0048,구매,-
AJR30012009-20-1,AJR30012009-20-1,EBD64386504,1,0.0x0,1.0,사급,-
AJR30012009-20-1,AJR30012009-20-1,EBF40271407,1,0.0x0,1.0,사급,-
AJR30012009-20-1,AJR30012009-20-1,MJU65966706,3,19.05x365,1.0,사급(불출有),5건 -47
AJR30012009-20-1,AJR30012009-20-1,MJU65966716,3,19.05x276,1.0,사급(불출有),5건 -47
AJR30012009-20-1,AJR30012009-20-1,RAC30599301-1,2,0.0x0,0.0057,구매,-
AJR30012010-20-1,AJR30012010-20-1,EBD64386504,1,0.0x0,1.0,사급,-
AJR30012010-20-1,AJR30012010-20-1,EBF40271407,1,0.0x0,1.0,사급,-
AJR30012010-20-1,AJR30012010-20-1,MJU65966705,3,22.2x391,1.0,사급(불출有),3건 -75
AJR30012010-20-1,AJR30012010-20-1,RAC30599301-1,2,0.0x0,0.0024,구매,-
AJR30012011-20-1,AJR30012011-20-1,4A00114C,2,0.0x0,1.0,구매,-
AJR30012011-20-1,AJR30012011-20-1,EBD64386504,1,0.0x0,1.0,사급,-
AJR30012011-20-1,AJR30012011-20-1,EBF40271407,1,0.0x0,1.0,사급,-
AJR30012011-20-1,AJR30012011-20-1,MJU65966702,3,19.05x229,1.0,사급(불출有),4건 -98
AJR30012011-20-1,AJR30012011-20-1,MJU65966709,3,19.05x258,1.0,사급(불출有),4건 -98
AJR30012011-20-1,AJR30012011-20-1,MJU65966713,3,22.2x234,1.0,사급(불출有),4건 -98
AJR30012011-20-1,AJR30012011-20-1,RAC30599301-1,2,0.0x0,0.015,구매,-
AJR30037603-20-1,AJR30037603-20-1,5210A28001S,2,0.0x0,1.0,구매,-
AJR30037603-20-1,AJR30037603-20-1,MJU66821602,3,6.35x83,1.0,수불대상(불출無),없음
AJR30037603-20-1,AJR30037603-20-1,RAC30599301-1,2,0.0x0,0.0012,구매,-
AJR30037603-20-2,AJR30037603-20-2,MJU64433003,2,7.0x52,1.0,구매,-
AJR30037603-20-2,AJR30037603-20-2,MJU66821702,3,9.52x77,1.0,수불대상(불출無),없음
AJR30037603-20-2,AJR30037603-20-2,RAC30599301-1,2,0.0x0,0.0012,구매,-
AJR30037604-20-1,AJR30037604-20-1,5210A28001S,2,0.0x0,1.0,구매,-
AJR30037604-20-1,AJR30037604-20-1,MJU66822602,3,6.35x92,1.0,수불대상(불출無),없음
