품번,동관,metal,외경,협의두께,길이,소요,uw,현재사급가,재료비(인상후),사급/수불
MJU61986901,MJU61986901,CU,22.2,1.15,135.0,1.0,0.0918,20000,1836,수불대상(불출無)
MJU61987101,MJU61987101,CU,22.2,1.15,658.0,1.0,0.4474,20000,8947,수불대상(불출無)
MJU66479701,MJU66479701,CU,9.52,0.65,171.0,1.0,0.0277,20000,554,수불대상(불출無)
MJU66507045,MJU66507045,CU,9.52,0.65,414.0,1.0,0.067,20000,1341,수불대상(불출無)
MJU66507051,MJU66507051,CU,9.52,0.65,98.0,1.0,0.0159,20000,317,사급(불출有)
MJU66507052,MJU66507052,CU,9.52,0.65,366.0,1.0,0.0593,20000,1185,수불대상(불출無)
MJU66507053,MJU66507053,CU,9.52,0.65,655.0,1.0,0.1061,20000,2121,수불대상(불출無)
MJU66823202,MJU66823202,CU,6.35,0.65,126.0,1.0,0.0131,20000,262,수불대상(불출無)
MJU66823302,MJU66823302,CU,6.35,0.65,165.0,1.0,0.0172,20000,343,수불대상(불출無)
AJR30012008-20-1,5210A23376A,CU,9.52,0.65,69.0,2.0,0.0112,20000,447,사급(불출有)
AJR30012008-20-1,MJU66773101,CU,15.88,0.95,550.0,1.0,0.2191,20000,4382,사급(불출有)
AJR30012009-20-1,MJU65966706,CU,19.05,0.95,365.0,1.0,0.1763,20000,3525,사급(불출有)
AJR30012009-20-1,MJU65966716,CU,19.05,0.95,276.0,1.0,0.1333,20000,2666,사급(불출有)
AJR30012010-20-1,MJU65966705,CU,22.2,1.15,391.0,1.0,0.2658,20000,5317,사급(불출有)
AJR30012011-20-1,MJU65966702,CU,19.05,0.95,229.0,1.0,0.1106,20000,2212,사급(불출有)
AJR30012011-20-1,MJU65966709,CU,19.05,0.95,258.0,1.0,0.1246,20000,2492,사급(불출有)
AJR30012011-20-1,MJU65966713,CU,22.2,1.15,234.0,1.0,0.1591,20000,3182,사급(불출有)
AJR77188802-20-1,MJU66479901,CU,15.88,0.95,249.0,1.0,0.0992,20000,1984,수불대상(불출無)
