품번,종류,경로,원소재,외경,두께,길이,종전원소재비,현재사급가,soyo,종전재료비pu,현재재료비pu,검산오차%
AJR30004702-20-1,SUB,SUB전개,MJU00697402,15.88,0.75,1094.0,12818.0,22000,1.0,4469,7671,0.0
AJR30004702-20-1,SUB,SUB전개,MJU00697501,7.0,0.55,52.0,12848.0,22000,7.0,67,114,0.0
AJR30004702-20-1,SUB,SUB전개,MJU00697502,7.0,0.55,133.0,12848.0,22000,1.0,170,292,0.0
AJR30012008-20-1,SUB,교차,MJU66773001,9.52,0.65,396.0,,20000,1.0,,1282,0.0
AJR30012009-20-1,SUB,교차,MJU66773002,9.52,0.65,264.0,,20000,1.0,,855,0.0
AJR30012010-20-1,SUB,신규역산,MJU65966705,22.2,1.15,391.0,,20000,1.0,,5317,
AJR30012011-20-1,SUB,신규역산,MJU65966702,19.05,0.95,229.0,,20000,1.0,,2212,
AJR30012011-20-1,SUB,신규역산,MJU65966709,19.05,0.95,258.0,,20000,1.0,,2492,
AJR30012011-20-1,SUB,신규역산,MJU65966713,22.2,1.15,234.0,,20000,1.0,,3182,
AJR30037603-20-1,SUB,신규역산,MJU66821602,6.35,0.65,83.0,,20000,1.0,,173,
AJR30037603-20-2,SUB,신규역산,MJU64433003,7.0,0.65,52.5,,20000,1.0,,122,
AJR30037603-20-2,SUB,신규역산,MJU66821702,9.52,0.65,77.0,,20000,1.0,,249,
AJR30037604-20-1,SUB,SUB전개,MJU66823302,6.35,0.65,161.0,7671.0,20000,1.0,129,335,0.0
AJR30037604-20-1,SUB,SUB전개,MJU66823202,6.35,0.65,123.0,7671.0,20000,1.0,98,256,0.0
AJR30037604-20-1,SUB,SUB전개,MJU66822602,6.35,0.65,91.0,7671.0,20000,1.0,73,189,0.0
AJR30037604-20-1,SUB,SUB전개,MJU66821702,6.35,0.65,76.0,7671.0,20000,1.0,61,158,0.0
AJR30037604-20-2,SUB,SUB전개,MJU66823302,6.35,0.65,161.0,7671.0,20000,1.0,129,335,0.0
AJR30037604-20-2,SUB,SUB전개,MJU66823202,6.35,0.65,123.0,7671.0,20000,1.0,98,256,0.0
AJR30037604-20-2,SUB,SUB전개,MJU66822602,6.35,0.65,91.0,7671.0,20000,1.0,73,189,0.0
AJR30037604-20-2,SUB,SUB전개,MJU66821702,6.35,0.65,76.0,7671.0,20000,1.0,61,158,0.0
AJR30077901-20-1,ASSY,교차,MJU66929504,6.35,0.55,185.0,,22000,1.0,,365,0.0
AJR30101601-20-1,SUB,SUB전개,MJU62911511,15.88,0.75,1186.0,22000.0,22000,1.0,8316,8316,0.0
AJR30101601-20-1,SUB,SUB전개,MJU00697501,7.0,0.55,52.0,22000.0,22000,8.0,114,114,0.0
AJR30101601-20-1,SUB,SUB전개,MJU00697502,7.0,0.55,133.0,22000.0,22000,1.0,292,292,0.0
AJR30102601-20-1,SUB,SUB전개,MJU66894810,9.52,0.65,62.0,20000.0,20000,2.0,201,201,0.0
