부모ASSY,부모유형,부모품명,자식ASSY(완제품),자식품명,소요량
5162A20011C,완제품,"Socket,Flare",5162A20010B,"Socket,Flare",1.0
5162A20011G,완제품,"Socket,Flare",5162A20010E,"Socket,Flare",1.0
5162A20011N,완제품,"Socket,Flare",5162A20010G,"Socket, Flare",1.0
5211A11602B,완제품,"Tube Assembly,Reverse",4848A20011A,Accumulator Assembly,1.0
가버너(베타모델),서브ASSY,GHP 제로가버너,AJU74073201,Valve Assembly,1.0
가버너(알파모델),서브ASSY,GHP 제로가버너,AJU74073201,Valve Assembly,1.0
AAA31179501,완제품,이지링크 1/4(Ø6.35),ACJ75119301,Connector Assembly,2.0
AAA31179502,완제품,이지링크 3/8(Ø9.52),ACJ75119302,Connector Assembly,2.0
AAA31179504,완제품,이지링크 5/8(Ø15.88),ACJ75119305,Connector Assembly,2.0
ADM72950701,완제품,판형 Assembly,AJR73664801,ADM75404602 내재화 SUB ASSY,1.0
ADM72950701,완제품,판형 Assembly,AJR73664901,ADM75404602 내재화 SUB ASSY,1.0
ADM72950701,완제품,판형 Assembly,AJR73665001,ADM75404602 내재화 SUB,1.0
ADM72950701,완제품,판형 Assembly,AJR73665101,ADM75404602 내재화 SUB ASSY,1.0
ADM72950701,완제품,판형 Assembly,AJR73665201,ADM75404602 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR73724004,ADM75404604 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR73724103,ADM75404604 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR76563201,ADM75404604 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR76563301,ADM75404604 내재화 SUB ASSY,1.0
ADM73210506,완제품,판형 Assembly(알파라발),AJR76462607,ADM73210506 SUB(대원직납),1.0
ADM73210506,완제품,판형 Assembly(알파라발),AJR76462608,ADM73210506 SUB(대원직납),1.0
ADM73210511,완제품,판형 Assembly(알파라발),AJR76462903,판형 수배관 SUB,1.0
ADM73210512,완제품,Exchanger Assembly,ADM73210510,Exchanger Assembly,1.0
ADM73210512,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462631,판형 SUB,1.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462736,판형 SUB,1.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462903,판형 수배관 SUB,1.0
ADM73210516,완제품,Exchanger Assembly,ADM73210510,Exchanger Assembly,1.0
ADM73210516,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0
