품번,품명,make_type,구성품수,사용상위제품수(공용도),대표상위LG제품,상위최근출고,판정(독립ASSY/SUB)
4848A20007P,Accumulator,3,1,34,AJR65507705,1083.0,
5210A13011G,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A13011H,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A13011J,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A13011K,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A22271A,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271B,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271C,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271D,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271E,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22526A,"Tube,Capillary Bending",2,1,2,5211A11023C,8.0,
5210A23936A,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936B,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936C,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936D,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936E,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936F,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936G,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936H,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936J,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A30994B,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30994C,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30994D,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30994H,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30994J,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30994K,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30998B,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30998C,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30998F,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30998G,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210AP3851A,"TUBE, MANIFOLD",1,1,1,5211AP3868A,5.0,
5211A22074A,"Tube, Assembly, Connector",1,3,33,AJR73767318,16.0,
5211A23363A,SUB ASSY,1,6,1,5211A23366A,15.0,
5998A20002Q,"Separator, Oil",3,1,1,AHQ73469301,6396.0,
5998A20004A,"Separator,Oil",3,1,1,AJR73026401,3.0,
AAA36923606,Accessory Assembly,2,4,15,PQ061503K03.AKOR,50.0,
AAA36923607,Accessory Assembly,2,3,9,PQ060903E52.AKOR,835.0,
AAA36923608,Accessory Assembly,3,5,15,PQ061508C11.AKOR,23507.0,
AAA36923611,Accessory Assembly,3,5,12,PQ060905K02.AKOR,2975.0,
AAA68954002,Accessory Assembly,3,5,12,PQ060907A11.AKOR,1480.0,
AAA71799405,"Accessory Assembly,Outdoor",1,3,1,PVT-R780.AKM,219.0,
AAB35754002,Accumulator,3,7,20,AGF30058403,10.0,
AET73671514,"Install Part Assembly, Set",1,20,1,PQ061503K03.AKOR,50.0,
AET73671516,"Install Part Assembly, Set",1,19,1,PQ060903E52.AKOR,835.0,
AET73671517,"Install Part Assembly, Set",1,20,1,PQ061503K11.AKOR,15130.0,
AET73671519,"Install Part Assembly, Set",1,21,1,PQ060903E11.AKOR,1350.0,
AET73671520,Install Part Assembly,1,20,1,PQ061203K11.AKOR,77759.0,
AET73671521,"Install Part Assembly,Set",1,22,1,PW061203K11.AKOR,140.0,
AET73671526,"Install Part Assembly,Set",1,19,1,PQ060903E30.AKOR,63219.0,
AET73831438,Install Part Assembly Set,1,18,1,PQ061508C11.AKOR,23507.0,
AET73831439,"Install Part Assembly, Set",1,17,1,PQ061208C11.AKOR,63824.0,
