ASSY품번(서브분류됨),품명,상위LG제품,상위LG매출수량(25/01~),상위최근출고
4848A20007P,Accumulator,AJR65507705,1083.0,260522
5210A13011G,"Tube,Connector",5211A19008C,15.0,250620
5210A13011H,"Tube,Connector",5211A19008C,15.0,250620
5210A13011J,"Tube,Connector",5211A19008C,15.0,250620
5210A13011K,"Tube,Connector",5211A19008C,15.0,250620
5210A22271A,"Tube,Capillary Bending",5211A20466D,55.0,250709
5210A22271B,"Tube,Capillary Bending",5211A20466D,55.0,250709
5210A22271C,"Tube,Capillary Bending",5211A20466D,55.0,250709
5210A22271D,"Tube,Capillary Bending",5211A20466D,55.0,250709
5210A22271E,"Tube,Capillary Bending",5211A20466D,55.0,250709
5210A22526A,"Tube,Capillary Bending",5211A11023C,8.0,250212
5210A23936A,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936B,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936C,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936D,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936E,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936F,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936G,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936H,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A23936J,"Tube, Capillary Bending",5211A10549A,5.0,250212
5210A30994B,"Tube,Connector",5211A10305E,110.0,260710
5210A30994C,"Tube,Connector",5211A10305E,110.0,260710
5210A30994D,"Tube,Connector",5211A10305E,110.0,260710
5210A30994H,"TUBE, CONNECTOR",5211A10305J,300.0,260515
5210A30994J,"TUBE, CONNECTOR",5211A10305J,300.0,260515
5210A30994K,"TUBE, CONNECTOR",5211A10305J,300.0,260515
5210A30998B,"Tube,Connector",5211A10305E,110.0,260710
5210A30998C,"Tube,Connector",5211A10305E,110.0,260710
5210A30998F,"TUBE, CONNECTOR",5211A10305J,300.0,260515
5210A30998G,"TUBE, CONNECTOR",5211A10305J,300.0,260515
5210AP3851A,"TUBE, MANIFOLD",5211AP3868A,5.0,250725
5211A22074A,"Tube, Assembly, Connector",AJR73767318,16.0,251028
5211A23363A,SUB ASSY,5211A23366A,15.0,250522
5998A20002Q,"Separator, Oil",AHQ73469301,6396.0,260810
5998A20004A,"Separator,Oil",AJR73026401,3.0,250922
AAA36923606,Accessory Assembly,PQ061503K03.AKOR,50.0,250905
AAA36923607,Accessory Assembly,PQ060903E52.AKOR,835.0,260630
AAA36923608,Accessory Assembly,PQ061508C11.AKOR,23507.0,260519
AAA36923611,Accessory Assembly,PQ060905K02.AKOR,2975.0,260122
AAA68954002,Accessory Assembly,PQ060907A11.AKOR,1480.0,260508
AAA71799405,"Accessory Assembly,Outdoor",PVT-R780.AKM,219.0,251110
AAB35754002,Accumulator,AGF30058403,10.0,250613
AET73671514,"Install Part Assembly, Set",PQ061503K03.AKOR,50.0,250905
AET73671516,"Install Part Assembly, Set",PQ060903E52.AKOR,835.0,260630
AET73671517,"Install Part Assembly, Set",PQ061503K11.AKOR,15130.0,260730
AET73671519,"Install Part Assembly, Set",PQ060903E11.AKOR,1350.0,260508
AET73671520,Install Part Assembly,PQ061203K11.AKOR,77759.0,260813
AET73671521,"Install Part Assembly,Set",PW061203K11.AKOR,140.0,260601
AET73671526,"Install Part Assembly,Set",PQ060903E30.AKOR,63219.0,260724
AET73831438,Install Part Assembly Set,PQ061508C11.AKOR,23507.0,260519
AET73831439,"Install Part Assembly, Set",PQ061208C11.AKOR,63824.0,260813
AET73831442,"Install Part Assembly, Set",PQ060907A11.AKOR,1480.0,260508
AET73831456,"Install Part Assembly,Set",PQ060905K02.AKOR,2975.0,260122
AET73831467,"Install Part Assembly, Set",PQ060907A15.AKOR,25.0,250827
AET73831469,"Install Part Assembly,Set",PQ060905R01.AKOR,157084.0,260813
AET73831473,"Install Part Assembly,Set",PW060905R01.AKOR,6565.0,260813
AET73831475,"Install Part Assembly,Set",PQ060907A30.AKOR,22254.0,260521
AET73831478,"Install Part Assembly, Set",PQ061208C41.AKOR,103010.0,260814
AET73831479,"Install Part Assembly, Set",PQ061508C41.AKOR,6315.0,260630
