LG코드,역할,마스터,우리후보,분류,품명,예시도번,사용중도번수
1NZZA30005D,체결부자재,Y,,갭_담당판단,"Nut, Flare",AJR74942724,2
3850A27318P,포장재,Y,,갭_담당판단,"Label,Caution",AET73831456,1
49112006,용접봉,Y,,갭_담당판단,"Solder, Soldering",AJR73182701,1
49113007,용접봉,Y,,갭_담당판단,Solder,4849A10047A,70
4A01383A,포장재,Y,,갭_담당판단,"Label,Sticker",AET73671514,5
4H03038A,포장재,Y,,갭_담당판단,Label,AJJ75178301,6
4H03038B,포장재,Y,,갭_담당판단,Label,AJJ75178301,4
5006AR4362B,완성부품,고아,,갭_담당판단,,AJJ74578331,4
5210A22986C,제작동관,고아,,갭_담당판단,,5998A20004A,1
5210A22986E,제작동관,Y,,갭_담당판단,Muffler,5998A20004A,1
5210A90752E,원소재,Y,,갭_담당판단,"Tube,Raw",5210A23344B,3
5210A90752F,원소재,고아,,갭_담당판단,,5210A23344C,2
5210A90752G,원소재,고아,,갭_담당판단,,5210A23344N,6
6141A20029C,전장부품,Y,,갭_담당판단,Solenoid,6877A20052V,3
6141A90002P,전장부품,Y,,갭_담당판단,Solenoid,AJR30123001,23
6141A90002T,전장부품,고아,,갭_담당판단,,6141A20050Y,4
6141A90004B,전장부품,Y,,갭_담당판단,Solenoid,6141A20010U,19
6141A90005D,판재강판,고아,,갭_담당판단,,AJJ75178301,6
7072A90001B,원소재,Y,,갭_담당판단,"TUBE,RAW(4*0.6)",AJR72367603,8
7227AP90009,매입기타,고아,,갭_담당판단,,4908AR1016T,18
7250AR7123L,완성부품,Y,,갭_담당판단,Butyl,AJR74984403,1
9BF0421C001,판재강판,Y,,갭_담당판단,"Coil,Steel",AJR30019801,13
9BF1219S004,판재강판,Y,,갭_담당판단,"Sheet,Steel",AJR30123001,3
9BF1219S005,판재강판,고아,,갭_담당판단,,AJR30071101,13
9BF1219S014,판재강판,Y,,갭_담당판단,"Sheet,Steel",AJJ73799911,7
9DC0050C001,판재강판,Y,,갭_담당판단,"Coil,Steel",4930A20053B,103
9PHK5210502,,고아,,갭_담당판단,,5210A22409B,75
ABA37111701,반제품,Y,,갭_담당판단,Bracket,AAB37023602,2
ACJ75119303,매입동관,Y,,갭_담당판단,Connector Assembly,AAA31179503,1
ADM74790606,완성부품,Y,,갭_담당판단,Exchanger Assembly,ADM74790607,1
AGF30428801,반제품,고아,,갭_담당판단,,AGF30430301,1
AGF30428802,반제품,고아,,갭_담당판단,,AGF30430302,1
AGF30428803,반제품,고아,,갭_담당판단,,AGF30430303,1
AJJ73040841,완성부품,고아,,갭_담당판단,,AJR76523005,2
AJJ74199008,반제품,Y,,갭_담당판단,Supporter Assembly,AJJ75639409,1
AJJ75698802,반제품,Y,,갭_담당판단,Supporter Assembly,AJJ75698803,1
AJJ76595404,반제품,고아,,갭_담당판단,,AJJ76595403,1
AJR30059704,반제품,Y,,갭_담당판단,"Tube Assembly, Exp",AJJ76595403,1
AJR30083901,반제품,Y,,갭_담당판단,Tube Assembly,AJR76502610,2
AJR75744115,반제품,Y,,갭_담당판단,대원 SUB,AJJ75358416,1
AJR75744137,반제품,Y,,갭_담당판단,"Tube Assembly,Suct",AJJ75358440,1
AJR76462723,반제품,Y,,갭_담당판단,Tube Assembly,ADM73210515,3
AJR77188701,반제품,Y,,갭_담당판단,"Tube Assembly, Sol",AJR77224501,8
AJR77223005,반제품,Y,,갭_담당판단,"Tube Assembly,Reve",AJR77222905,1
AJU32452010,완성부품,고아,,갭_담당판단,,AJR30029901,7
EAP63107118,판재강판,Y,,갭_담당판단,COIL,AJJ75358426,1
EAP63107119,판재강판,Y,,갭_담당판단,COIL,AJJ75358426,1
EAP65270718,판재강판,고아,,갭_담당판단,,AJR30071101,6
EBD60663823,전장부품,Y,,갭_담당판단,"Sensor,Pressure",AJR73767304,20
EBD62165601,전장부품,Y,,갭_담당판단,"Sensor,Pressure",AJR73767818,10
