품번,DB판가,엑셀판가,DB재료비,엑셀재료비,판가,분류
AJR30029802,2876,2876,2645,2205,,확인필요
AJR30078601-12-1,8212,8212|8212,6678,7225|7225,,엑셀다중버전
AJR30078601-12-2,2341,2341|2341,1932,2010|2010,,엑셀다중버전
AJR30089604-1-1,1070,1070,836,421,,확인필요
AJR30089604-1-2,792,792,597,421,,확인필요
AJR30089604-1-3,820,820,622,421,,확인필요
AJR30089621-1-1,1270,1270,1023,421,,확인필요
AJR30089621-1-2,877,877,676,421,,확인필요
AJR30089621-1-3,917,917,713,421,,확인필요
AJR30123401,6721,6721,4843,5822,,확인필요
AJR33796513-19-1,5828,5828,4150,4613,,확인필요
AJR34739818,4926,4702|4926,3493,4036|3678,,엑셀다중버전
AJR52676202-16-1,3387,3387,1770,2131,,확인필요
AJR72939602-4-1,1983,1983,1077,1423,,확인필요
AJR72939602-4-2,1169,1169,653,760,,확인필요
AJR72982301,22703,22703,15241,17980,,확인필요
AJR73324501,7376,4212|7376,5369,3554|5948,,엑셀다중버전
AJR73324503,6324,6324,4570,5397,,확인필요
AJR73342801,5980,3028|5980,4304,2482|4768,,엑셀다중버전
AJR73342803,4206,4206|7883,3097,3428|7412,,엑셀다중버전
AJR73364601,2416,2416|2095,1991,2036|1492,,엑셀다중버전
AJR73965601-19-10,1727,1727,471,1421,,확인필요
AJR73965601-19-11,1042,1042,400,850,,확인필요
AJR73965601-19-12,1134,1134,400,930,,확인필요
AJR73965601-19-9,1554,1554,400,1350,,확인필요
AJR73965602-19-1,1272,1272,400,1080,,확인필요
AJR73965602-19-10,1726,1726,471,1421,,확인필요
AJR73965602-19-11,1042,1042,400,850,,확인필요
AJR73965602-19-12,1142,1142,400,930,,확인필요
AJR73965602-19-2,1272,1272,400,1080,,확인필요
AJR73965602-19-3,1284,1284,400,1080,,확인필요
AJR73965602-19-4,1304,1304,400,1100,,확인필요
AJR73965602-19-5,1304,1304,400,1100,,확인필요
AJR73965602-19-6,1304,1304,400,1100,,확인필요
AJR73965602-19-7,1464,1464,400,1260,,확인필요
AJR73965602-19-8,1464,1464,400,1260,,확인필요
AJR73965602-19-9,1554,1554,400,1350,,확인필요
AJR74263316,2720,2720,3287,1882,,확인필요
AJR74364921,21684,21684,16799,18100,,확인필요
AJR74444508,5566,5928|5566,3947,4531|4100,,엑셀다중버전
AJR74524701,937,937,224,302,,확인필요
AJR74862701,2280,2280,1097,1531,,확인필요
AJR74985503,1638,1638|526,1016,1288|414,,엑셀다중버전
AJR74985504,526,526,240,414,,확인필요
AJR75483701,3360,3360,2317,3888,,확인필요
AJR75662332 고강도 변경,2024,2024,240,1649,,확인필요
AJR75662337 고강도 변경,3536,3536,850,2772,,확인필요
AJR75743209,2418,2418,1493,1680,,확인필요
AJR76322601-12-1,2319,2319,1816,1968,,확인필요
AJR76522501,4542,4542|4584,3318,3427|3351,,엑셀다중버전
AJR76562802-12-1,6257,6257,4901,5229,,확인필요
AJR76562802-12-2,1791,1791,1409,1464,,확인필요
AJR76562804-20-1,12089,12089,9331,10321,,확인필요
AJR76562804-20-2,5195,5195,4047,4330,,확인필요
AJR77142503-19-1,795,795,398,558,,확인필요
AJR77142503-19-2,635,635,185,435,,확인필요
AJR77182801,13064,13064,8937,10589,,확인필요
AJR77182901,12717,12717,8350,10132,,확인필요
AJR77224502-1-2,2609,2609,30,2247,,확인필요
AJR77225303,3067,3067,2010,4035,,확인필요
MJU65666836+39,4469,4469,6838,3486,,확인필요
