품번,견적서_관경,수불_관경,수불에만(오류후보),견적서에만,업체명
4H00901F,Φ6.3x0.65,Φ6.3x0.65/Φ6.3x0.7/Φ7.0x0.65,Φ6.3x0.7/Φ7.0x0.65,,"대원산업,이젠터"
5210A22520B,Φ6.3x0.9,Φ6.3x0.65/Φ6.3x0.9,Φ6.3x0.65,,"MTS,이젠터,중앙정밀,케이비"
5210A22770A,Φ6.3x0.9,Φ6.3x0.65,Φ6.3x0.65,Φ6.3x0.9,중앙정밀
5210A29901C,Φ4.8x0.7,Φ4.8x0.65,Φ4.8x0.65,Φ4.8x0.7,중앙정밀
5210A30340A,Φ7.9x0.65,Φ9.5x0.65,Φ9.5x0.65,Φ7.9x0.65,이젠터
5211AP4052B,Φ7.9x0.65,Φ7.0x0.65,Φ7.0x0.65,Φ7.9x0.65,이젠터
MJU00702203,Φ9.5x0.65,Φ15.9x0.95,Φ15.9x0.95,Φ9.5x0.65,케이비
MJU00702204,Φ15.9x0.95,Φ9.5x0.65,Φ9.5x0.65,Φ15.9x0.95,케이비
MJU00702206,Φ9.5x0.65,Φ15.9x0.95,Φ15.9x0.95,Φ9.5x0.65,케이비
MJU00702207,Φ15.9x0.95,Φ9.5x0.65,Φ9.5x0.65,Φ15.9x0.95,케이비
MJU00702208,Φ9.5x0.65,Φ15.9x0.95,Φ15.9x0.95,Φ9.5x0.65,케이비
MJU00702209,Φ15.9x0.95,Φ7.0x0.65,Φ7.0x0.65,Φ15.9x0.95,케이비
MJU41254401,Φ7.0x0.65,Φ6.3x0.65/Φ7.0x0.65,Φ6.3x0.65,,"미래정밀,중앙정밀"
MJU41254402,Φ7.0x0.65,Φ6.3x0.65/Φ7.0x0.65,Φ6.3x0.65,,"미래정밀,중앙정밀"
MJU41254403,Φ7.0x0.65,Φ6.3x0.65/Φ7.0x0.65,Φ6.3x0.65,,"미래정밀,중앙정밀"
MJU41254404,Φ7.0x0.65,Φ6.3x0.65/Φ7.0x0.65,Φ6.3x0.65,,"미래정밀,중앙정밀"
MJU42911802,Φ9.5x1.45,Φ9.5x1.45/Φ19.1x0.95,Φ19.1x0.95,,"MTS,케이비"
MJU62078701,Φ4.8x0.65/Φ4.8x0.7,Φ4.8x0.65,,Φ4.8x0.7,"명진산업,중앙정밀"
MJU62078801,Φ4.8x0.7,Φ4.8x0.65,Φ4.8x0.65,Φ4.8x0.7,중앙정밀
MJU62079001,Φ9.5x0.65,Φ6.3x0.65,Φ6.3x0.65,Φ9.5x0.65,중앙정밀
MJU62098801,Φ9.5x0.65,Φ7.9x0.65,Φ7.9x0.65,Φ9.5x0.65,중앙정밀
MJU62287008,Φ15.9x0.95,Φ15.8x0.95/Φ15.9x0.95,Φ15.8x0.95,,케이비
MJU62491908,Φ6.3x0.7,Φ6.3x0.65,Φ6.3x0.65,Φ6.3x0.7,대원산업
MJU62792304,Φ15.9x0.95,Φ15.9x0.95/Φ15.9x0.98,Φ15.9x0.98,,케이비
MJU62843803,Φ12.7x0.75,Φ9.5x0.65,Φ9.5x0.65,Φ12.7x0.75,미래정밀
MJU62968801,Φ4.0x0.6,Φ4.0x0.65,Φ4.0x0.65,Φ4.0x0.6,미래정밀
MJU62987402,Φ6.3x0.9,Φ6.3x0.65/Φ6.3x0.9,Φ6.3x0.65,,"중앙정밀,케이비"
MJU62993705,Φ7.0x0.65/Φ7.0x0.7,Φ7.0x0.65,,Φ7.0x0.7,"미래정밀,이젠터"
MJU62993710,Φ7.0x0.65/Φ7.0x0.7,Φ7.0x0.65,,Φ7.0x0.7,"미래정밀,이젠터"
MJU62993711,Φ7.0x0.65/Φ7.0x0.7,Φ7.0x0.65,,Φ7.0x0.7,"미래정밀,이젠터"
MJU63010008,Φ7.0x0.7,Φ7.0x0.65,Φ7.0x0.65,Φ7.0x0.7,이젠터
MJU63010009,Φ7.0x0.7,Φ7.0x0.65,Φ7.0x0.65,Φ7.0x0.7,이젠터
MJU63073606,Φ9.5x0.65,Φ7.9x0.65/Φ9.5x0.65,Φ7.9x0.65,,"대원산업,중앙정밀"
MJU63406929,Φ6.3x0.65,Φ7.9x0.65,Φ7.9x0.65,Φ6.3x0.65,케이비
MJU63406931,Φ12.7x0.75,Φ9.5x0.65,Φ9.5x0.65,Φ12.7x0.75,중앙정밀
MJU63406932,Φ9.5x0.65,Φ12.7x0.75,Φ12.7x0.75,Φ9.5x0.65,중앙정밀
MJU63494302,Φ15.9x0.95,Φ12.7x0.75,Φ12.7x0.75,Φ15.9x0.95,미래정밀
MJU63548430,Φ4.8x0.55/Φ4.8x0.65,Φ4.8x0.55,,Φ4.8x0.65,케이비
MJU63548431,Φ4.8x0.55/Φ4.8x0.65,Φ4.8x0.55,,Φ4.8x0.65,케이비
MJU63548432,Φ4.8x0.55/Φ4.8x0.65,Φ4.8x0.55,,Φ4.8x0.65,케이비
MJU63669511,Φ9.5x0.65,Φ9.5x0.55/Φ9.5x0.65,Φ9.5x0.55,,중앙정밀
MJU63669606,Φ9.5x0.65,Φ9.5x0.55/Φ9.5x0.65,Φ9.5x0.55,,중앙정밀
MJU63687708,Φ9.5x0.65,Φ9.5x0.55/Φ9.5x0.65,Φ9.5x0.55,,중앙정밀
MJU63706901,Φ15.9x0.95/Φ19.1x0.95,Φ15.9x0.95,,Φ19.1x0.95,미래정밀
MJU63788201,Φ6.3x0.65,Φ6.3x0.65/Φ6.3x0.9,Φ6.3x0.9,,"대원산업,중앙정밀"
MJU63927401,Φ6.3x0.65,Φ6.3x0.65/Φ6.3x0.9,Φ6.3x0.9,,"대원산업,중앙정밀"
MJU64186601,Φ6.3x0.65,Φ6.3x0.55/Φ6.3x0.65,Φ6.3x0.55,,이젠터
MJU64186621,Φ6.3x0.65,Φ6.3x0.55/Φ6.3x0.65,Φ6.3x0.55,,이젠터
MJU64189404,Φ12.7x0.75,Φ12.7x0.6/Φ12.7x0.75,Φ12.7x0.6,,이젠터
MJU64370101,Φ6.3x0.7,Φ6.3x0.65,Φ6.3x0.65,Φ6.3x0.7,미래정밀
MJU64408006,Φ7.9x0.65,Φ7.9x0.65/Φ12.7x0.75,Φ12.7x0.75,,"미래정밀,중앙정밀"
MJU64431914,Φ4.8x0.65,Φ4.8x0.65/Φ4.8x0.7,Φ4.8x0.7,,"대원산업,케이비"
MJU64431915,Φ4.8x0.65,Φ4.8x0.65/Φ4.8x0.7,Φ4.8x0.7,,"대원산업,케이비"
MJU64431916,Φ4.8x0.65,Φ4.8x0.65/Φ4.8x0.7,Φ4.8x0.7,,"대원산업,케이비"
MJU64707506,Φ6.3x0.65,Φ9.5x0.65,Φ9.5x0.65,Φ6.3x0.65,미래정밀
MJU64711801,Φ12.7x0.75,Φ9.5x0.65,Φ9.5x0.65,Φ12.7x0.75,미래정밀
MJU64773404,Φ7.0x0.65,Φ7.0x0.65/Φ12.7x0.75,Φ12.7x0.75,,이젠터
MJU64794201,Φ6.3x0.65,Φ6.3x0.65/Φ9.5x0.65,Φ9.5x0.65,,"명진산업,미래정밀,이젠터"
MJU64794202,Φ6.3x0.65,Φ6.3x0.65/Φ9.5x0.65,Φ9.5x0.65,,"명진산업,미래정밀,이젠터"
MJU64856606,Φ6.3x0.65,Φ6.3x0.65/Φ12.7x0.75,Φ12.7x0.75,,"미래정밀,이젠터,케이비"
