거래처,품번,사유,BOM대상자식수,버전별(판가/행/매칭/충돌)
대원산업,AJR74523006-12-1,완전커버버전없음,6,"판가18547(행1622,매칭4/6,충돌1) | 판가18452(행1650,매칭4/6,충돌1)"
대원산업,AJR75563502-12-1,완전커버버전없음,7,"판가3231(행340,매칭5/7,충돌0) | 판가4222(행355,매칭6/7,충돌0)"
대원산업,AJR76362801,완전커버버전없음,4,"판가6606(행1639,매칭2/4,충돌1) | 판가6642(행1667,매칭3/4,충돌1)"
대원산업,AJR76823801,완전커버버전없음,5,"판가8962(행229,매칭3/5,충돌1) | 판가10216(행397,매칭3/5,충돌1) | 판가10250(행653,매칭3/5,충돌1)"
대원산업,AJR76823803,완전커버버전없음,5,"판가8090(행241,매칭3/5,충돌1) | 판가9160(행409,매칭3/5,충돌1) | 판가9210(행665,매칭3/5,충돌1)"
대원산업,MJU66166608,완전커버버전없음,3,"판가1612(행204,매칭0/3,충돌1) | 판가1744(행452,매칭0/3,충돌1)"
대원산업,MJU66166611,완전커버버전없음,4,"판가11364(행211,매칭0/4,충돌2) | 판가13382(행416,매칭0/4,충돌2)"
대원산업,MJU66166620,완전커버버전없음,3,"판가6296(행217,매칭0/3,충돌1) | 판가6390(행458,매칭0/3,충돌1)"
미래정밀,AJR30008201,완전커버버전없음,4,"판가4444(행1225,매칭2/4,충돌1) | 판가4439(행1435,매칭2/4,충돌1)"
미래정밀,AJR30008202,완전커버버전없음,8,"판가4916(행1315,매칭5/8,충돌2) | 판가4883(행1448,매칭6/8,충돌2)"
미래정밀,AJR36852202-4-1,완전커버버전없음,6,"판가2193(행1785,매칭0/6,충돌2) | 판가2665(행1798,매칭4/6,충돌2)"
미래정밀,AJR65507733,완전커버버전없음,7,"판가13981(행1147,매칭0/7,충돌4) | 판가2485(행1400,매칭0/7,충돌0) | 판가2113(행1416,매칭0/7,충돌0)"
미래정밀,AJR73342803,완전커버버전없음,4,"판가4206(행904,매칭3/4,충돌1) | 판가7883(행2768,매칭1/4,충돌0)"
미래정밀,AJR73364601,완전커버버전없음,3,"판가2416(행917,매칭1/3,충돌1) | 판가2095(행1092,매칭2/3,충돌0)"
미래정밀,AJR74522901-4-1,완전커버버전없음,3,"판가2258(행804,매칭1/3,충돌0) | 판가2254(행1098,매칭0/3,충돌1)"
미래정밀,AJR75544203,완전커버버전없음,18,"판가849(행330,매칭0/18,충돌0) | 판가832(행364,매칭0/18,충돌0)"
미래정밀,AJR75782901,완전커버버전없음,7,"판가1462(행356,매칭3/7,충돌0) | 판가2091(행567,매칭3/7,충돌4)"
미래정밀,AJR76522501,완전커버버전없음,8,"판가4542(행1039,매칭4/8,충돌3) | 판가4584(행1462,매칭4/8,충돌4)"
미래정밀,AJR77224501-4-1,완전커버복수,2,"판가1987(행1230,매칭2/2,충돌0) | 판가1948(행1380,매칭2/2,충돌0) | 판가2149(행1469,매칭2/2,충돌0)"
미래정밀,AJR77263009-4-2,완전커버버전없음,2,"판가1027(행2598,매칭1/2,충돌1) | 판가1031(행2607,매칭1/2,충돌1)"
중앙정밀,AJR30228805,BOM없음,0,"판가148(행883,매칭0/0,충돌0) | 판가2512(행913,매칭0/0,충돌0)"
중앙정밀,AJR74984303-1-1,BOM없음,0,"판가11907(행1081,매칭0/0,충돌0) | 판가492(행1152,매칭0/0,충돌0)"
중앙정밀,AJR74984305-1-1,완전커버버전없음,9,"판가13598(행1108,매칭6/9,충돌3) | 판가492(행1156,매칭1/9,충돌1)"
중앙정밀,AJR74985503,BOM없음,0,"판가1638(행791,매칭0/0,충돌0) | 판가526(행873,매칭0/0,충돌0)"
중앙정밀,AJR75744106-1-1,BOM없음,0,"판가6213(행1133,매칭0/0,충돌0) | 판가6263(행1297,매칭0/0,충돌0)"
중앙정밀,AJR77224502-1-1,완전커버버전없음,3,"판가3013(행1629,매칭2/3,충돌1) | 판가2583(행1767,매칭1/3,충돌1)"
중앙정밀,AJR77224505-1-1,완전커버버전없음,3,"판가3188(행1742,매칭2/3,충돌1) | 판가2758(행1762,매칭1/3,충돌1)"
케이비,AJR74803521-16-1,완전커버버전없음,5,"판가2846(행1003,매칭4/5,충돌0) | 판가3089(행1014,매칭4/5,충돌0)"
케이비,AJR75242814-16-1,완전커버버전없음,5,"판가2136(행574,매칭4/5,충돌1) | 판가2397(행593,매칭4/5,충돌1)"
