거래처,품번,버전#,버전수,판가,재료비,엑셀행,주석
대원산업,AJR30027701-12-1,1,2,7154,6356,999,
대원산업,AJR30027701-12-1,2,2,7447,6197,1350,
대원산업,AJR30027701-12-3,1,2,5868,5070,1009,
대원산업,AJR30027701-12-3,2,2,5908,4815,1357,
대원산업,AJR30027705-12-1,1,2,7197,6399,1004,
대원산업,AJR30027705-12-1,2,2,7350,6095,1364,
대원산업,AJR74523006-12-1,1,2,18547,17664,1622,
대원산업,AJR74523006-12-1,2,2,18452,17644,1650,
대원산업,AJR75544505-12-1,1,2,5142,4615,189,
대원산업,AJR75544505-12-1,2,2,5561,4860,475,
대원산업,AJR75563502-12-1,1,2,3231,2427,340,
대원산업,AJR75563502-12-1,2,2,4222,2574,355,추가
대원산업,AJR76362801,1,2,6606,5759,1639,
대원산업,AJR76362801,2,2,6642,5759,1667,
대원산업,AJR76823801,1,3,8962,7882,229,절연테이프
대원산업,AJR76823801,2,3,10216,8899,397,절연테이프
대원산업,AJR76823801,3,3,10250,8899,653,시방 / 절연테이프
대원산업,AJR76823803,1,3,8090,7082,241,절연테이프
대원산업,AJR76823803,2,3,9160,7931,409,절연테이프
대원산업,AJR76823803,3,3,9210,7931,665,시방 / 절연테이프
대원산업,AJR77224501-12-1,1,2,1559,1218,385,
대원산업,AJR77224501-12-1,2,2,15091,14578,1374,
대원산업,MJU66166608,1,2,1612,1372,204,
대원산업,MJU66166608,2,2,1744,1383,452,
대원산업,MJU66166611,1,2,11364,10284,211,절연테이프
대원산업,MJU66166611,2,2,13382,11995,416,절연테이프
대원산업,MJU66166620,1,2,6296,5744,217,
대원산업,MJU66166620,2,2,6390,5755,458,
미래정밀,AJR30008201,1,2,4444,3640,1225,12.7로 견적넣음
미래정밀,AJR30008201,2,2,4439,3586,1435,9월부터 시방 삭제
미래정밀,AJR30008202,1,2,4916,4142,1315,
미래정밀,AJR30008202,2,2,4883,4084,1448,
미래정밀,AJR30149803,1,3,1714,1665,181,
미래정밀,AJR30149803,2,3,2211,2086,191,
미래정밀,AJR30149803,3,3,1380,1332,209,
미래정밀,AJR36852202-4-1,1,2,2193,1717,1785,
미래정밀,AJR36852202-4-1,2,2,2665,1382,1798,
미래정밀,AJR65507705-4-1,1,2,1590,1303,1330,
미래정밀,AJR65507705-4-1,2,2,1860,1750,1611,
미래정밀,AJR65507733,1,3,13981,12062,1147,
미래정밀,AJR65507733,2,3,2485,1941,1400,일회성
미래정밀,AJR65507733,3,3,2113,1892,1416,일회성
미래정밀,AJR73324501,1,2,4212,3330,924,
미래정밀,AJR73324501,2,2,7376,5369,2687,
미래정밀,AJR73342801,1,2,3028,2303,895,
미래정밀,AJR73342801,2,2,5980,4304,2681,
미래정밀,AJR73342803,1,2,4206,3097,904,
미래정밀,AJR73342803,2,2,7883,7412,2768,사급-> 자작 변경 용접 가공비는 동
미래정밀,AJR73364601,1,2,2416,1991,917,
미래정밀,AJR73364601,2,2,2095,1447,1092,
미래정밀,AJR74364911,1,2,20926,16607,1019,
미래정밀,AJR74364911,2,2,22362,21472,1026,기존단가에 추가하여
미래정밀,AJR74522901-4-1,1,2,2258,1853,804,
미래정밀,AJR74522901-4-1,2,2,2254,2015,1098,
미래정밀,AJR75463302,1,5,1836,1634,273,
미래정밀,AJR75463302,2,5,656,525,278,
미래정밀,AJR75463302,3,5,1253,997,284,
미래정밀,AJR75463302,4,5,857,689,289,
미래정밀,AJR75463302,5,5,449,273,294,
미래정밀,AJR75523201-4-1,1,2,2179,1828,667,
미래정밀,AJR75523201-4-1,2,2,1339,875,676,
미래정밀,AJR75544203,1,2,849,716,330,
미래정밀,AJR75544203,2,2,832,621,364,
미래정밀,AJR75782901,1,2,1462,1157,356,
미래정밀,AJR75782901,2,2,2091,1390,567,
미래정밀,AJR76522501,1,2,4542,3318,1039,
미래정밀,AJR76522501,2,2,4584,3243,1462,시방 1개소 삭제 / 시방 삭제
미래정밀,AJR77224501-4-1,1,3,1987,1684,1230,
미래정밀,AJR77224501-4-1,2,3,1948,1648,1380,
미래정밀,AJR77224501-4-1,3,3,2149,1817,1469,
미래정밀,AJR77263009-4-2,1,2,1027,662,2598,BCUP6-1.4*9.6 2%용접링 / 용접링 삽입 가공비
미래정밀,AJR77263009-4-2,2,2,1031,666,2607,BCUP6-1.4*9.6 2%용접링 / 용접링 삽입 가공비
중앙정밀,AJR30228805,1,2,148,79,883,
중앙정밀,AJR30228805,2,2,2512,2282,913,
중앙정밀,AJR30374205/07,1,2,2966,1891,561,
중앙정밀,AJR30374205/07,2,2,1779,1329,571,
중앙정밀,AJR30374209,1,2,3223,1923,513,
중앙정밀,AJR30374209,2,2,3132,1918,531,
중앙정밀,AJR36478201,1,3,3130,2066,430,
중앙정밀,AJR36478201,2,3,2214,1468,446,
중앙정밀,AJR36478201,3,3,3072,1954,464,
중앙정밀,AJR36478203,1,2,3737,2629,703,
중앙정밀,AJR36478203,2,2,2495,1573,1346,
중앙정밀,AJR74963102-1-1,1,2,1814,1506,1321,세광에서 이관
중앙정밀,AJR74963102-1-1,2,2,1872,1564,1773,
중앙정밀,AJR74984303-1-1,1,2,11907,10342,1081,기존단가있음
중앙정밀,AJR74984303-1-1,2,2,492,429,1152,기존단가있음
