거래처,품번,판정,현행판가,현행엑셀행,버전별일치도,자식대조
대원산업,AJR30027701-12-1,자동확정,7447,1350,"판가7447(행1350,일치100%) | 판가7154(행999,일치0%)",MJU66800403:엑셀제작/BOM제작✓ ; MJU66800402:엑셀제작/BOM제작✓
대원산업,AJR30027701-12-3,자동확정,5908,1357,"판가5908(행1357,일치100%) | 판가5868(행1009,일치0%)",MJU66749006:엑셀제작/BOM제작✓ ; MJU66800404:엑셀제작/BOM제작✓
대원산업,AJR30027705-12-1,자동확정,7350,1364,"판가7350(행1364,일치100%) | 판가7197(행1004,일치0%)",MJU66800403:엑셀제작/BOM제작✓ ; MJU66800405:엑셀제작/BOM제작✓
대원산업,AJR74523006-12-1,애매(동점),,,"판가18547(행1622,일치75%) | 판가18452(행1650,일치75%)",MJU63756101:엑셀제작/BOM사급✗ ; EBF40271405:엑셀사급/BOM사급✓ ; EBD60663821:엑셀사급/BOM사급✓ ; MJU62987402:엑셀사급/BOM사급✓
대원산업,AJR75544505-12-1,자동확정,5561,475,"판가5561(행475,일치100%) | 판가5142(행189,일치100%)",MJU66266604:엑셀제작/BOM제작✓ ; MJU66266701:엑셀제작/BOM제작✓ ; MJU65521402:엑셀제작/BOM제작✓
대원산업,AJR75563502-12-1,애매(동점),,,"판가3231(행340,일치100%) | 판가4222(행355,일치100%)",MJU64794403:엑셀제작/BOM제작✓ ; MJU64921201:엑셀제작/BOM제작✓ ; MJU64794402:엑셀제작/BOM제작✓ ; MJU63512516:엑셀사급/BOM사급✓
대원산업,AJR76362801,자동확정,6642,1667,"판가6642(행1667,일치100%) | 판가6606(행1639,일치100%)",MJU65587801:엑셀제작/BOM제작✓ ; MJU65587802:엑셀제작/BOM제작✓ ; MJU65587701:엑셀제작/BOM제작✓
대원산업,AJR76823801,애매(동점),,,"판가8962(행229,일치100%) | 판가10216(행397,일치100%) | 판가10250(행653,일치100%)",MJU66166622:엑셀제작/BOM제작✓ ; MJU66166606:엑셀제작/BOM제작✓ ; MJU47312220:엑셀제작/BOM제작✓
대원산업,AJR76823803,애매(동점),,,"판가8090(행241,일치100%) | 판가9160(행409,일치100%) | 판가9210(행665,일치100%)",MJU66166603:엑셀제작/BOM제작✓ ; MJU66166607:엑셀제작/BOM제작✓ ; MJU47312220:엑셀제작/BOM제작✓
대원산업,AJR77224501-12-1,자동확정,15091,1374,"판가15091(행1374,일치100%) | 판가1559(행385,일치100%)",MJU66478501:엑셀제작/BOM제작✓ ; MJU66479101:엑셀제작/BOM제작✓ ; MJU66479001:엑셀제작/BOM제작✓ ; AJU73472406:엑셀사급/BOM사급✓
대원산업,MJU66166608,BOM구조다름(child불일치),,,"판가1612(행204,일치-100%) | 판가1744(행452,일치-100%)",
대원산업,MJU66166611,애매(동점),,,"판가11364(행211,일치0%) | 판가13382(행416,일치0%)",MEV37586015:엑셀사급/BOM제작✗
대원산업,MJU66166620,BOM구조다름(child불일치),,,"판가6296(행217,일치-100%) | 판가6390(행458,일치-100%)",
미래정밀,AJR30008201,애매(동점),,,"판가4444(행1225,일치67%) | 판가4439(행1435,일치67%)",MJU66566906:엑셀제작/BOM제작✓ ; MJU66566808:엑셀제작/BOM제작✓ ; MEG65559801:엑셀사급/BOM제작✗
미래정밀,AJR30008202,자동확정,4883,1448,"판가4883(행1448,일치100%) | 판가4916(행1315,일치100%)",MJU66566808:엑셀제작/BOM제작✓ ; MJU66766301:엑셀제작/BOM제작✓ ; MEG65559801:엑셀사급/BOM사급✓ ; MEG66660106:엑셀사급/BOM사급✓
