협력사,품목(P/N),품명,4월입고수량,문제유형
명진산업,MJU61943601,"Tube, capillary",1458,단품-협력사마스터 미등록
명진산업,MJU66845511,Tube Connector,1012,단품 중량0
명진산업,MJU66845512,Tube Connector,1012,단품 중량0
명진산업,MJU66845513,Tube Connector,1012,단품 중량0
명진산업,MJU63618001,"Tube,Connector",371,단품-협력사마스터 미등록
명진산업,AJR75645201-19-10,명진SIB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-11,명진SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-12,명진SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-4,명진SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-5,명진SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-6,명진SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-7,명진SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-8,명진SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR75645201-19-9,명진 SUB,332,협력사BOM 있으나 자식이 원소재까지 도달못함
명진산업,AJR33796512-19-1,명진SUB,282,단품-협력사마스터 미등록
명진산업,MJU63772601,"Tube,Capillary Bending",145,단품-협력사마스터 미등록
명진산업,MJU64809907,"Tube,Connector",55,단품 중량0
명진산업,MJU64809908,"Tube,Connector",55,단품 중량0
명진산업,MJU64809909,"Tube,Connector",55,단품 중량0
명진산업,MJU64809910,"Tube,Connector",55,단품 중량0
명진산업,MJU64809911,"Tube,Connector",55,단품 중량0
명진산업,MJU63612901,"Tube,Capillary Bending",35,단품-협력사마스터 미등록
명진산업,MJU63612902,"Tube,Capillary Bending",35,단품-협력사마스터 미등록
명진산업,MJU63612903,"Tube,Capillary Bending",35,단품-협력사마스터 미등록
명진산업,MJU63612904,"Tube,Capillary Bending",35,단품-협력사마스터 미등록
명진산업,MJU63612905,"Tube,Capillary Bending",35,단품-협력사마스터 미등록
명진산업,MJU63612906,"Tube,Capillary Bending",35,단품-협력사마스터 미등록
명진산업,MJU66824401,Tube Connector,24,단품 중량0
명진산업,MJU66824402,Tube Connector,24,단품 중량0
명진산업,MJU66824403,Tube Connector,24,단품 중량0
명진산업,MJU66824404,Tube Connector,24,단품 중량0
명진산업,MJU66824405,Tube Connector,24,단품 중량0
명진산업,MJU66824406,Tube Connector,24,단품 중량0
명진산업,MJU66824407,Tube Connector,24,단품 중량0
명진산업,MJU66824408,Tube Connector,24,단품 중량0
명진산업,MJU66824409,Tube Connector,24,단품 중량0
명진산업,MJU66824410,Tube Connector,24,단품 중량0
명진산업,MJU66824411,Tube Connector,24,단품 중량0
명진산업,MJU66824412,Tube Connector,24,단품 중량0
명진산업,MJU62968801,"Tube,Connector",20,단품 중량0
명진산업,MJU41491701,"Tube,Capillary",15,단품-협력사마스터 미등록
MTS,5998A20002L,"Separator,Oil",1856,단품-협력사마스터 미등록
MTS,MAA63804601,Accumulator,241,단품-협력사마스터 미등록
MTS,MHH41401201,OIL SEPARATOR,130,단품-협력사마스터 미등록
MTS,4848A20005A,Accumulator,28,단품-협력사마스터 미등록
MTS,4848A20007P,Accumulator,5,단품-협력사마스터 미등록
