업체,품목,품명,입고수량,개당(전체),폴백개당,폴백기여중량kg
미래,AJR74482401-4-1,미래정밀 Sub,1905,0.7262,0.7262,1383.4
MTS,4848A20005L,Accumulator,1868,0.1992,0.1992,372.1
MTS,MHH61981504-7-1,MHH61981504-7-1,467,0.6203,0.6203,289.7
MTS,5998A20002Q,"Separator, Oil",757,0.1896,0.1896,143.5
미래,AJR74803545-12-1,미래정밀 Sub,3668,0.0877,0.029,106.3
MTS,AJR71429343,"Tube Assembly,Suction",529,0.1992,0.1992,105.4
MTS,MHH62041507,"Oil, Separator",371,0.203,0.203,75.3
MTS,AJR71429341-7-1,MTS SUB,358,0.6051,0.174,62.3
미래,AJR74522901-4-2,미래 SUB,467,0.1318,0.1318,61.5
MTS,MHH61981504,"Separator,Oil",56,0.6203,0.6203,34.7
미래,AJR71433340-13-1,미래정밀 SUB,658,0.0203,0.0203,13.3
미래,AJR30089611-4-1,sub-assy,693,0.0147,0.0147,10.2
미래,AJR71433340-4-1,미래 SUB,231,0.0699,0.0405,9.4
MTS,AJR75102405-7-1,MTS SUB ASSY,10,0.4818,0.2539,2.5
MTS,AJR75711901-7-1,AJR75711901-7-1,7,0.4533,0.3194,2.2
미래,AJR30089611-4-4,sub-assy,63,0.0238,0.0238,1.5
미래,AJR30089611-4-2,sub-assy,63,0.023,0.023,1.4
미래,AJR30089611-4-3,sub-assy,63,0.0184,0.0184,1.2
미래,AJR73943301-9-1,외주 SUB,30,0.0519,0.0346,1.0
