도번,LG부품수,자동매핑,도번직하위,용접봉(규칙),실제갭,완전정합여부
AJR30133701,35,4,7,4,20,
AJR30133702,35,4,7,4,20,
AJR75645201,25,1,3,1,20,
AJR75563602,20,0,0,1,19,
AJR30125601,46,9,16,4,17,
AJR30133703,31,4,6,4,17,
AJR30007103,21,2,2,1,16,
AJR30007105,23,2,4,1,16,
AJR30075401,42,7,18,1,16,
AJR73965601,19,1,1,1,16,
AJR73965602,19,1,1,1,16,
AJR77263002,23,2,4,1,16,
AJR75482702,18,1,1,1,15,
AJR77225301,21,2,3,1,15,
AJR77263007,26,3,7,1,15,
AJR77263008,26,6,4,1,15,
AJR74983910,31,8,8,1,14,
AJR74983938,31,7,9,1,14,
AJR74983939,32,7,10,1,14,
AJR77171201,20,3,2,1,14,
AJR30125603,46,10,19,4,13,
AJR77224901,21,6,1,1,13,
AJR77263003,23,6,3,1,13,
AJR77263009,23,5,4,1,13,
AJR30007104,23,6,4,1,12,
AJR30133709,32,10,6,4,12,
AJR74984303,19,3,3,1,12,
AJR75483702,19,3,3,1,12,
AJR30007102,18,0,6,1,11,
AJR75463304,17,2,4,0,11,
AJR77224501,30,8,10,1,11,
AJR77224502,30,8,10,1,11,
AJR77224503,31,9,10,1,11,
AJR77224504,31,9,10,1,11,
AJR77224505,31,9,10,1,11,
AJR77224506,32,9,11,1,11,
AJR77224509,31,8,11,1,11,
AJR77224510,32,9,11,1,11,
AJR77224518,35,8,15,1,11,
AJR77224519,31,8,11,1,11,
AJR77263001,21,6,3,1,11,
AJR77263004,23,5,6,1,11,
AJR77224511,34,10,13,1,10,
AJR77224520,34,10,13,1,10,
AJR77224524,33,10,12,1,10,
AJR30027705,32,12,10,1,9,
AJR30027710,33,12,12,0,9,
AJR73980318,33,12,11,1,9,
AJR75462802,15,0,5,1,9,
AJR76582506,27,6,12,0,9,
AJR77224507,34,10,14,1,9,
AJR77224508,34,10,14,1,9,
AJR77224512,35,10,15,1,9,
AJR77224513,36,10,16,1,9,
AJR77224516,36,10,16,1,9,
AJR77224517,36,10,16,1,9,
AJR77224522,36,10,17,0,9,
AJR77224523,37,10,17,1,9,
AJR30027701,30,12,9,1,8,
AJR30027713,31,12,10,1,8,
AJR30083102,45,1,36,0,8,
AJR30133605,45,14,19,4,8,
