도번,LG부품,LG품명,비고
5211A20349P,4930A20053A,"Holder,Sensor",
5211A21904M,4930A20053A,"Holder,Sensor",
5211A22057R,MJU00833201,"Tube,Connector",
5211A22057R,MJU00833501,"Tube,Connector",
5211A22057S,MJU00833202,"Tube,Connector",
5211A22057S,MJU00833502,"Tube,Connector",
ADM72950704,4930A20053A,"Holder,Sensor",
ADM73210501,4930A20053A,"Holder,Sensor",
ADM73210515,AJR76462624,Tube Assembly,
AJJ75358401,AJJ73898630,Supporter Assembly,
AJJ75358404,AJJ73898630,Supporter Assembly,
AJJ75358425,AJJ73898630,Supporter Assembly,
AJJ75358426,AJJ73898630,Supporter Assembly,
AJJ75358427,AJJ73898630,Supporter Assembly,
AJJ75358428,AJJ73898630,Supporter Assembly,
AJJ75838620,AJJ73898630,Supporter Assembly,
AJJ76418724,MJU66478104,"Tube,Connector",
AJJ76559006,MJU66478104,"Tube,Connector",
AJJ76595403,AJJ76595404,Supporter Assembly,
AJJ76595403,AJR30059704,"Tube Assembly,Expansion",
AJR30001401,4H00049A,"Tube,Pinch Off",
AJR30001401,5210A23089A,"Tube,Pinch Off",
AJR30004702,4930A20053A,"Holder,Sensor",
AJR30007101,4930A20053A,"Holder,Sensor",
AJR30007102,4930A20053A,"Holder,Sensor",
AJR30007103,4930A20053A,"Holder,Sensor",
AJR30007104,4930A20053A,"Holder,Sensor",
AJR30007105,4930A20053A,"Holder,Sensor",
AJR30007106,4930A20053A,"Holder,Sensor",
AJR30008201,4H00049A,"Tube,Pinch Off",
AJR30012009,MJU65966728,"Tube,Connector",
AJR30012009,MJU66774606,"Tube,Connector",
AJR30012009,MJU66774607,"Tube,Connector",
AJR30012010,MJU65966728,"Tube,Connector",
AJR30012010,MJU66774606,"Tube,Connector",
AJR30012010,MJU66774607,"Tube,Connector",
AJR30012011,MJU65966728,"Tube,Connector",
AJR30012011,MJU66774606,"Tube,Connector",
AJR30012011,MJU66774607,"Tube,Connector",
AJR30012101,4930A20053A,"Holder,Sensor",
AJR30012102,4930A20053A,"Holder,Sensor",
AJR30020701,4H00049A,"Tube,Pinch Off",
AJR30037603,5210A30334L,"Tube,Pinch Off",
AJR30037604,5210A30334L,"Tube,Pinch Off",
AJR30065822,4930A20053A,"Holder,Sensor",
AJR30065823,4930A20053A,"Holder,Sensor",
AJR30065824,4930A20053A,"Holder,Sensor",
AJR30065901,AJR73665401,"Tube Assembly,Evaporator",
