도번,LG부품,LG품명,비고
5211A22057R,MJU00833201,"Tube,Connector",
5211A22057R,MJU00833501,"Tube,Connector",
5211A22057S,MJU00833202,"Tube,Connector",
5211A22057S,MJU00833502,"Tube,Connector",
ADM73210515,AJR76462624,Tube Assembly,
AJJ75358401,AJJ73898630,Supporter Assembly,
AJJ75358404,AJJ73898630,Supporter Assembly,
AJJ75358425,AJJ73898630,Supporter Assembly,
AJJ75358426,AJJ73898630,Supporter Assembly,
AJJ75358427,AJJ73898630,Supporter Assembly,
AJJ75358428,AJJ73898630,Supporter Assembly,
AJJ75838620,AJJ73898630,Supporter Assembly,
AJJ76418724,MJU66478104,"Tube,Connector",
AJJ76559006,MJU66478104,"Tube,Connector",
AJJ76595403,AJJ76595404,Supporter Assembly,
AJJ76595403,AJR30059704,"Tube Assembly,Expansion",
AJR30001401,5210A23089A,"Tube,Pinch Off",
AJR30012009,MJU65966728,"Tube,Connector",
AJR30012009,MJU66774606,"Tube,Connector",
AJR30012009,MJU66774607,"Tube,Connector",
AJR30012010,MJU65966728,"Tube,Connector",
AJR30012010,MJU66774606,"Tube,Connector",
AJR30012010,MJU66774607,"Tube,Connector",
AJR30012011,MJU65966728,"Tube,Connector",
AJR30012011,MJU66774606,"Tube,Connector",
AJR30012011,MJU66774607,"Tube,Connector",
AJR30037603,5210A30334L,"Tube,Pinch Off",
AJR30037604,5210A30334L,"Tube,Pinch Off",
AJR30065901,AJR73665401,"Tube Assembly,Evaporator",
AJR30065902,AJR73743901,"Tube Assembly,Evaporator",
AJR30083101,MJU00892201,"Tube,Connector",
AJR30083101,MJU00893412,"Tube,Connector",
AJR30083101,MJU66466401,"Tube,Connector",
AJR30083102,MJU00892201,"Tube,Connector",
AJR30083102,MJU00893412,"Tube,Connector",
AJR30083102,MJU66466401,"Tube,Connector",
AJR30125601,MJU66479001,"Tube,Connector",
AJR30133602,MJU00777113,"Tube,Connector",
AJR30133602,MJU00777609,"Tube,Connector",
AJR30133602,MJU00777610,"Tube,Connector",
AJR30133602,MJU66853321,"Tube,Connector",
AJR30133604,MJU00776712,"Tube,Connector",
AJR30133604,MJU66853322,"Tube,Connector",
AJR30133604,MJU66853324,"Tube,Connector",
AJR30133605,MJU66853321,"Tube,Connector",
AJR30133606,MJU00777113,"Tube,Connector",
AJR30133606,MJU00777609,"Tube,Connector",
AJR30133606,MJU00777610,"Tube,Connector",
AJR30133606,MJU66853321,"Tube,Connector",
AJR30133607,MJU66853322,"Tube,Connector",
AJR30133701,MJU00776614,"Tube,Connector",
AJR30133701,MJU65528065,"Tube,Connector",
AJR30133702,MJU00776614,"Tube,Connector",
AJR30133702,MJU65528066,"Tube,Connector",
AJR30133703,MJU65528066,"Tube,Connector",
AJR30133709,MJU00873804,"Tube,Connector",
AJR30161402,MJU00855804,"Tube,Connector",
AJR30161404,MJU65528066,"Tube,Connector",
AJR30161405,MJU00855818,"Tube,Connector",
AJR30161405,MJU00873804,"Tube,Connector",
AJR30161406,MJU65528065,"Tube,Connector",
AJR30161408,MJU65528065,"Tube,Connector",
AJR30167201,MJU00780003,"Tube,Connector",
AJR34739801,5210A20322H,"Tube,Pinch Off",
AJR35938601,MJU41496102,"Tube,Discharge",
AJR35938601,MJU41496302,"Tube,Discharge",
AJR36013006,EBF40271401,"Switch,Pressure",
AJR36479502,MJU42132502,"Tube,Connector",
AJR36479502,MJU42132503,"Tube,Connector",
AJR36479508,MJU42132502,"Tube,Connector",
AJR36479508,MJU42132503,"Tube,Connector",
AJR37048418,MJU61920205,"Tube,Connector",
AJR72367603,MJU61721901,"Tube,Connector",
AJR72367604,MJU61721901,"Tube,Connector",
AJR72367702,MJU61391901,"Tube,Connector",
AJR72367702,MJU61721901,"Tube,Connector",
AJR72928401,5210A22841A,"Tube,Coupling",
AJR72928401,MJU61885601,"Tube,Connector",
AJR72928402,5210A22841A,"Tube,Coupling",
AJR72928402,MJU61885601,"Tube,Connector",
AJR72952503,MJU62097401,"Tube,Connector",
AJR72952603,MJU62097401,"Tube,Connector",
AJR72954801,MJU53401202,"Tube,Connector",
AJR72957305,5210A22841A,"Tube,Coupling",
AJR73023601,MJU62030601,"Tube,Connector",
AJR73023601,MJU62030701,"Tube,Connector",
AJR73023801,MAZ61902210,Bracket,
AJR73224001,MJU62266801,"Tube,Connector",
AJR73383001,4H00049A,"Tube,Pinch Off",
AJR73562802,EBE60661401,Solenoid,
AJR73767304,AJR74488601,"Tube Assembly,Capillary",
AJR73767802,5210A30334L,"Tube,Pinch Off",
AJR73767812,5210A30334L,"Tube,Pinch Off",
AJR73767818,5210A30334L,"Tube,Pinch Off",
AJR73767821,5210A30334L,"Tube,Pinch Off",
AJR73822512,EAP30616906,"Coil,Expansion",
AJR73822523,EAP30616906,"Coil,Expansion",
AJR73822530,EAP62228706,"Coil,Expansion",
AJR73822530,EBE61441605,Solenoid,
AJR73822540,MJU41942220,"Tube,Suction",
AJR73882506,5210A30334L,"Tube,Pinch Off",
AJR73970512,MJU61848906,"Tube,Connector",
AJR73970512,MJU61848910,"Tube,Connector",
AJR73970512,MJU63031904,"Tube,Suction",
AJR73980306,5210A30334L,"Tube,Pinch Off",
AJR73980317,5210A30334L,"Tube,Pinch Off",
AJR73980318,5210A30334L,"Tube,Pinch Off",
AJR73980320,5210A30334L,"Tube,Pinch Off",
AJR73980322,5210A30334L,"Tube,Pinch Off",
AJR73980323,5210A30334L,"Tube,Pinch Off",
AJR73981108,AJJ73640107,Supporter Assembly,
AJR74062502,EAP30616906,"Coil,Expansion",
AJR74230002,5210A30334L,"Tube,Pinch Off",
AJR74288904,5210A30334L,"Tube,Pinch Off",
AJR74365101,5210A30334L,"Tube,Pinch Off",
AJR74366606,MJU65187807,"Tube,Connector",
AJR74424620,MJU63651002,"Tube,Connector",
AJR74424620,MJU63651005,"Tube,Connector",
AJR74424620,MJU63651009,"Tube,Connector",
AJR74683101,5210A30334L,"Tube,Pinch Off",
AJR74683102,5210A30334L,"Tube,Pinch Off",
AJR74803514,MJU65026401,"Tube,Manifold",
AJR74803537,MJU65026413,"Tube,Manifold",
AJR74964501,5210A30334L,"Tube,Pinch Off",
AJR74983902,EBF40271416,"Switch,Pressure",
AJR74983903,EBF40271416,"Switch,Pressure",
AJR74984303,MJU64427302,"Tube,Connector",
AJR74984501,MJU64427801,"Tube,Connector",
AJR75462802,MJU64688301,"Tube,Connector",
AJR75463001,MJU64688604,"Tube,Connector",
AJR75463001,MJU64688808,"Tube,Connector",
AJR75463304,MJU64708303,"Tube,Connector",
AJR75464602,5210A30334L,"Tube,Pinch Off",
AJR75464603,5210A30334L,"Tube,Pinch Off",
AJR75482702,5210A30334L,"Tube,Pinch Off",
AJR75544201,MAZ64571702,Bracket,
AJR75544201,MAZ64571803,Bracket,
AJR75563502,MJU64794404,"Tube,Connector",
AJR75563602,MJU64809801,"Tube,Connector",
AJR75563602,MJU64809802,"Tube,Connector",
AJR75563602,MJU64809804,"Tube,Connector",
AJR75563602,MJU64809805,"Tube,Connector",
AJR75563602,MJU64809806,"Tube,Connector",
AJR75563602,MJU64809807,"Tube,Connector",
AJR75563602,MJU64809808,"Tube,Connector",
AJR75563602,MJU64809809,"Tube,Connector",
AJR75563602,MJU64809810,"Tube,Connector",
AJR75563602,MJU64933001,"Tube,Connector",
AJR75563602,MJU64933002,"Tube,Connector",
AJR75563602,MJU64979002,"Tube,Connector",
AJR75563701,5210A30334L,"Tube,Pinch Off",
AJR75563702,5210A30334L,"Tube,Pinch Off",
AJR75704003,5210A30334L,"Tube,Pinch Off",
AJR75743301,5210A30334L,"Tube,Pinch Off",
AJR75744510,5220A20006J,"Valve,Service",
AJR75804101,MJU64688604,"Tube,Connector",
AJR75804101,MJU64688808,"Tube,Connector",
AJR75983003,MJU65187807,"Tube,Connector",
AJR75983008,MJU65187807,"Tube,Connector",
AJR76264102,5210A30334L,"Tube,Pinch Off",
AJR76402407,5210A30334L,"Tube,Pinch Off",
AJR76402407,MJU66466401,"Tube,Connector",
AJR76402409,5210A30334L,"Tube,Pinch Off",
AJR76402409,MJU66466401,"Tube,Connector",
AJR76502610,AJR30083901,Tube Assembly,
AJR76502614,AJR30083901,Tube Assembly,
AJR76523008,AJJ73040828,Supporter Assembly,
AJR76523011,AJJ73040839,Supporter Assembly,
AJR76523011,AJR71433341,"Tube Assembly,Expansion",
AJR76523012,AJJ73040839,Supporter Assembly,
AJR77163101,MJU66366806,"Tube,Connector",
AJR77202901,MJU64870703,"Tube,Capillary Bending",
AJR77202901,MJU66366311,"Tube,Connector",
AJR77202902,MJU64870703,"Tube,Capillary Bending",
AJR77202902,MJU66366311,"Tube,Connector",
AJR77222902,AJR77223002,"Tube Assembly,Reverse",
AJR77222905,AJR77223005,"Tube Assembly,Reverse",
AJR77224501,AJR77188701,"Tube Assembly,Solenoide",
AJR77224502,AJR77188701,"Tube Assembly,Solenoide",
AJR77224503,AJR77188701,"Tube Assembly,Solenoide",
AJR77224504,AJR77188701,"Tube Assembly,Solenoide",
AJR77224505,AJR77188701,"Tube Assembly,Solenoide",
AJR77224506,MJU66478404,"Tube,Connector",
AJR77224509,AJR77188701,"Tube Assembly,Solenoide",
AJR77224510,AJR77188701,"Tube Assembly,Solenoide",
AJR77224519,AJR77188701,"Tube Assembly,Solenoide",
AJR77225305,MJU66760006,"Tube,Connector",
AJR77225306,MJU66760006,"Tube,Connector",
AJR77225607,MJU66571711,"Tube,Connector",
AJR77225607,MJU66571712,"Tube,Connector",
AJR77225607,MJU66571713,"Tube,Connector",
AJR77226304,MJU66760005,"Tube,Connector",
AJR77263001,MJU66503301,"Tube,Connector",
AJR77263002,MJU65517910,"Tube,Connector",
AJR77263002,MJU66502902,"Tube,Connector",
AJR77263003,MJU66503303,"Tube,Connector",
AJR77263004,MJU66503301,"Tube,Connector",
AJR77263005,MJU66503303,"Tube,Connector",
AJR77263006,MJU66503303,"Tube,Connector",
AJR77263011,MJU66503303,"Tube,Connector",
MJU62078901,7072A90001B,"Tube,Raw",
