도번,LG부품,LG품명,역할,← 담당: LG맞음/레거시대응코드/신규추가
4849A10047A,3H00815H,Expendables_,용접봉,
4849A20056J,49112009,Expendables_,용접봉,
4849A20059D,3H00815J,Expendables_,용접봉,
4849A20059D,5220A90008C,"Valve,Solenoid",전장부품,
4849A20060A,3H00815J,Expendables_,용접봉,
4849A20060B,3H00815J,Expendables_,용접봉,
5211A00011E,3H00815J,Expendables_,용접봉,
5211A00011P,3H00815J,Expendables_,용접봉,
5211A10458H,MJU57271809,"Tube,Connector",매입동관,
5211A10458H,MJU57271810,"Tube,Connector",매입동관,
5211A10549A,3H00815J,Expendables_,용접봉,
5211A10623D,3H00815J,Expendables_,용접봉,
5211A11023C,3H00815J,Expendables_,용접봉,
5211A11024A,3H00815E,Expendables_,용접봉,
5211A11034A,3H00815J,Expendables_,용접봉,
5211A11065T,3H00815H,Expendables_,용접봉,
5211A11604A,3H00815J,Expendables_,용접봉,
5211A11604A,49112009,Expendables_,용접봉,
5211A11604C,3H00815J,Expendables_,용접봉,
5211A11604C,49112009,Expendables_,용접봉,
5211A12001A,3H00815H,Expendables_,용접봉,
5211A19008C,3H00815H,Expendables_,용접봉,
5211A19008C,MJU61889106,"Tube,Distributor",매입동관,
5211A19008D,3H00815H,Expendables_,용접봉,
5211A19008J,3H00815H,Expendables_,용접봉,
5211A19008K,3H00815H,Expendables_,용접봉,
5211A20297Z,3H00815J,Expendables_,용접봉,
5211A20297Z,3H00815J,Expendables_,용접봉,
5211A20349P,3H00815H,Expendables_,용접봉,
5211A20349P,3H00815H,Expendables_,용접봉,
5211A20349T,3H00815J,Expendables_,용접봉,
5211A20349T,3H00815J,Expendables_,용접봉,
5211A20356U,3H00815J,Expendables_,용접봉,
5211A20356W,3H00815H,Expendables_,용접봉,
5211A20459E,3H00815H,Expendables_,용접봉,
5211A20459E,49112009,Expendables_,용접봉,
5211A20459E,FAD30146403,"Nut,Customized",체결부자재,
5211A20466L,3H00815J,Expendables_,용접봉,
5211A20466L,3H01582B,Tie,완성부품,
5211A21806A,3H00739A,Spring,체결부자재,
5211A21806A,53402025,"Tape,Filament",포장재,
5211A21811B,3H00815H,Expendables_,용접봉,
5211A21811B,49112009,Expendables_,용접봉,
5211A21813B,3H00815J,Expendables_,용접봉,
5211A21813B,49112009,Expendables_,용접봉,
5211A21904A,3H00815J,Expendables_,용접봉,
5211A21904A,3H00815J,Expendables_,용접봉,
5211A21904M,3H00815J,Expendables_,용접봉,
5211A21904M,3H00815J,Expendables_,용접봉,
5211A21904N,3H00815J,Expendables_,용접봉,
5211A21904N,3H00815J,Expendables_,용접봉,
5211A22057R,3H00815J,Expendables_,용접봉,
5211A22057R,MJU00833201,"Tube,Connector",제작동관,
5211A22057R,MJU00833501,"Tube,Connector",제작동관,
5211A22057S,3H00815J,Expendables_,용접봉,
5211A22057S,MJU00833202,"Tube,Connector",제작동관,
5211A22057S,MJU00833502,"Tube,Connector",제작동관,
5211A23366A,3H00815H,Expendables_,용접봉,
5211A23366A,4010AR3071A,"Socket,Flare",완성부품,
5211A23366A,4010AR3071B,"Socket,Flare",완성부품,
5211A23366A,53402025,"Tape,Filament",포장재,
5211A23366B,3H00815H,Expendables_,용접봉,
5211A23366B,53402025,"Tape,Filament",포장재,
5211A24134B,3H00815J,Expendables_,용접봉,
5211A29907A,3H00815H,Expendables_,용접봉,
5211A30369A,3H00815D,Expendables_,용접봉,
5211A30756B,3H00815J,Expendables_,용접봉,
5211A30756B,3H00815J,Expendables_,용접봉,
5211A39010A,3H00815J,Expendables_,용접봉,
5211A39010A,3H00815J,Expendables_,용접봉,
5211AP2678E,3H00815J,Expendables_,용접봉,
5425AP7108C,3H00815J,Expendables_,용접봉,
5425AP7108K,3H00815J,Expendables_,용접봉,
AAB34431202,3H00815H,Expendables_,용접봉,
ADL76734508,7210A90001C,"Gas,Helium",매입기타,
ADL76734508,7210QO0001B,"Gas,Nitrogen",매입기타,
ADM72950704,49112009,Expendables_,용접봉,
ADM72950706,49112009,Expendables_,용접봉,
ADM72950714,49112009,Expendables_,용접봉,
ADM72950717,49112009,Expendables_,용접봉,
ADM73190801,4A00609A,Cap,완성부품,
ADM73210501,49112009,Expendables_,용접봉,
ADM73210501,4A00609A,Cap,완성부품,
ADM73210506,FAB30208603,"Screw,Customized",체결부자재,
ADM73210506,RAB36912801,"Tape,PVC",포장재,
ADM73210511,FAB30208603,"Screw,Customized",체결부자재,
ADM73210511,RAB36912801,"Tape,PVC",포장재,
ADM73210512,FAB30208603,"Screw,Customized",체결부자재,
ADM73210515,AJR76462624,Tube Assembly,반제품,
ADM73210515,FAB30208603,"Screw,Customized",체결부자재,
ADM73210515,RAB36912801,"Tape,PVC",포장재,
ADM73210516,FAB30208603,"Screw,Customized",체결부자재,
ADM74930502,FAB30208603,"Screw,Customized",체결부자재,
ADM74930502,RAB36912801,"Tape,PVC",포장재,
ADM74930507,FAB30208603,"Screw,Customized",체결부자재,
ADM74930507,RAB36912801,"Tape,PVC",포장재,
ADM74930508,FAB30208603,"Screw,Customized",체결부자재,
ADM74930511,FAB30208603,"Screw,Customized",체결부자재,
ADM74930511,RAB36912801,"Tape,PVC",포장재,
AHQ37048810,3H00815H,Expendables_,용접봉,
AJJ74578304,3H00815J,Expendables_,용접봉,
AJJ74578325,3H00815J,Expendables_,용접봉,
AJJ75318301,3H00815J,Expendables_,용접봉,
AJJ75358401,AJJ73898630,Supporter Assembly,반제품,
AJJ75358404,AJJ73898630,Supporter Assembly,반제품,
AJJ75358421,EAP63107118,"Coil,Expansion",판재강판,
AJJ75358421,EAP63107119,"Coil,Expansion",판재강판,
AJJ75358425,AJJ73898630,Supporter Assembly,반제품,
AJJ75358426,AJJ73898630,Supporter Assembly,반제품,
AJJ75358426,EAP63107118,"Coil,Expansion",판재강판,
AJJ75358426,EAP63107119,"Coil,Expansion",판재강판,
AJJ75358427,AJJ73898630,Supporter Assembly,반제품,
AJJ75358428,AJJ73898630,Supporter Assembly,반제품,
AJJ75838620,AJJ73898630,Supporter Assembly,반제품,
AJJ75918512,MJX63932317,"Valve,Service",완성부품,
AJJ76418701,3H00815J,Expendables_,용접봉,
AJJ76418702,3H00815J,Expendables_,용접봉,
AJJ76418703,3H00815J,Expendables_,용접봉,
AJJ76418704,3H00815J,Expendables_,용접봉,
AJJ76418705,3H00815J,Expendables_,용접봉,
AJJ76418706,3H00815J,Expendables_,용접봉,
AJJ76418707,3H00815J,Expendables_,용접봉,
AJJ76418713,3H00815J,Expendables_,용접봉,
AJJ76418713,5220A20034C,"Valve,Service",완성부품,
AJJ76418713,MJX62254001,"Valve,Service",완성부품,
AJJ76418714,3H00815J,Expendables_,용접봉,
AJJ76418714,MJX62254001,"Valve,Service",완성부품,
AJJ76418715,3H00815J,Expendables_,용접봉,
AJJ76418716,3H00815J,Expendables_,용접봉,
AJJ76418716,MJX62254101,"Valve,Service",완성부품,
AJJ76418717,3H00815J,Expendables_,용접봉,
AJJ76418717,5220A20034C,"Valve,Service",완성부품,
AJJ76418717,MJX62254001,"Valve,Service",완성부품,
AJJ76418718,3H00815J,Expendables_,용접봉,
AJJ76418718,5220A20034C,"Valve,Service",완성부품,
AJJ76418718,MJX62254001,"Valve,Service",완성부품,
AJJ76418719,3H00815J,Expendables_,용접봉,
AJJ76418719,MJX62254001,"Valve,Service",완성부품,
AJJ76418720,3H00815J,Expendables_,용접봉,
AJJ76418721,3H00815J,Expendables_,용접봉,
AJJ76418722,3H00815J,Expendables_,용접봉,
AJJ76418723,3H00815J,Expendables_,용접봉,
AJJ76418724,3H00815J,Expendables_,용접봉,
AJJ76418724,MJU66478104,"Tube,Connector",제작동관,
AJJ76418725,3H00815J,Expendables_,용접봉,
AJJ76418727,3H00815J,Expendables_,용접봉,
AJJ76418728,3H00815J,Expendables_,용접봉,
AJJ76418729,3H00815J,Expendables_,용접봉,
AJJ76559006,MJU66478104,"Tube,Connector",제작동관,
AJJ76559105,MJX62254001,"Valve,Service",완성부품,
AJJ76559105,MJX62254101,"Valve,Service",완성부품,
AJJ76595403,AJJ76595404,Supporter Assembly,반제품,
AJJ76595403,AJR30059704,"Tube Assembly,Expansion",반제품,
AJJ76602101,3H01582D,Tie,완성부품,
AJJ76602101,MJX63932302,"Valve,Service",완성부품,
AJL75092114,1SBF0402418,"Screw,Taptite",체결부자재,
AJR30001401,5210A23089A,"Tube,Pinch Off",제작동관,
AJR30007102,MJX62771713,"Valve,Check",완성부품,
AJR30007103,MJX62771713,"Valve,Check",완성부품,
AJR30007104,MJX62771713,"Valve,Check",완성부품,
AJR30007105,MJX62771713,"Valve,Check",완성부품,
AJR30007106,MJX62771713,"Valve,Check",완성부품,
AJR30012001,4A00609A,Cap,완성부품,
AJR30012001,EBD60663823,"Sensor,Pressure",전장부품,
AJR30012001,EBD62165601,"Sensor,Pressure",전장부품,
AJR30012008,4A00609A,Cap,완성부품,
AJR30012009,4A00609A,Cap,완성부품,
AJR30012009,MJU65966728,"Tube,Connector",제작동관,
AJR30012009,MJU66774606,"Tube,Connector",제작동관,
