도번,LG부품,LG품명,역할,비고
5211A20349P,4930A20053A,"Holder,Sensor",반제품,
5211A21904M,4930A20053A,"Holder,Sensor",반제품,
5211A22057R,MJU00833201,"Tube,Connector",제작동관,
5211A22057R,MJU00833501,"Tube,Connector",제작동관,
5211A22057S,MJU00833202,"Tube,Connector",제작동관,
5211A22057S,MJU00833502,"Tube,Connector",제작동관,
ADM72950704,4930A20053A,"Holder,Sensor",반제품,
ADM73210501,4930A20053A,"Holder,Sensor",반제품,
ADM73210515,AJR76462624,Tube Assembly,반제품,
AJJ75178301,AJR75744102,"Tube Assembly,Suction(Ou",반제품,
AJJ75358401,AJJ73898630,Supporter Assembly,반제품,
AJJ75358404,AJJ73898630,Supporter Assembly,반제품,
AJJ75358425,AJJ73898630,Supporter Assembly,반제품,
AJJ75358426,AJJ73898630,Supporter Assembly,반제품,
AJJ75358427,AJJ73898630,Supporter Assembly,반제품,
AJJ75358428,AJJ73898630,Supporter Assembly,반제품,
AJJ75358441,AJR75744140,"Tube Assembly,Suction(Ou",반제품,
AJJ75838620,AJJ73898630,Supporter Assembly,반제품,
AJJ75918509,AJR72946503,"Tube Assembly,Suction(Ou",반제품,
AJJ76418724,MJU66478104,"Tube,Connector",제작동관,
AJJ76559006,MJU66478104,"Tube,Connector",제작동관,
AJJ76595403,AJJ76595404,Supporter Assembly,반제품,
AJJ76595403,AJR30059704,"Tube Assembly,Expansion",반제품,
AJR30001401,4H00049A,"Tube,Pinch Off",제작동관,
AJR30001401,5210A23089A,"Tube,Pinch Off",제작동관,
AJR30004702,4930A20053A,"Holder,Sensor",반제품,
AJR30004702,MJU00697402,"Tube,Manifold",제작동관,
AJR30004702,MJU00697501,"Tube,Connector",제작동관,
AJR30004702,MJU00697502,"Tube,Connector",제작동관,
AJR30007101,4930A20053A,"Holder,Sensor",반제품,
AJR30007101,MJU66760104,"Tube,Connector",제작동관,
AJR30007102,4930A20053A,"Holder,Sensor",반제품,
AJR30007102,MJU66573301,"Tube,Connector",제작동관,
AJR30007102,MJU66760002,"Tube,Connector",제작동관,
AJR30007102,MJU66760003,"Tube,Connector",제작동관,
AJR30007102,MJU66760004,"Tube,Connector",제작동관,
AJR30007102,MJU66760102,"Tube,Connector",제작동관,
AJR30007103,4930A20053A,"Holder,Sensor",반제품,
AJR30007103,MJU64671101,"Tube,Connector",제작동관,
AJR30007103,MJU64671102,"Tube,Connector",제작동관,
AJR30007103,MJU64671103,"Tube,Connector",제작동관,
AJR30007103,MJU64671104,"Tube,Connector",제작동관,
AJR30007103,MJU64671105,"Tube,Connector",제작동관,
AJR30007103,MJU64671109,"Tube,Connector",제작동관,
AJR30007103,MJU66571301,"Tube,Connector",제작동관,
AJR30007103,MJU66571302,"Tube,Connector",제작동관,
AJR30007103,MJU66571304,"Tube,Connector",제작동관,
AJR30007103,MJU66571305,"Tube,Connector",제작동관,
AJR30007103,MJU66571306,"Tube,Connector",제작동관,
AJR30007104,4930A20053A,"Holder,Sensor",반제품,
AJR30007104,MJU64671101,"Tube,Connector",제작동관,
AJR30007104,MJU64671102,"Tube,Connector",제작동관,
AJR30007104,MJU64671104,"Tube,Connector",제작동관,
AJR30007104,MJU64671105,"Tube,Connector",제작동관,
AJR30007104,MJU64671109,"Tube,Connector",제작동관,
AJR30007104,MJU66571302,"Tube,Connector",제작동관,
AJR30007104,MJU66571305,"Tube,Connector",제작동관,
AJR30007104,MJU66571306,"Tube,Connector",제작동관,
AJR30007105,4930A20053A,"Holder,Sensor",반제품,
AJR30007105,MJU64671101,"Tube,Connector",제작동관,
AJR30007105,MJU64671102,"Tube,Connector",제작동관,
AJR30007105,MJU64671104,"Tube,Connector",제작동관,
