도번,LG부품,LG품명,역할,도번의 자도번후보,자도번수,추천(단일시 자동),← 확정 자도번
ACQ30662801,MJU00722801,"Tube,Connector",제작동관,ACQ30662801-16-1 | ACQ30662801-SUB,2,,
ADM72950704,4930A20053A,"Holder,Sensor",반제품,AJR73743901 | AJR73942801 | AJR73724002 | AJR73724102 | AJR73744402,5,,
ADM73210501,4930A20053A,"Holder,Sensor",반제품,ABA74551801 | ABA74570801,2,,
ADM73210515,AJR76462624,Tube Assembly,반제품,ADM73210515-STS | AJR76462631 | AJR76462634 | AJR76462735 | AJR76462736 | AJR76462903…,7,,
AJJ75178301,AJR75744102,"Tube Assembly,Suction(Ou",반제품,AJR75662801 | AJR75744102-4-1 | AJJ73898601,3,,
AJJ75358401,AJJ73898630,Supporter Assembly,반제품,AJJ75358401-SUB | AJR74803512 | AJR75744119,3,,
AJJ75358404,AJJ73898630,Supporter Assembly,반제품,AJJ75358404-SUB | AJR74803512 | AJR75744106,3,,
AJJ75358425,AJJ73898630,Supporter Assembly,반제품,AJR74803521 | AJR75744106 | AJJ75358425-SUB,3,,
AJJ75358426,AJJ73898630,Supporter Assembly,반제품,AJJ75358426-SUB | AJR75744125 | AJR74803522,3,,
AJJ75358427,AJJ73898630,Supporter Assembly,반제품,AJJ75358427-SUB | AJR74803521 | AJR75744106,3,,
AJJ75358428,AJJ73898630,Supporter Assembly,반제품,AJJ75358428-SUB | AJJ75358428-R1-2 | AJR75744125,3,,
AJJ75358428,AJR74803522,"Tube Assembly,Condenser(",반제품,AJJ75358428-SUB | AJJ75358428-R1-2 | AJR75744125,3,,
AJJ75358441,AJR75744140,"Tube Assembly,Suction(Ou",반제품,AJJ73898630 | AJR74803542 | AJR75744140-12-1,3,,
AJJ75838620,AJJ73898630,Supporter Assembly,반제품,AJR74803542 | AJR76442510 | AJJ75838610-SUB,3,,
AJJ75918509,AJR72946503,"Tube Assembly,Suction(Ou",반제품,AJJ75918509-SUB | AJR72946503-9-1 | AJJ75918509-R1-1,3,,
AJJ75918509,AJR75104017,"Tube Assembly,Expansion",반제품,AJJ75918509-SUB | AJR72946503-9-1 | AJJ75918509-R1-1,3,,
AJJ76418724,MJU66478104,"Tube,Connector",제작동관,AJJ76418724-SUB,1,AJJ76418724-SUB,
AJJ76559006,MJU66478104,"Tube,Connector",제작동관,AJJ76559006-SUB,1,AJJ76559006-SUB,
AJJ76595403,AJJ76595404,Supporter Assembly,반제품,AJJ76595403-SUB | AJJ76595403-S3-1,2,,
AJJ76595403,AJR30059704,"Tube Assembly,Expansion",반제품,AJJ76595403-SUB | AJJ76595403-S3-1,2,,
AJR30004702,4930A20053A,"Holder,Sensor",반제품,AJR30004702-SUB,1,AJR30004702-SUB,
AJR30004702,MJU00697402,"Tube,Manifold",제작동관,AJR30004702-SUB,1,AJR30004702-SUB,
AJR30004702,MJU00697501,"Tube,Connector",제작동관,AJR30004702-SUB,1,AJR30004702-SUB,
AJR30004702,MJU00697502,"Tube,Connector",제작동관,AJR30004702-SUB,1,AJR30004702-SUB,
AJR30007101,4930A20053A,"Holder,Sensor",반제품,AJR30007101-S5-1 | AJR30007101-9-1 | AJR30007101-9-2 | AJR30007101-9-3 | AJR30007101-9-4,5,,
AJR30007101,MJU66760104,"Tube,Connector",제작동관,AJR30007101-S5-1 | AJR30007101-9-1 | AJR30007101-9-2 | AJR30007101-9-3 | AJR30007101-9-4,5,,
AJR30007102,4930A20053A,"Holder,Sensor",반제품,AJR30007102-S5-1,1,AJR30007102-S5-1,
AJR30007102,MJU66573301,"Tube,Connector",제작동관,AJR30007102-S5-1,1,AJR30007102-S5-1,
AJR30007102,MJU66760002,"Tube,Connector",제작동관,AJR30007102-S5-1,1,AJR30007102-S5-1,
AJR30007102,MJU66760003,"Tube,Connector",제작동관,AJR30007102-S5-1,1,AJR30007102-S5-1,
AJR30007102,MJU66760004,"Tube,Connector",제작동관,AJR30007102-S5-1,1,AJR30007102-S5-1,
AJR30007102,MJU66760102,"Tube,Connector",제작동관,AJR30007102-S5-1,1,AJR30007102-S5-1,
AJR30007103,4930A20053A,"Holder,Sensor",반제품,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU64671101,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU64671102,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU64671103,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU64671104,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU64671105,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU64671109,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU66571301,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU66571302,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU66571304,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU66571305,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007103,MJU66571306,"Tube,Connector",제작동관,AJR30007103-S5-1,1,AJR30007103-S5-1,
AJR30007104,4930A20053A,"Holder,Sensor",반제품,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU64671101,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU64671102,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU64671104,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU64671105,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU64671109,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU66571302,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU66571305,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU66571306,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007105,4930A20053A,"Holder,Sensor",반제품,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671101,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671102,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671104,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671105,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671109,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
