레거시코드,접미사제거 base,유형,LG 대응코드,판정,← 담당확정
3H00815D,3H00815D,용접봉,3H00815D,일치,
BCUP 1S-2.4*28,BCUP 1S-2.4*28,용접링,,LG무 (사급/공정),
BCUP-1S 1.6*12(OD),BCUP-1S 1.6*12(OD),용접링,,LG무 (사급/공정),
BCUP-1S 2.4*32,BCUP-1S 2.4*32,용접링,,LG무 (사급/공정),
BCUP1S-1.2*6.3,BCUP1S-1.2*6.3,용접링,,LG무 (사급/공정),
BCUP1S-1.4*9.6,BCUP1S-1.4*9.6,용접링,,LG무 (사급/공정),
BCUP1S-1.6*8.0(OD),BCUP1S-1.6*8.0(OD),용접링,,LG무 (사급/공정),
BCUP1S-2.0*19,BCUP1S-2.0*19,용접링,,LG무 (사급/공정),
BCUP1S-2.0*21.8,BCUP1S-2.0*21.8,용접링,,LG무 (사급/공정),
BCUP1S-2.0*38(ID),BCUP1S-2.0*38(ID),용접링,,LG무 (사급/공정),
BCUP1S-2.4*20.2(OD),BCUP1S-2.4*20.2(OD),용접링,,LG무 (사급/공정),
BCUP1S-2.4*27.2(OD),BCUP1S-2.4*27.2(OD),용접링,,LG무 (사급/공정),
BCUP1S-2.4*30,BCUP1S-2.4*30,용접링,,LG무 (사급/공정),
MJU64671101+용접링,MJU64671101+용접링,용접링,,LG무 (사급/공정),
MJU64671102+용접링,MJU64671102+용접링,용접링,,LG무 (사급/공정),
MJU64671103+용접링,MJU64671103+용접링,용접링,,LG무 (사급/공정),
MJU64671104+용접링,MJU64671104+용접링,용접링,,LG무 (사급/공정),
MJU64671105+용접링,MJU64671105+용접링,용접링,,LG무 (사급/공정),
MJU64671109+용접링,MJU64671109+용접링,용접링,,LG무 (사급/공정),
MJU64671113+용접링,MJU64671113+용접링,용접링,,LG무 (사급/공정),
MJU64671114+용접링,MJU64671114+용접링,용접링,,LG무 (사급/공정),
MJU64671117+용접링,MJU64671117+용접링,용접링,,LG무 (사급/공정),
MJU64671118+용접링,MJU64671118+용접링,용접링,,LG무 (사급/공정),
MJU65517901+용접링,MJU65517901+용접링,용접링,,LG무 (사급/공정),
MJU65517902+용접링,MJU65517902+용접링,용접링,,LG무 (사급/공정),
MJU65517903+용접링,MJU65517903+용접링,용접링,,LG무 (사급/공정),
MJU65517904+용접링,MJU65517904+용접링,용접링,,LG무 (사급/공정),
MJU65517905+용접링,MJU65517905+용접링,용접링,,LG무 (사급/공정),
MJU65517906+용접링,MJU65517906+용접링,용접링,,LG무 (사급/공정),
MJU65517908+용접링,MJU65517908+용접링,용접링,,LG무 (사급/공정),
MJU65517909+용접링,MJU65517909+용접링,용접링,,LG무 (사급/공정),
MJU65517911+용접링,MJU65517911+용접링,용접링,,LG무 (사급/공정),
MJU65517912+용접링,MJU65517912+용접링,용접링,,LG무 (사급/공정),
MJU65517913+용접링,MJU65517913+용접링,용접링,,LG무 (사급/공정),
MJU65517914+용접링,MJU65517914+용접링,용접링,,LG무 (사급/공정),
MJU65517915+용접링,MJU65517915+용접링,용접링,,LG무 (사급/공정),
MJU65517916+용접링,MJU65517916+용접링,용접링,,LG무 (사급/공정),
MJU65517917+용접링,MJU65517917+용접링,용접링,,LG무 (사급/공정),
MJU65517918+용접링,MJU65517918+용접링,용접링,,LG무 (사급/공정),
MJU65517919+용접링,MJU65517919+용접링,용접링,,LG무 (사급/공정),
MJU65517921+용접링,MJU65517921+용접링,용접링,,LG무 (사급/공정),
MJU65517922+용접링,MJU65517922+용접링,용접링,,LG무 (사급/공정),
MJU65517924+용접링,MJU65517924+용접링,용접링,,LG무 (사급/공정),
MJU65517925+용접링,MJU65517925+용접링,용접링,,LG무 (사급/공정),
MJU66471701+용접링,MJU66471701+용접링,용접링,,LG무 (사급/공정),
MJU66471702+용접링,MJU66471702+용접링,용접링,,LG무 (사급/공정),
MJU66471705+용접링,MJU66471705+용접링,용접링,,LG무 (사급/공정),
MJU66471707+용접링,MJU66471707+용접링,용접링,,LG무 (사급/공정),
MJU66502904+용접링,MJU66502904+용접링,용접링,,LG무 (사급/공정),
MJU66502905+용접링,MJU66502905+용접링,용접링,,LG무 (사급/공정),
MJU66502907+용접링,MJU66502907+용접링,용접링,,LG무 (사급/공정),
MJU66502908+용접링,MJU66502908+용접링,용접링,,LG무 (사급/공정),
MJU66503001+용접링,MJU66503001+용접링,용접링,,LG무 (사급/공정),
MJU66503002+용접링,MJU66503002+용접링,용접링,,LG무 (사급/공정),
MJU66571302+용접링,MJU66571302+용접링,용접링,,LG무 (사급/공정),
MJU66571303+용접링,MJU66571303+용접링,용접링,,LG무 (사급/공정),
MJU66571305+용접링,MJU66571305+용접링,용접링,,LG무 (사급/공정),
MJU66571306+용접링,MJU66571306+용접링,용접링,,LG무 (사급/공정),
RAC30599301,RAC30599301,용접봉,RAC30599301,일치,
RAC30599301-1,RAC30599301,용접봉,RAC30599301,동일(접미사차),
RAC30599327,RAC30599327,용접봉,RAC30599327,일치,
RAC30599327-1,RAC30599327,용접봉,RAC30599327,동일(접미사차),
RAC30599328,RAC30599328,용접봉,RAC30599328,일치,
RAC35117401,RAC35117401,용접봉,RAC35117401,일치,
RAC35117409,RAC35117409,용접봉,RAC35117409,일치,
RAC36134101,RAC36134101,용접봉,RAC36134101,일치,
아르곤 용접,아르곤 용접,기타,,LG무 (사급/공정),
